"","survey","mode_nonm","PM_Peak","area","area_dest","count","count_moe","share","share_moe","sample_size"
"123","2017_2019","HOV","PM Peak","Northwest Seattle","Downtown/Lake Union",146.649961750015,105.773525070695,0.0024035393310521,0.0018957872283353,8
"124","2017_2019","HOV","PM Peak","Northwest Seattle","Magnolia/Queen Anne",5516.03668435239,7362.64985990902,0.0904058273466672,0.113056925510151,33
"125","2017_2019","HOV","PM Peak","Northwest Seattle","Northeast Seattle",9987.01399076741,6506.42589624785,0.163683513041043,0.102204527383253,69
"126","2017_2019","HOV","PM Peak","Northwest Seattle","Northwest Seattle",30483.9202803354,11655.4945478328,0.499620323688461,0.161490291614966,286
"127","2017_2019","HOV","PM Peak","Northwest Seattle","Not Seattle",14777.4363372815,12492.6224426014,0.242196786312977,0.166548727588528,30
"128","2017_2019","HOV","PM Peak","Northwest Seattle","Southeast Seattle",31.7811625125984,16.4141021016526,0.000520881650250967,0.000317210981449648,11
"129","2017_2019","HOV","PM Peak","Not Seattle","Capitol Hill/Central District",1741.1184090823,1195.55936578323,0.00109628298892201,0.000755922578394154,33
"130","2017_2019","HOV","PM Peak","Not Seattle","Downtown/Lake Union",9118.95762742408,8510.14420224471,0.0057416876827549,0.00534289617531722,37
"131","2017_2019","HOV","PM Peak","Not Seattle","Duwamish",1259.30306248968,1193.71221624111,0.000792911336818549,0.000753099743756407,10
"132","2017_2019","HOV","PM Peak","Not Seattle","Magnolia/Queen Anne",617.101003644111,504.553187434404,0.000388553316772014,0.000318747524286515,10
"133","2017_2019","HOV","PM Peak","Not Seattle","Northeast Seattle",25608.6310212922,12268.2805160696,0.0161242948278403,0.00768383640887277,53
"134","2017_2019","HOV","PM Peak","Not Seattle","Northwest Seattle",4883.19480412538,2016.18656572485,0.00307466934323935,0.00128404909203075,77
"135","2017_2019","HOV","PM Peak","Not Seattle","Not Seattle",1525783.02830194,109494.996553997,0.960698577413219,0.0124605547422033,3169
"136","2017_2019","HOV","PM Peak","Not Seattle","Southeast Seattle",2340.4635334201,1893.52039932094,0.00147365644088108,0.00119502108605184,38
"137","2017_2019","HOV","PM Peak","Not Seattle","West Seattle",16849.8132041653,13053.6386095407,0.0106093666495527,0.00816588439738746,40
"138","2017_2019","HOV","PM Peak","Southeast Seattle","Capitol Hill/Central District",1420.02904388672,697.190961119605,0.0421737155885663,0.022929438558856,31
"139","2017_2019","HOV","PM Peak","Southeast Seattle","Downtown/Lake Union",1602.11744907418,1485.63259053049,0.0475815941424674,0.0439434533558289,9
"140","2017_2019","HOV","PM Peak","Southeast Seattle","Duwamish",689.221616214245,523.295829754347,0.0204693252893991,0.0162180087481921,14
"141","2017_2019","HOV","PM Peak","Southeast Seattle","Northeast Seattle",46.4098904241202,48.3654599080144,0.00137833625845157,0.00148319392928416,3
"142","2017_2019","HOV","PM Peak","Southeast Seattle","Northwest Seattle",215.577739796641,139.551849277968,0.00640248474110421,0.00447516940210833,9
"143","2017_2019","HOV","PM Peak","Southeast Seattle","Not Seattle",7590.09575316316,4648.01870969995,0.225419713041745,0.119452556086901,23
"144","2017_2019","HOV","PM Peak","Southeast Seattle","Southeast Seattle",21545.2533801977,7731.79306485164,0.639876622419663,0.126054933998917,139
"145","2017_2019","HOV","PM Peak","Southeast Seattle","West Seattle",562.244534216997,680.14708072688,0.0166982085186035,0.0203785476865657,5
"146","2017_2019","HOV","PM Peak","West Seattle","Capitol Hill/Central District",39.1004185624931,35.9354260227138,0.0016671761623557,0.00175839000647518,4
"147","2017_2019","HOV","PM Peak","West Seattle","Downtown/Lake Union",70.7156479525117,54.7128343196629,0.0030151964328345,0.0028052282720896,12
"148","2017_2019","HOV","PM Peak","West Seattle","Duwamish",577.286900293025,652.651788243497,0.0246145436389767,0.0300034157635883,22
"149","2017_2019","HOV","PM Peak","West Seattle","Magnolia/Queen Anne",138.075024261544,160.606480717505,0.00588728708102232,0.00746463899336197,2
"150","2017_2019","HOV","PM Peak","West Seattle","Northwest Seattle",12.4741253842371,20.5199362570967,0.000531875750987106,0.000917191596645032,1
"151","2017_2019","HOV","PM Peak","West Seattle","Not Seattle",6034.23670316339,4790.09938506821,0.25728971605373,0.195343804688549,24
"152","2017_2019","HOV","PM Peak","West Seattle","Southeast Seattle",358.304281634817,315.048370343081,0.0152774926502848,0.015430068989083,12
"153","2017_2019","HOV","PM Peak","West Seattle","West Seattle",16222.8884898647,11193.5156186802,0.691716712229809,0.205169084850071,157
"154","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Capitol Hill/Central District",85610.0759473791,15734.8284557895,0.816605744664429,0.0427726191607055,1665
"155","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Downtown/Lake Union",12877.8177929267,2496.03735986864,0.122837176256093,0.028151936559325,383
"156","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Duwamish",185.546164462154,161.393433640641,0.00176986250886377,0.00156121405123737,7
"157","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Magnolia/Queen Anne",476.544417351705,736.566455991513,0.00454559705140735,0.00702949870785,3
"158","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Northeast Seattle",569.436967484368,259.181336210308,0.00543166787000453,0.00259988288635584,32
"159","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Northwest Seattle",583.459047032407,582.728414022467,0.00556541977460637,0.00559480604998204,17
"160","2017_2019","Non-Motorized","Not PM Peak","Capitol Hill/Central District","Not Seattle",513.872122735978,442.463694033346,0.00490165348886075,0.0042684183682425,14
