survey,mode_incl_hov,PM_Peak,area,area_dest,count,count_moe,sample_size
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Northeast Seattle,361.1156026,233.980526,12
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Northwest Seattle,12128.49692,11818.15851,56
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Southeast Seattle,2.702375149,4.445407121,1
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,West Seattle,20.80750285,34.22834219,1
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Not Seattle,73.35657325,52.83540604,7
2017_2019,HOV,Not PM Peak,Northeast Seattle,Capitol Hill/Central District,1780.872027,1094.288706,40
2017_2019,HOV,Not PM Peak,Northeast Seattle,Downtown/Lake Union,8355.622743,5542.675739,57
2017_2019,HOV,Not PM Peak,Northeast Seattle,Duwamish,418.1544023,451.4766584,7
2017_2019,HOV,Not PM Peak,Northeast Seattle,Magnolia/Queen Anne,279.6673195,186.1163186,12
2017_2019,HOV,Not PM Peak,Northeast Seattle,Northeast Seattle,42573.88945,11924.1114,459
2017_2019,HOV,Not PM Peak,Northeast Seattle,Northwest Seattle,27460.24777,17038.23193,172
2017_2019,HOV,Not PM Peak,Northeast Seattle,Southeast Seattle,84.02872917,63.02085036,8
2017_2019,HOV,Not PM Peak,Northeast Seattle,West Seattle,90.35389724,65.4196178,8
2017_2019,HOV,Not PM Peak,Northeast Seattle,Not Seattle,14480.03191,6495.958466,99
2017_2019,HOV,Not PM Peak,Northwest Seattle,Capitol Hill/Central District,2384.340166,1113.65748,40
2017_2019,HOV,Not PM Peak,Northwest Seattle,Downtown/Lake Union,3950.142688,1415.227433,95
2017_2019,HOV,Not PM Peak,Northwest Seattle,Duwamish,717.0536425,665.0315899,13
2017_2019,HOV,Not PM Peak,Northwest Seattle,Magnolia/Queen Anne,9732.551418,10772.33522,56
2017_2019,HOV,Not PM Peak,Northwest Seattle,Northeast Seattle,28386.62594,17352.59861,179
2017_2019,HOV,Not PM Peak,Northwest Seattle,Northwest Seattle,57734.81132,11584.57512,642
2017_2019,HOV,Not PM Peak,Northwest Seattle,Southeast Seattle,582.008468,522.3442414,18
2017_2019,HOV,Not PM Peak,Northwest Seattle,West Seattle,26.88019844,31.26658203,2
2017_2019,HOV,Not PM Peak,Northwest Seattle,Not Seattle,22089.95951,8915.309467,130
2017_2019,HOV,Not PM Peak,Southeast Seattle,Capitol Hill/Central District,3579.857036,1099.847705,76
2017_2019,HOV,Not PM Peak,Southeast Seattle,Downtown/Lake Union,1613.699058,874.8555775,34
2017_2019,HOV,Not PM Peak,Southeast Seattle,Duwamish,579.4619373,315.4181605,24
2017_2019,HOV,Not PM Peak,Southeast Seattle,Northeast Seattle,1825.670895,2613.877108,19
2017_2019,HOV,Not PM Peak,Southeast Seattle,Northwest Seattle,330.5068541,344.4770542,17
2017_2019,HOV,Not PM Peak,Southeast Seattle,Southeast Seattle,20676.89314,6119.436948,341
2017_2019,HOV,Not PM Peak,Southeast Seattle,West Seattle,1092.380234,638.0766887,29
2017_2019,HOV,Not PM Peak,Southeast Seattle,Not Seattle,8727.226741,6409.663747,68
2017_2019,HOV,Not PM Peak,West Seattle,Capitol Hill/Central District,1715.551866,1065.307273,21
2017_2019,HOV,Not PM Peak,West Seattle,Downtown/Lake Union,326.3120035,233.36087,21
2017_2019,HOV,Not PM Peak,West Seattle,Duwamish,10169.19398,10220.11763,47
2017_2019,HOV,Not PM Peak,West Seattle,Northeast Seattle,132.2055245,171.0931123,6
2017_2019,HOV,Not PM Peak,West Seattle,Northwest Seattle,123.6514769,94.24978867,9
2017_2019,HOV,Not PM Peak,West Seattle,Southeast Seattle,624.656413,375.2077507,21
2017_2019,HOV,Not PM Peak,West Seattle,West Seattle,51645.7621,23206.42818,301
2017_2019,HOV,Not PM Peak,West Seattle,Not Seattle,22273.67146,13646.00802,85
2017_2019,HOV,Not PM Peak,Not Seattle,Capitol Hill/Central District,10439.28249,7105.769693,55
2017_2019,HOV,Not PM Peak,Not Seattle,Downtown/Lake Union,47742.97317,17844.6681,126
2017_2019,HOV,Not PM Peak,Not Seattle,Duwamish,5124.601594,2584.022939,33
2017_2019,HOV,Not PM Peak,Not Seattle,Magnolia/Queen Anne,10175.48854,6510.437626,18
2017_2019,HOV,Not PM Peak,Not Seattle,Northeast Seattle,16197.01591,6642.065505,101
2017_2019,HOV,Not PM Peak,Not Seattle,Northwest Seattle,22015.9747,11476.15954,88
2017_2019,HOV,Not PM Peak,Not Seattle,Southeast Seattle,8642.416958,6030.739791,53
2017_2019,HOV,Not PM Peak,Not Seattle,West Seattle,7306.474704,5117.922423,53
2017_2019,HOV,Not PM Peak,Not Seattle,Not Seattle,3476294.377,167284.357,7372
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Capitol Hill/Central District,14978.25694,4367.952323,235
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Downtown/Lake Union,3459.05645,1499.648702,40
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Duwamish,662.9154461,644.5489406,9
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Magnolia/Queen Anne,11.57433055,13.46306116,2
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Northeast Seattle,974.7890791,608.4351082,25
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Northwest Seattle,1261.858738,868.627935,23
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Southeast Seattle,1646.512191,587.6486489,56
2017_2019,HOV,PM Peak,Capitol Hill/Central District,West Seattle,813.3302874,741.4658954,8
2017_2019,HOV,PM Peak,Capitol Hill/Central District,Not Seattle,4051.179085,1962.186948,33
2017_2019,HOV,PM Peak,Downtown/Lake Union,Capitol Hill/Central District,10568.00423,8083.625061,67
2017_2019,HOV,PM Peak,Downtown/Lake Union,Downtown/Lake Union,7778.146245,3905.155837,118
2017_2019,HOV,PM Peak,Downtown/Lake Union,Duwamish,544.6709197,378.1509502,19
2017_2019,HOV,PM Peak,Downtown/Lake Union,Magnolia/Queen Anne,873.7987834,603.076886,35
2017_2019,HOV,PM Peak,Downtown/Lake Union,Northeast Seattle,1946.8642,1495.120644,26
2017_2019,HOV,PM Peak,Downtown/Lake Union,Northwest Seattle,1442.06145,838.3040092,52
2017_2019,HOV,PM Peak,Downtown/Lake Union,Southeast Seattle,1623.575915,833.6719186,25
2017_2019,HOV,PM Peak,Downtown/Lake Union,West Seattle,122.9592313,74.38744177,21
2017_2019,HOV,PM Peak,Downtown/Lake Union,Not Seattle,21367.96697,8522.865698,74
2017_2019,HOV,PM Peak,Duwamish,Capitol Hill/Central District,289.2599145,223.4968767,11
2017_2019,HOV,PM Peak,Duwamish,Downtown/Lake Union,504.3381503,326.9099289,15
2017_2019,HOV,PM Peak,Duwamish,Duwamish,452.47174,315.9063838,22
2017_2019,HOV,PM Peak,Duwamish,Northeast Seattle,287.0104282,461.7049769,3
2017_2019,HOV,PM Peak,Duwamish,Northwest Seattle,545.402306,620.5907956,8
2017_2019,HOV,PM Peak,Duwamish,Southeast Seattle,1171.11314,812.4920385,21
2017_2019,HOV,PM Peak,Duwamish,West Seattle,1187.601025,941.2309659,47
2017_2019,HOV,PM Peak,Duwamish,Not Seattle,1217.179218,964.4472419,16
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Capitol Hill/Central District,47.79346612,48.56022166,4
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Downtown/Lake Union,120.7556384,66.12511423,14
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Duwamish,721.2486284,876.5935147,3
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Magnolia/Queen Anne,19037.08329,12760.04359,41
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Northeast Seattle,782.6903757,563.17401,11
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Northwest Seattle,1572.861333,781.9371679,33
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Southeast Seattle,19.50265992,32.08187557,1
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,West Seattle,138.0750243,160.6064807,2
2017_2019,HOV,PM Peak,Magnolia/Queen Anne,Not Seattle,26526.05892,29748.00538,12
2017_2019,HOV,PM Peak,Northeast Seattle,Capitol Hill/Central District,1522.82233,1070.240071,22
2017_2019,HOV,PM Peak,Northeast Seattle,Downtown/Lake Union,1901.813949,1703.716487,30
2017_2019,HOV,PM Peak,Northeast Seattle,Duwamish,162.8427399,136.8192849,4
2017_2019,HOV,PM Peak,Northeast Seattle,Magnolia/Queen Anne,580.3229184,504.5009837,6
2017_2019,HOV,PM Peak,Northeast Seattle,Northeast Seattle,43261.92344,14686.26881,248
2017_2019,HOV,PM Peak,Northeast Seattle,Northwest Seattle,9969.55337,4947.748241,109
2017_2019,HOV,PM Peak,Northeast Seattle,Southeast Seattle,1648.147278,2609.924721,10
2017_2019,HOV,PM Peak,Northeast Seattle,Not Seattle,31641.17084,12569.89783,62
2017_2019,HOV,PM Peak,Northwest Seattle,Capitol Hill/Central District,89.16993448,46.87029131,15
2017_2019,HOV,PM Peak,Northwest Seattle,Downtown/Lake Union,260.6681777,206.0958084,11
2017_2019,HOV,PM Peak,Northwest Seattle,Duwamish,77.7366921,127.8768585,1
2017_2019,HOV,PM Peak,Northwest Seattle,Magnolia/Queen Anne,9968.002343,8517.63368,49
2017_2019,HOV,PM Peak,Northwest Seattle,Northeast Seattle,11820.76799,6592.323805,100
2017_2019,HOV,PM Peak,Northwest Seattle,Northwest Seattle,50827.69168,15645.44684,429
2017_2019,HOV,PM Peak,Northwest Seattle,Southeast Seattle,35.15252455,17.3254647,12
2017_2019,HOV,PM Peak,Northwest Seattle,West Seattle,124.0581019,109.383626,4
2017_2019,HOV,PM Peak,Northwest Seattle,Not Seattle,24642.08632,16570.7663,49
2017_2019,HOV,PM Peak,Southeast Seattle,Capitol Hill/Central District,1516.366634,700.0481219,40
2017_2019,HOV,PM Peak,Southeast Seattle,Downtown/Lake Union,2012.937098,1542.326863,16
2017_2019,HOV,PM Peak,Southeast Seattle,Duwamish,729.758829,524.5857579,18
2017_2019,HOV,PM Peak,Southeast Seattle,Magnolia/Queen Anne,2.702375149,4.445407121,1
2017_2019,HOV,PM Peak,Southeast Seattle,Northeast Seattle,69.84886943,54.50404082,7
2017_2019,HOV,PM Peak,Southeast Seattle,Northwest Seattle,215.5777398,139.5518493,9
2017_2019,HOV,PM Peak,Southeast Seattle,Southeast Seattle,30842.15476,9384.884206,225
2017_2019,HOV,PM Peak,Southeast Seattle,West Seattle,659.1639413,686.2815963,9
2017_2019,HOV,PM Peak,Southeast Seattle,Not Seattle,7603.449858,4648.035603,27
2017_2019,HOV,PM Peak,West Seattle,Capitol Hill/Central District,49.74002056,36.99495513,8
2017_2019,HOV,PM Peak,West Seattle,Downtown/Lake Union,70.71564795,54.71283432,12
2017_2019,HOV,PM Peak,West Seattle,Duwamish,739.1469263,664.4186994,29
2017_2019,HOV,PM Peak,West Seattle,Magnolia/Queen Anne,164.2936279,163.4755106,4
2017_2019,HOV,PM Peak,West Seattle,Northwest Seattle,47.02532764,38.89500948,4
2017_2019,HOV,PM Peak,West Seattle,Southeast Seattle,779.4364593,577.6393129,15
2017_2019,HOV,PM Peak,West Seattle,West Seattle,20639.69366,11377.01329,203
2017_2019,HOV,PM Peak,West Seattle,Not Seattle,6590.667519,4816.081965,34
2017_2019,HOV,PM Peak,Not Seattle,Capitol Hill/Central District,6489.116427,3721.239766,53
2017_2019,HOV,PM Peak,Not Seattle,Downtown/Lake Union,11106.82392,8613.987405,57
2017_2019,HOV,PM Peak,Not Seattle,Duwamish,9918.127802,9300.512208,21
2017_2019,HOV,PM Peak,Not Seattle,Magnolia/Queen Anne,655.4571138,506.520169,12
2017_2019,HOV,PM Peak,Not Seattle,Northeast Seattle,29025.01458,12562.27957,74
2017_2019,HOV,PM Peak,Not Seattle,Northwest Seattle,20712.80236,13021.36334,112
2017_2019,HOV,PM Peak,Not Seattle,Southeast Seattle,7269.813753,4467.297967,61
2017_2019,HOV,PM Peak,Not Seattle,West Seattle,19728.23105,13473.58497,61
2017_2019,HOV,PM Peak,Not Seattle,Not Seattle,2010360.078,125138.4308,4411
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Capitol Hill/Central District,597.7349626,363.8642781,42
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Downtown/Lake Union,1919.416756,1042.254381,75
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Northeast Seattle,160.6057028,136.628273,8
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Northwest Seattle,75.42039832,64.34369993,6
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Southeast Seattle,13.26863173,12.34040138,4
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,West Seattle,13.44009922,22.10896322,1
2017_2019,Other,Not PM Peak,Capitol Hill/Central District,Not Seattle,118.2602341,109.2810363,9
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Capitol Hill/Central District,2106.319201,984.1701095,72
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Downtown/Lake Union,5541.305207,4861.776766,74
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Duwamish,27.61605297,19.19878444,6
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Magnolia/Queen Anne,114.2447839,91.49428869,10
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Northeast Seattle,920.151707,659.1765402,12
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Northwest Seattle,208.8489055,89.1960571,23
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Southeast Seattle,652.4568713,818.6242524,10
2017_2019,Other,Not PM Peak,Downtown/Lake Union,West Seattle,46.92023097,74.33717654,2
2017_2019,Other,Not PM Peak,Downtown/Lake Union,Not Seattle,1187.251766,785.6468083,22
2017_2019,Other,Not PM Peak,Duwamish,Capitol Hill/Central District,15.44556877,21.42866649,2
2017_2019,Other,Not PM Peak,Duwamish,Downtown/Lake Union,3.261723674,5.365535444,1
2017_2019,Other,Not PM Peak,Duwamish,Duwamish,36.46471958,51.29866877,2
2017_2019,Other,Not PM Peak,Duwamish,Magnolia/Queen Anne,4.409141632,7.253037984,1
2017_2019,Other,Not PM Peak,Duwamish,Northeast Seattle,0.586633504,0.965012114,1
2017_2019,Other,Not PM Peak,Duwamish,Southeast Seattle,256.1018031,312.7330322,4
2017_2019,Other,Not PM Peak,Duwamish,West Seattle,115.7850434,190.4663964,1
2017_2019,Other,Not PM Peak,Duwamish,Not Seattle,2.535609152,4.171077054,1
