geoid10,geoid_nm,jobs_auto,jobs_transit,supermarket,pharmacy,restaurant,park,school
53033031205,53033031205,245916,12781,1.65,0.73,0.62,0.32,0.43
53033031502,53033031502,24380,922,1.63,1.64,1.07,0.69,2.61
53033022005,53033022005,445644,101953,0.24,0.46,0.21,0.17,0.31
53033021802,53033021802,265856,34791,0.55,0.8,0.49,0.2,0.26
53033021904,53033021904,421695,52362,0.57,0.71,0.68,0.19,0.38
53033030403,53033030403,320571,22296,1.05,1.37,0.87,0.33,0.7
53033030401,53033030401,335224,12088,0.9,0.92,0.67,0.38,0.96
53033030312,53033030312,280480,20457,0.39,0.41,0.44,0.2,0.54
53033030311,53033030311,269168,25572,0.54,0.59,0.46,0.2,0.28
53033030310,53033030310,303810,22724,0.65,0.47,0.5,0.17,0.2
53033009500,53033009500,956905,470064,0.32,0.35,0.27,0.07,0.35
53033009400,53033009400,1039913,602193,0.36,0.47,0.4,0.1,0.29
53033009300,53033009300,967346,627811,0.4,0.51,0.35,0.13,0.46
53033009200,53033009200,952771,806537,0.13,0.24,0.08,0.06,0.55
53033009100,53033009100,938341,750944,0.08,0.07,0.03,0.02,0.24
53033009000,53033009000,981429,581459,0.2,0.45,0.17,0.07,0.19
53033008900,53033008900,960518,494392,0.38,0.86,0.48,0.09,0.3
53033008800,53033008800,1017387,527660,0.54,0.35,0.22,0.12,0.16
53033029205,53033029205,458013,108092,0.66,0.6,0.5,0.28,0.25
53033030005,53033030005,301415,30853,0.46,0.39,0.53,0.1,0.39
53033031705,53033031705,188067,0,1.49,1.66,0.86,0.15,0.57
53033032010,53033032010,101772,426,0.46,0.46,0.38,0.08,0.47
53033032213,53033032213,66284,0,1.77,1.77,1.82,0.12,0.5
53033032214,53033032214,101940,4708,1.13,1.03,1.04,0.22,0.72
53033022300,53033022300,196801,192,1.06,1.11,0.68,0.07,1.05
53033022400,53033022400,406969,94509,0.55,0.64,0.45,0.15,0.49
53033022901,53033022901,428485,138688,0.64,0.81,0.57,0.24,0.22
53033022606,53033022606,442148,146186,0.61,1.07,0.59,0.21,0.38
53033022702,53033022702,578383,491004,0.53,0.54,0.43,0.16,0.21
53033023000,53033023000,410111,149377,1.24,1.21,0.75,0.23,0.4
53033030309,53033030309,293738,22711,0.59,0.75,0.43,0.07,0.52
53033030308,53033030308,286331,31484,0.48,0.75,0.42,0.01,0.28
53033030306,53033030306,234970,8435,0.94,1.1,0.95,0.21,0.28
53033030305,53033030305,222032,5384,1.45,1.6,1.43,0.25,0.44
53033008700,53033008700,972614,573671,0.42,0.49,0.29,0.12,0.22
53033011800,53033011800,616270,250411,0.33,0.38,0.26,0.11,0.25
53033011700,53033011700,656568,228217,0.62,0.68,0.47,0.07,0.43
53033011600,53033011600,296352,238177,0.91,0.92,0.39,0.14,0.68
53033011500,53033011500,344364,306038,0.64,0.74,0.23,0.23,0.33
53033011300,53033011300,432927,144673,0.67,0.73,0.47,0.14,0.38
53033011200,53033011200,672354,115512,0.59,0.76,0.57,0.15,0.34
53033011102,53033011102,737521,365373,0.55,0.44,0.28,0.27,0.46
53033032212,53033032212,84054,4401,0.33,0.5,0.51,0.39,0.38
53033023100,53033023100,391246,133836,1,0.96,0.69,0.21,0.82
53033023603,53033023603,530332,205424,0.31,0.45,0.34,0.4,0.31
53033023300,53033023300,389530,133472,0.82,0.83,0.54,0.08,0.4
53033023401,53033023401,399454,305048,0.52,0.54,0.4,0.14,0.36
53033023500,53033023500,443741,114782,0.79,0.84,0.79,0.14,0.38
53033030304,53033030304,318603,24987,1.28,0.98,0.77,0.09,0.36
53033030202,53033030202,323357,38046,0.46,0.49,0.44,0.32,0.27
53033030201,53033030201,275040,21627,0.89,1.29,1.16,0.15,0.24
53033030100,53033030100,253931,10284,1.4,1.5,1.24,0.29,0.89
53033030004,53033030004,327436,49317,0.43,0.43,0.31,0.25,0.51
53033030003,53033030003,353133,47622,0.45,0.55,0.4,0.3,0.71
53033011101,53033011101,771274,394302,0.29,0.3,0.21,0.2,0.24
53033008600,53033008600,937819,591719,0.2,0.21,0.13,0.1,0.2
53033008500,53033008500,978328,673879,0.05,0.22,0.17,0.11,0.4
53033008400,53033008400,1022325,709024,0.19,0.1,0.08,0.11,0.68
53033008300,53033008300,1041928,718868,0.14,0.12,0.1,0.05,0.72
53033008200,53033008200,1043309,758415,0.08,0.18,0.1,0.08,0.7
53033008100,53033008100,914262,787642,0.11,0.16,0.05,0.09,0.69
53033008002,53033008002,894926,732714,0.17,0.14,0.05,0.09,0.29
53033008001,53033008001,845659,693976,0.17,0.19,0.08,0.09,0.23
53033007900,53033007900,1019685,588706,0.18,0.22,0.21,0.11,0.21
53033007800,53033007800,959017,444926,0.62,0.66,0.25,0.08,0.36
53033007700,53033007700,1029238,589125,0.38,0.45,0.22,0.1,0.37
53033023601,53033023601,578247,264631,0.54,0.57,0.5,0.2,0.44
53033024601,53033024601,360049,32213,0.72,0.74,0.76,0.17,0.53
53033023604,53033023604,440897,204059,0.4,0.42,0.39,0.13,0.37
53033023700,53033023700,620192,281291,0.49,0.71,0.43,0.16,0.62
53033029902,53033029902,302908,2502,1.47,1.72,0.91,0.44,0.34
53033029901,53033029901,304583,11065,0.78,0.7,0.76,0.26,0.28
53033029802,53033029802,350126,5822,0.9,0.85,1.12,0.24,0.53
53033029801,53033029801,443427,28499,0.82,0.85,0.85,0.18,0.5
53033029700,53033029700,399889,46975,0.51,0.43,0.44,0.17,0.63
53033029602,53033029602,247116,7673,0.98,1.14,0.64,0.16,0.51
53033029601,53033029601,303318,12030,0.55,0.59,0.43,0.08,0.26
53033029504,53033029504,363315,48769,0.42,0.28,0.26,0.22,0.32
53033007600,53033007600,1024411,622127,0.12,0.19,0.19,0.1,0.21
53033007500,53033007500,970801,632423,0.14,0.19,0.11,0.1,0.33
53033007300,53033007300,956927,684352,0.16,0.17,0.17,0.13,0.61
53033007200,53033007200,894608,701529,0.16,0.15,0.13,0.09,0.22
53033007100,53033007100,824244,607379,0.13,0.2,0.12,0.16,0.49
53033007000,53033007000,893906,566119,0.21,0.24,0.12,0.1,0.46
53033006900,53033006900,779816,491788,0.43,0.37,0.35,0.05,0.31
53033006800,53033006800,817921,510132,0.13,0.13,0.16,0.01,0.17
53033006700,53033006700,908439,591201,0.35,0.36,0.24,0.07,0.38
53033006600,53033006600,952831,584964,0.26,0.31,0.11,0.09,0.44
53033006500,53033006500,961371,549569,0.28,0.34,0.15,0.11,0.29
53033023801,53033023801,511815,328443,0.62,0.73,0.62,0.16,0.21
53033024000,53033024000,778515,235111,0.48,0.47,0.43,0.16,0.61
53033024701,53033024701,435159,112452,1.03,0.44,0.4,0.18,0.3
53033024901,53033024901,376080,44500,1.04,0.72,0.66,0.14,0.35
53033024702,53033024702,446700,17462,0.9,0.81,0.55,0.17,0.55
53033021700,53033021700,236071,52868,0.58,0.5,0.43,0.18,0.4
53033022001,53033022001,290359,31739,0.73,0.77,0.63,0.19,0.8
53033029503,53033029503,376882,44273,0.32,0.3,0.27,0.16,0.19
53033029502,53033029502,318295,18652,0.93,0.71,0.5,0.12,0.34
