,geography_value,jobs_1_mile_walk,jobs_3_mile_bike,geography_group
87,53033008400.0,188393.11426767678,388164.6866582492,Census2010Tract
88,53033008500.0,182162.9202343398,394322.6282109058,Census2010Tract
89,53033008600.0,100895.39906832298,388771.82375776395,Census2010Tract
90,53033008700.0,32876.19472834857,369653.76385153306,Census2010Tract
91,53033008800.0,12325.635068153655,336602.41078066913,Census2010Tract
92,53033008900.0,8254.780798640611,290539.3300764656,Census2010Tract
93,53033009000.0,26656.92655991165,368422.27388183324,Census2010Tract
94,53033009100.0,113194.38535414166,393257.5162064826,Census2010Tract
95,53033009200.0,158262.02077922077,395655.31272727274,Census2010Tract
96,53033009300.0,47180.12844036697,330036.1272171254,Census2010Tract
97,53033009400.0,13924.008708272859,346850.4089259797,Census2010Tract
98,53033009500.0,5171.046364985164,181070.0318991098,Census2010Tract
99,53033009600.0,1957.760808926081,15864.65620641562,Census2010Tract
100,53033009701.0,991.6717948717949,13758.930256410256,Census2010Tract
101,53033009702.0,4286.552251486831,17035.096856414613,Census2010Tract
102,53033009800.0,6553.586571339758,25694.09138949332,Census2010Tract
103,53033009900.0,5218.935363790186,47398.0703891709,Census2010Tract
104,53033010001.0,5480.23963963964,114983.46546546546,Census2010Tract
105,53033010002.0,6347.759170653908,249979.7076023392,Census2010Tract
106,53033010100.0,4264.88497723824,58136.03915022762,Census2010Tract
107,53033010200.0,2622.091457286432,19758.664824120602,Census2010Tract
108,53033010300.0,5042.624677835051,37976.74259020619,Census2010Tract
109,53033010401.0,4066.0635135135135,54452.39662162162,Census2010Tract
110,53033010402.0,5945.591726618705,75656.14088729017,Census2010Tract
111,53033010500.0,7908.497406225059,23527.198723064645,Census2010Tract
112,53033010600.0,3161.5218080888185,19380.91514670896,Census2010Tract
113,53033010701.0,1563.8326848249028,27500.911802853436,Census2010Tract
114,53033010702.0,2027.67125,22310.21125,Census2010Tract
115,53033010800.0,1309.9523269012486,35049.464245175936,Census2010Tract
116,53033010900.0,12465.05401459854,74414.78540145986,Census2010Tract
117,53033011001.0,2013.9475308641975,31868.097530864197,Census2010Tract
118,53033011002.0,1736.2203258339798,44988.260667183866,Census2010Tract
119,53033011101.0,2533.490678302261,25701.106307021022,Census2010Tract
120,53033011102.0,2048.604103802052,18019.832226916114,Census2010Tract
121,53033011200.0,7198.153623188406,44898.64420289855,Census2010Tract
122,53033011300.0,2016.5893074119076,35011.80153908465,Census2010Tract
123,53033011401.0,2825.330332020259,28333.348339898705,Census2010Tract
124,53033011402.0,3515.508099352052,18319.220842332612,Census2010Tract
125,53033011500.0,1925.5945247933885,19000.397727272728,Census2010Tract
126,53033011600.0,1024.687189672294,14979.734524991725,Census2010Tract
127,53033011700.0,1289.1166761525328,20829.809903244168,Census2010Tract
128,53033011800.0,1601.4711141678129,16564.189821182943,Census2010Tract
129,53033011900.0,1054.8895899053628,27081.475157728706,Census2010Tract
130,53033012000.0,937.3295070898042,8943.355165428764,Census2010Tract
131,53033012100.0,297.1222961730449,6929.920965058236,Census2010Tract
132,53033020100.0,417.6221020092736,9719.024729520865,Census2010Tract
133,53033020200.0,1971.2463251670379,17746.861915367484,Census2010Tract
134,53033020300.0,3738.3359683794465,28120.035269078748,Census2010Tract
135,53033020401.0,1483.0698778833107,22628.526458616012,Census2010Tract
136,53033020402.0,1106.7209197475204,13491.455365193868,Census2010Tract
137,53033020500.0,796.1517671517671,21939.404365904367,Census2010Tract
138,53033020600.0,1733.3443113772455,23251.25,Census2010Tract
139,53033020700.0,3599.571163366337,22178.96782178218,Census2010Tract
140,53033020800.0,1128.0162738496072,15316.3367003367,Census2010Tract
141,53033020900.0,3754.767474048443,24172.838062283736,Census2010Tract
142,53033021000.0,2815.9687641466726,35092.75328202807,Census2010Tract
