geoid10,geoid_nm,land_acres,total_pop10,risk_score,risk_level,risk_level_name,poc_pct,poc_level,linguistic_pct,linguistic_level,education_pct,education_level,renter_pct,renter_level,cost_burdened_pct,sev_cost_burdened_pct,cost_burdened_level,sev_cost_burdened_level,combined_burdened_level,poverty_pct,poverty_level,jobs_auto,jobs_transit,jobs_auto_level,jobs_transit_level,jobs_level,transit_now_pct,transit_now_level,transit_future_pct,transit_future_level,supermarket,pharmacy,restaurant,pharmacy_level,supermarket_level,restaurant_level,core_business_level,field36,park,school,park_level,school_level,civic_infrastructure_level,near_high_inc,near_high_inc_level,dev_potential_pct,dev_potential_level,rent_ratio_0room,rent_ratio_1room,rent_ratio_2room,rent_ratio_3room,rent_ratio_0room_level,rent_ratio_1room_level,rent_ratio_2room_level,rent_ratio_3room_level,rent_ratio_weight,rent_ratio_all_level,vote_pct,vote_level,Shape__Area,Shape__Length
53033031800,53033031800,6318.988886,4777,16,1,lower,28.77,1,10.34,2,62.54,2,6.75,0,15.83,11.66,2,1,1.5,12.84,1,258209,0,2,0,1,0,0,0,0,1.95,1.49,1.45,0,0,0,0,0,0.29,0.97,3,1,2,0,0,1.45,1,NA,NA,0.69,0.81,0,0,4,2,0.5,3,63.09,1,275254054.8,111904.9542
53033032002,53033032002,6865.047505,2906,11,1,lower,7.96,0,0.79,0,66.36,3,16.75,1,13.61,7.39,1,0,0.5,15.51,1,112290,0,1,0,0.5,0,0,0,0,1.96,1.97,1.72,0,0,0,0,0,0.37,1.91,2,0,1,0,0,0.27,0,NA,NA,0.7,NA,0,0,4,0,1,4,68.1,0,299040273.1,96621.88825
53033032003,53033032003,30263.56992,4754,7,1,lower,11.5,0,0.95,0,58.65,2,10.97,0,10.75,8.54,1,0,0.5,14.29,1,77263,62,1,0,0.5,0,0,0,0,1.57,1.55,1.46,0,0,0,0,0,0.36,2.01,2,0,1,0,0,0.17,0,NA,0.96,0.37,NA,0,0,4,0,0.5,2,70.99,0,1318275833,201572.4108
53033031704,53033031704,1422.738904,5539,28,2,moderate,50.7,4,16.62,4,75.39,3,28.06,1,19.2,7.62,2,0,1,27.78,3,207269,16245,2,2,2,0,0,6.88,1,0.99,1.04,1.02,1,1,0,0.67,0.67,0.39,0.44,2,3,2.5,0,0,5.51,2,NA,0.83,0.96,0.94,0,2,0,0,0.33,0.66,48.1,3,61974258.76,37343.0987
53033032005,53033032005,1586.847826,6457,15,1,lower,25.39,1,5.82,1,75.39,3,10.68,0,14.4,3.45,1,0,0.5,6.2,0,156788,3930,1,1,1,0,0,0,0,1.05,1.23,0.87,1,0,1,0.67,0.67,0.09,0.35,4,4,4,0,0,2.67,1,NA,NA,NA,0.96,0,0,0,0,1,0,51.76,3,69122814.79,41662.41062
53033032006,53033032006,1912.09499,4275,10,1,lower,17.26,0,0.89,0,61.8,2,20.36,1,20,8.91,2,0,1,12.61,1,119235,1978,1,1,1,0,0,0,0,1.26,1.53,0.69,0,0,2,0.67,0.67,0.52,0.68,1,2,1.5,0,0,1.64,1,NA,1.14,0.92,1.1,0,0,0,0,0.33,0,66.61,1,83290524.58,45827.72641
53033032207,53033032207,1215.757645,3254,8,1,lower,27.2,1,5.11,1,24.76,0,8.42,0,12.28,8.11,1,0,0.5,7.05,0,105389,3338,1,1,1,0,0,0,0,1.13,1.14,0.66,1,1,2,1.33,1.33,0.3,0.84,2,1,1.5,0,0,3.5,1,NA,NA,NA,1.22,0,0,0,0,1,0,64.12,1,52958191.17,39985.06088
53033021803,53033021803,810.5251928,4348,25,2,moderate,28.25,1,9.53,2,54.6,2,40.71,2,17.94,14.11,2,1,1.5,17.95,2,266904,37663,2,2,2,0,0,35.48,2,0.38,0.41,0.26,4,3,3,3.33,3.33,0.13,0.36,4,4,4,0,0,6.26,2,0.93,1.04,0.83,0.57,0,0,2,4,0.25,1.5,70.24,0,35306336.17,31725.05464
53033032602,53033032602,7617.299478,11041,9,1,lower,23.44,1,2.83,0,32.29,0,9.91,0,6.82,4.92,0,0,0,2.86,0,56143,2134,0,1,0.5,0,0,0,0,0.78,0.73,0.53,2,2,2,2,2,0.3,0.62,3,2,2.5,0,0,2.41,1,NA,NA,1.36,1.19,0,0,0,0,0.5,0,59.35,2,331808238,88128.75801
53033032702,53033032702,128365.9123,6545,6,1,lower,10.19,0,0.36,0,56.97,2,12.72,0,10.22,8.62,1,0,0.5,7.89,0,42112,1297,0,1,0.5,0,0,0,0,2.83,0.84,0.56,0,1,2,1,1,0.35,2.99,2,0,1,0,0,0.37,0,NA,NA,1.3,0.98,0,0,0,0,0.5,0,66.05,1,5591596771,562242.9436
