,geography,value,geography_group
119,53033011101.0,771273.929789766,Census2010Tract
120,53033011102.0,737521.3385636692,Census2010Tract
121,53033011200.0,672354.084057971,Census2010Tract
122,53033011300.0,432927.01417577965,Census2010Tract
123,53033011401.0,411847.1598199212,Census2010Tract
124,53033011402.0,382120.3866090713,Census2010Tract
125,53033011500.0,344364.0681818182,Census2010Tract
126,53033011600.0,296352.41244620987,Census2010Tract
127,53033011700.0,656567.7586795675,Census2010Tract
128,53033011800.0,616270.363480055,Census2010Tract
129,53033011900.0,517201.96884858044,Census2010Tract
130,53033012000.0,339190.24848075624,Census2010Tract
131,53033012100.0,311346.4800332779,Census2010Tract
132,53033020100.0,184388.60432766617,Census2010Tract
133,53033020200.0,220826.4053452116,Census2010Tract
134,53033020300.0,228225.87351778656,Census2010Tract
135,53033020401.0,255719.88263229307,Census2010Tract
136,53033020402.0,243846.5522993688,Census2010Tract
137,53033020500.0,280794.84338184336,Census2010Tract
138,53033020600.0,289254.52020958083,Census2010Tract
139,53033020700.0,263188.489480198,Census2010Tract
140,53033020800.0,215771.6245791246,Census2010Tract
141,53033020900.0,295684.04429065745,Census2010Tract
142,53033021000.0,310614.2589406971,Census2010Tract
143,53033021100.0,316936.1324340895,Census2010Tract
144,53033021300.0,312868.52825836214,Census2010Tract
145,53033021400.0,272944.51192145864,Census2010Tract
146,53033021500.0,231847.77596266044,Census2010Tract
147,53033021600.0,219047.65867066468,Census2010Tract
148,53033021700.0,236071.02533447195,Census2010Tract
149,53033021802.0,265856.2536912752,Census2010Tract
150,53033021803.0,266903.9243149195,Census2010Tract
151,53033021804.0,275908.3813786929,Census2010Tract
152,53033021903.0,441548.7531816429,Census2010Tract
153,53033021904.0,421695.0396866841,Census2010Tract
154,53033021905.0,360794.76680574875,Census2010Tract
155,53033021906.0,366174.27952999383,Census2010Tract
156,53033022001.0,290359.46947271045,Census2010Tract
157,53033022003.0,387479.995997999,Census2010Tract
158,53033022005.0,445644.27978092193,Census2010Tract
159,53033022006.0,405792.5682574917,Census2010Tract
160,53033022101.0,211092.86277602523,Census2010Tract
161,53033022102.0,232245.94573322288,Census2010Tract
162,53033022201.0,214157.6797235023,Census2010Tract
163,53033022202.0,377247.1459227468,Census2010Tract
164,53033022203.0,256474.28478802994,Census2010Tract
165,53033022300.0,196800.73153153152,Census2010Tract
166,53033022400.0,406968.5733658801,Census2010Tract
167,53033022500.0,487620.63844621513,Census2010Tract
168,53033022603.0,455248.4326269492,Census2010Tract
169,53033022604.0,467742.67467248905,Census2010Tract
170,53033022605.0,434333.281490482,Census2010Tract
171,53033022606.0,442148.39640016743,Census2010Tract
172,53033022701.0,551897.010221465,Census2010Tract
173,53033022702.0,578383.275,Census2010Tract
174,53033022703.0,450024.5166846071,Census2010Tract
175,53033022801.0,524884.3868378812,Census2010Tract
176,53033022802.0,443231.74559686886,Census2010Tract
177,53033022803.0,473947.8540977582,Census2010Tract
178,53033022901.0,428485.4264560711,Census2010Tract
179,53033022902.0,404205.9888675624,Census2010Tract
180,53033023000.0,410111.124631579,Census2010Tract
181,53033023100.0,391245.8649207443,Census2010Tract
182,53033023201.0,465698.4851559564,Census2010Tract
183,53033023202.0,439193.50827549386,Census2010Tract
184,53033023300.0,389529.597001363,Census2010Tract
185,53033023401.0,399454.1676767677,Census2010Tract
186,53033023403.0,367480.46979038225,Census2010Tract
187,53033023404.0,352320.5032894737,Census2010Tract
188,53033023500.0,443741.07138179435,Census2010Tract
189,53033023601.0,578247.2036830357,Census2010Tract
190,53033023603.0,530332.4843869002,Census2010Tract
191,53033023604.0,440897.27845608507,Census2010Tract
192,53033023700.0,620192.4189701898,Census2010Tract
193,53033023801.0,511814.8217317487,Census2010Tract
194,53033023803.0,611143.7907755733,Census2010Tract
195,53033023804.0,574602.1971362823,Census2010Tract
