geography_value,jobs_1_mile_walk,jobs_3_mile_bike,auto_jobs_30min,transit_jobs45,geography_group
53033006900,10043.75731,273067.1106,779816.3373,491787.9858,Census2010Tract
53033007000,31585.64079,358020.4226,893905.8011,566118.7491,Census2010Tract
53033007100,46147.23103,369785.4573,824244.447,607378.5008,Census2010Tract
53033007200,188090.6871,393512.1756,894608.3441,701528.829,Census2010Tract
53033007300,174793.2777,395102.8149,956927.1541,684351.7193,Census2010Tract
53033007401,73008.23439,388416.4699,923727.03,635598,Census2010Tract
53033007402,158991.362,384991.237,965800.8056,730039.3831,Census2010Tract
53033007500,58965.90614,380271.2425,970800.601,632422.6578,Census2010Tract
53033007600,17928.10286,381962.1393,1024410.854,622127,Census2010Tract
53033007700,11054.97925,364833.2698,1029237.529,589124.7802,Census2010Tract
53033007800,5210.542069,274255,959017.2869,444925.9655,Census2010Tract
53033007900,36633.05777,373163.1175,1019684.619,588706.0343,Census2010Tract
53033008001,133282.1242,387968.0267,845658.7787,693976.4994,Census2010Tract
53033008002,198969.903,391882.6383,894926.1549,732714.1507,Census2010Tract
53033008100,208091.844,395526.3453,914262.1887,787642.3328,Census2010Tract
53033008200,228871.3486,393508.5664,1043309.265,758415,Census2010Tract
53033008300,223535.0056,392122.2193,1041927.954,718868,Census2010Tract
53033008400,188393.1143,388164.6867,1022324.588,709023.7395,Census2010Tract
53033008500,182162.9202,394322.6282,978327.7075,673879.443,Census2010Tract
53033008600,100895.3991,388771.8238,937819,591718.6949,Census2010Tract
53033008700,32876.19473,369653.7639,972613.7031,573670.9726,Census2010Tract
53033008800,12325.63507,336602.4108,1017386.566,527660.109,Census2010Tract
53033008900,8254.780799,290539.3301,960518.2179,494391.9257,Census2010Tract
53033009000,26656.92656,368422.2739,981429,581458.7289,Census2010Tract
53033009100,113194.3854,393257.5162,938341.1236,750944.012,Census2010Tract
53033009200,158262.0208,395655.3127,952771.0301,806537,Census2010Tract
53033009300,47180.12844,330036.1272,967346.3872,627810.9138,Census2010Tract
53033009400,13924.00871,346850.4089,1039913.436,602193.4546,Census2010Tract
53033009500,5171.046365,181070.0319,956905.1079,470064.0152,Census2010Tract
53033009600,1957.760809,15864.65621,408297.3658,206286.3009,Census2010Tract
53033009701,991.6717949,13758.93026,227172.5945,176754.2561,Census2010Tract
53033009702,4286.552251,17035.09686,326182.3726,265304.7201,Census2010Tract
53033009800,6553.586571,25694.09139,438602.8959,382114,Census2010Tract
53033009900,5218.935364,47398,603510.5692,484309.4914,Census2010Tract
53033010001,5480,114983.4655,924889.8156,496857.7447,Census2010Tract
53033010002,6347.759171,249979.7076,1017378.096,604237.7007,Census2010Tract
53033010100,4265,58136.03915,880826.4219,449381.9517,Census2010Tract
53033010200,2622.091457,19758.66482,777982.6332,240695.5894,Census2010Tract
53033010300,5042.624678,37976.74259,839883.067,448909.4246,Census2010Tract
53033010401,4066.063514,54452.39662,848928.8054,433353.1622,Census2010Tract
53033010402,5945.591727,75656.14089,880567,455745.4796,Census2010Tract
53033010500,7908.497406,23527.19872,428586.3416,452224.9992,Census2010Tract
53033010600,3161.521808,19380.91515,326459.8017,330528.6355,Census2010Tract
53033010701,1563.832685,27500.9118,489740.9747,381021.9313,Census2010Tract
53033010702,2028,22310,442196,331031,Census2010Tract
53033010800,1309.952327,35049.46425,548028.0165,304028.361,Census2010Tract
53033010900,12465.05401,74414.7854,825149.1153,462601.9139,Census2010Tract
53033011001,2013.947531,31868.09753,794830.3667,435743.6012,Census2010Tract
53033011002,1736.220326,44988.26067,809461.8891,385408.9581,Census2010Tract
53033011101,2533.490678,25701.10631,771274,394302.1841,Census2010Tract
53033011102,2048.604104,18019.83223,737521.3386,365373.1901,Census2010Tract
53033011200,7198.153623,44898.6442,672354,115512.1297,Census2010Tract
53033011300,2016.589307,35011.80154,432927.0142,144672.793,Census2010Tract
53033011401,2825.330332,28333.34834,411847.1598,338558.6759,Census2010Tract
53033011402,3515.508099,18319.22084,382120.3866,234836.8191,Census2010Tract
53033011500,1925.594525,19000.39773,344364.0682,306037.6539,Census2010Tract
53033011600,1024.68719,14979.73452,296352.4124,238176.6349,Census2010Tract
53033011700,1289.116676,20829.8099,656567.7587,228216.8566,Census2010Tract
53033011800,1601.471114,16564.18982,616270,250411.2648,Census2010Tract
53033011900,1054.88959,27081.47516,517201.9688,92210.81151,Census2010Tract
53033012000,937.3295071,8943.355165,339190.2485,99717.31668,Census2010Tract
53033012100,297.1222962,6929.920965,311346.48,63113.53078,Census2010Tract
53033020100,417.622102,9719.02473,184388.6043,20128.53168,Census2010Tract
53033020200,1971.246325,17746.86192,220826.4053,55145.43964,Census2010Tract
53033020300,3738.335968,28120.03527,228225.8735,225624.1985,Census2010Tract
53033020401,1483.069878,22628.52646,255719.8826,32095.84803,Census2010Tract
53033020402,1106.72092,13491.45537,243846.5523,27145.64472,Census2010Tract
53033020500,796.1517672,21939.40437,280794.8434,42455.55579,Census2010Tract
53033020600,1733.344311,23251,289254.5202,128552.0554,Census2010Tract
53033020700,3599.571163,22178.96782,263188,301834.8416,Census2010Tract
53033020800,1128.016274,15316,215771.6246,33758.94332,Census2010Tract
53033020900,3754.767474,24172.83806,295684.0443,291326.881,Census2010Tract
53033021000,2815.968764,35092.75328,310614.2589,238969.1702,Census2010Tract
53033021100,1700.402207,34523.13366,316936.1324,121734.9491,Census2010Tract
53033021300,1699.609573,19606.74048,312868.5283,181805.3674,Census2010Tract
53033021400,643.2321178,14665.60449,272944.5119,71554.65989,Census2010Tract
53033021500,340.4801634,7197.79755,231847.776,35301,Census2010Tract
53033021600,910.0714643,6928.571214,219047.6587,39218,Census2010Tract
53033021700,1047.225448,12155.75206,236071.0253,52867.94364,Census2010Tract
53033021802,3790.220134,33251.96421,265856.2537,34791.15168,Census2010Tract
53033021803,2868.269682,26782.24358,266903.9243,37662.6381,Census2010Tract
53033021804,4679.099373,30452.48299,275908.3814,58650.96867,Census2010Tract
53033021903,6535.053606,30214.04782,441548.7532,105560.8319,Census2010Tract
53033021904,3433.078851,30619.41149,421695.0397,52361.50339,Census2010Tract
53033021905,1417.929068,34243.08113,360794.7668,47460.1669,Census2010Tract
53033021906,1369.412492,29870.06061,366174.2795,32442.05504,Census2010Tract
53033022001,1196.885291,27227.83858,290359.4695,31738.71323,Census2010Tract
53033022003,2552.352676,25840.29465,387480,52667.06103,Census2010Tract
53033022005,4993.946143,28599.822,445644.2798,101953.3537,Census2010Tract
53033022006,2522.40566,33435.38568,405792.5683,58145.09767,Census2010Tract
53033022101,693.9221872,5737.02734,211092.8628,12452.76025,Census2010Tract
53033022102,377.6010771,9920.971417,232245.9457,12036.10149,Census2010Tract
53033022201,633.4452765,8275,214157.6797,15578,Census2010Tract
53033022202,1598.153893,24791.92551,377247.1459,45164.42428,Census2010Tract
53033022203,667,12999.48229,256474.2848,20189.03641,Census2010Tract
53033022300,147.7117117,3624.417117,196800.7315,192.372973,Census2010Tract
53033022400,5857.347979,32819.67019,406968.5734,94508.80716,Census2010Tract
53033022500,8192.840388,33706.3994,487620.6384,282694.9502,Census2010Tract
53033022603,3243.015994,44905.06397,455248.4326,57858.53539,Census2010Tract
53033022604,3126.393013,49956.39465,467742.6747,117015.8635,Census2010Tract
53033022605,5155.45889,53090.19482,434333,128638.6719,Census2010Tract
53033022606,1710.222269,70194,442148.3964,146185.6902,Census2010Tract
53033022701,7073.473027,59624.94946,551897,308923.64,Census2010Tract
53033022702,3337.654286,43450.75071,578383,491004.3779,Census2010Tract
53033022703,1467.518837,43981.72443,450024.5167,110992.8708,Census2010Tract
53033022801,18148.88523,98117.51926,524884.3868,203102.996,Census2010Tract
53033022802,4868.432485,90122.82975,443231.7456,211489.6742,Census2010Tract
53033022803,24344.59647,94774.49688,473947.8541,321901.4443,Census2010Tract
53033022901,10296.90721,82889.74531,428485.4265,138688.4057,Census2010Tract
53033022902,565.3090211,70382.30173,404205.9889,94099,Census2010Tract
53033023000,8797.115368,70037.10568,410111,149377.4084,Census2010Tract
53033023100,1291.634045,60740.22467,391245.8649,133836.2198,Census2010Tract
53033023201,14052.61593,98873.74859,465698.4852,285028.4491,Census2010Tract
53033023202,11515.98398,87584.20876,439193.5083,228641.4437,Census2010Tract
53033023300,1266.527942,61719.52567,389530,133472.1749,Census2010Tract
53033023401,4237.783838,53469,399454.1677,305048.2303,Census2010Tract
53033023403,2711.438348,27390.78853,367480.4698,34629.61652,Census2010Tract
53033023404,123.7236842,14512.27303,352320.5033,24578.95724,Census2010Tract
53033023500,5742.531107,79855.06483,443741.0714,114782.3608,Census2010Tract
53033023601,23781.31194,131939.2059,578247.2037,264630.7121,Census2010Tract
53033023603,8517,146271.6668,530332.4844,205424.3214,Census2010Tract
53033023604,2167.248129,89360.41158,440897.2785,204058.6861,Census2010Tract
53033023700,7614.248238,117359.4602,620192.419,281290.8157,Census2010Tract
53033023801,30562.06112,94886.50368,511814.8217,328443.1726,Census2010Tract
53033023803,53763.93533,109822.0214,611143.7908,488428.218,Census2010Tract
53033023804,52095.34467,101449.2498,574602.1971,461210,Census2010Tract
53033023900,11714.81754,73713.02924,545534.9084,264497.2589,Census2010Tract
53033024000,20194.44656,94962.17661,778515.1204,235111.1832,Census2010Tract
53033024100,689.136897,62945.73664,866739.1389,497506.8286,Census2010Tract
53033024200,284.0856643,53278.17045,843060.9502,427299.4519,Census2010Tract
53033024300,2824.602432,5855.743325,775058,389528.2345,Census2010Tract
53033024400,1404.49966,12243.09313,617442,181406.7723,Census2010Tract
53033024500,716.1229358,8411,532822.8685,59712.39694,Census2010Tract
53033024601,379.4181933,3111.796589,360049,32213.22994,Census2010Tract
53033024602,478,1282.188511,253990.805,6480.080906,Census2010Tract
53033024701,1621.534161,18878.66046,435159.1946,112451.6777,Census2010Tract
53033024702,535.3037062,6275.863418,446700.01,17461.97255,Census2010Tract
53033024800,6157.613849,35239.00297,422166.062,243748.068,Census2010Tract
53033024901,1261.997221,29990.19566,376079.821,44500.06948,Census2010Tract
53033024902,432.2337278,27700.05695,362043.5607,25939.6176,Census2010Tract
53033024903,90.91666667,11484.25253,351857,1566.352694,Census2010Tract
53033025001,831.2842415,7955,382058.405,35750,Census2010Tract
53033025003,157,5023.383535,331619.0757,1505.149434,Census2010Tract
53033025005,681.4886704,6883.510475,357019,24145.18085,Census2010Tract
53033025006,434.3292831,11940.54759,269541.5095,234.6998785,Census2010Tract
53033025101,822.9168216,11849.954,406245.8546,29569.99071,Census2010Tract
53033025102,1020.273384,10073.57634,358548.5251,10059.95667,Census2010Tract
53033025200,847.3500616,22532.00031,419773.3147,26569.17026,Census2010Tract
53033025301,7184.732555,37927.57622,486946.9877,84780.75352,Census2010Tract
53033025302,13305.2379,66387.14002,487751.528,156099.6357,Census2010Tract
53033025400,2551.059777,37302.34022,423560.6188,31942.38092,Census2010Tract
53033025500,2372.655083,27371.08662,377171.9834,34500.72044,Census2010Tract
53033025601,1231.371045,23148.71237,380895.5911,18791.83174,Census2010Tract
53033025602,475.5474521,8080.674614,315547.4778,4669.031791,Census2010Tract
53033025701,1570.246328,47725.03138,403353.2303,42957.12483,Census2010Tract
53033025702,232.7021605,12435.22685,322601.7292,10673.10108,Census2010Tract
53033025803,669.7076087,21095.64293,351558.0429,13459,Census2010Tract
53033025804,635.9511249,16832.05043,331465.8774,12591.41195,Census2010Tract
53033025805,1252.069855,45823.02063,379437.2007,37680.33755,Census2010Tract
53033025806,2452.971459,65688.40495,406423.629,65893.71136,Census2010Tract
53033026001,2440.413504,36489.4894,434337.7344,55152.87777,Census2010Tract
53033026002,5492.852253,59185.22738,527351.9177,167009.8753,Census2010Tract
53033026100,6242.950664,50850.68843,460632.6964,116601.814,Census2010Tract
53033026200,4168.974382,70455.85071,521394.9209,229578.9797,Census2010Tract
53033026300,3318.410256,46767.29006,570107.7917,44094.94231,Census2010Tract
53033026400,1626.659321,34642.26487,636796.8219,42169.03085,Census2010Tract
53033026500,1529.819958,25745.33845,484964.2226,89550.8402,Census2010Tract
53033026600,2823.715278,14978.81597,400926.7303,151358.0972,Census2010Tract
53033026700,826.3486811,10198.48297,400046.4129,50856.96019,Census2010Tract
53033026801,1258.666507,19690.15835,440709.7327,95069.41843,Census2010Tract
53033026802,918.7939424,16485.76961,448130,56174.43595,Census2010Tract
53033027000,492,27088.83723,497103.6102,82707,Census2010Tract
53033027100,972.0579383,36974.56584,532112.9014,89931.92325,Census2010Tract
53033027200,11297.46652,56418.6317,590771.0056,103390.0692,Census2010Tract
53033027300,8674.450175,48391.43916,510655.5684,111391.1968,Census2010Tract
53033027400,851.0557308,27392.70925,483882.8013,112521.4022,Census2010Tract
53033027500,1788.040954,12540.80612,460725,75086.7071,Census2010Tract
53033027600,1242.605634,9352.039003,424406.3456,24167.15168,Census2010Tract
53033027701,262.9402196,992,1514.599024,0,Census2010Tract
53033027702,13.01405258,196.931097,2369.648232,0,Census2010Tract
53033027800,235.3156077,6863.926105,408882.6595,7903.709254,Census2010Tract
53033027900,3451.319117,11482.37266,460745.1685,124340.0327,Census2010Tract
53033028000,2984.351105,25008.25163,490635.2698,153684.803,Census2010Tract
53033028100,11653.77605,63374.97246,520300.7796,164627.0503,Census2010Tract
53033028200,11528.06893,71521,539053.2386,178756.4977,Census2010Tract
53033028300,1005.335805,59087.21716,478546.7431,89553.3464,Census2010Tract
53033028402,5445.12854,63000.64488,488860.2691,128496.6258,Census2010Tract
53033028403,4738,57655.80307,481325.7759,111846.666,Census2010Tract
53033028500,2718.740116,25923,460846,67426.25174,Census2010Tract
53033028600,1062.803316,16488.09382,461121.9137,27919.98191,Census2010Tract
53033028700,1118.865121,26323.10169,477692.1744,53565.90516,Census2010Tract
53033028801,4031.824273,29107.97598,451505.3059,63540.41214,Census2010Tract
53033028802,8289.556384,39736.08644,459606.8407,78028,Census2010Tract
53033028901,1987.594473,17560.9036,412052.6125,54029.0829,Census2010Tract
53033028902,2107.116186,25532.22528,434424.8798,64238.86652,Census2010Tract
53033029001,705.9542886,8381.109399,371188.2779,29874,Census2010Tract
53033029003,1621.289264,12309.22175,386130.3005,55584.12236,Census2010Tract
53033029004,1554.671141,9855,390333.9746,62852.1223,Census2010Tract
53033029101,233.4961885,34558.73458,450988.0915,53507.55094,Census2010Tract
53033029102,233.592323,16649.41959,421803.7776,33157.38915,Census2010Tract
53033029203,8473.181631,48017.80877,423644.5188,127605.6977,Census2010Tract
53033029204,2443.567088,42052,407313.7979,61577.43015,Census2010Tract
53033029205,3138.380154,41456.54101,458012.7929,108091.5143,Census2010Tract
53033029206,6027.691864,45377.3748,459644.422,117406.315,Census2010Tract
53033029303,3579.826793,50804.7428,382296.1438,40299.98498,Census2010Tract
53033029304,498.1752183,7811.683406,330622.6867,2902.791485,Census2010Tract
53033029305,453.4757554,44137.76739,398157.6093,36946.37807,Census2010Tract
53033029306,338.8530839,15583.75329,371142.3195,31566.41372,Census2010Tract
53033029307,319.8462721,3348.686395,329435.4558,201.8047656,Census2010Tract
53033029403,177.9975211,21912.1289,381324.8523,42960.57313,Census2010Tract
53033029405,361.1213904,9142,343384.4176,2303.52246,Census2010Tract
53033029406,221.229003,11496.75287,324669.7148,1962.620544,Census2010Tract
53033029407,899.408642,25149.63519,368775.2543,46347.85309,Census2010Tract
53033029408,771.6526984,21254.1219,361594.7168,25943.1581,Census2010Tract
53033029502,1879.998152,15542.53789,318295.4945,18651.77495,Census2010Tract
53033029503,2444,30099.25946,376881.8381,44273.11325,Census2010Tract
53033029504,2265.265135,26114.02033,363314.9611,48768.76624,Census2010Tract
53033029601,908.2293744,18099.44424,303318.4905,12030.26519,Census2010Tract
53033029602,407.8216374,9619.038986,247116.2071,7673.388402,Census2010Tract
53033029700,4726,36557.91643,399889.2466,46975,Census2010Tract
53033029801,1053.788355,19453.52404,443427.0981,28499.01276,Census2010Tract
53033029802,299.6661238,7730.020521,350125.6691,5822.286971,Census2010Tract
53033029901,281.6757475,12202.51761,304583.4664,11064.8505,Census2010Tract
53033029902,387.0175837,16895.74362,302907.5706,2501.5173,Census2010Tract
53033030003,598.9145088,8283.20263,353133.4131,47622.46404,Census2010Tract
53033030004,426.5935829,9333,327435.6684,49316.65933,Census2010Tract
53033030005,556.8654781,13071.10265,301415.0902,30852.89249,Census2010Tract
53033030006,3856.547962,23135.48527,332918.1875,62302.7931,Census2010Tract
53033030100,256,9550.470934,253931.2934,10284.44083,Census2010Tract
53033030201,639.7549541,18692.38714,275039.9125,21627.00822,Census2010Tract
53033030202,3120.645054,22813.5691,323357.0637,38046.28381,Census2010Tract
53033030304,1681.095238,18447.75737,318602.5941,24986.79138,Census2010Tract
53033030305,233.9464199,4188.709693,222032.245,5384.377009,Census2010Tract
53033030306,200.2317199,3982.403193,234970,8434.57724,Census2010Tract
53033030308,1130.26601,19061.485,286331.1003,31483.70085,Census2010Tract
53033030309,2521.386745,25442.59732,293738.1288,22710.8922,Census2010Tract
53033030310,1105.861758,19485.6399,303809.7458,22724.07363,Census2010Tract
53033030311,1181.585321,9262.066667,269167.9853,25571.68012,Census2010Tract
53033030312,1006.644974,9993.958164,280479.5148,20457.21848,Census2010Tract
53033030313,6497.608302,25193.33795,351905.5737,40174.88026,Census2010Tract
53033030314,4120.316599,26490.53641,325665.3053,35494.78471,Census2010Tract
53033030401,444,17344.56918,335224.0976,12087.61284,Census2010Tract
53033030403,378.7378587,12841.33389,320570.9437,22295.82616,Census2010Tract
53033030404,224.5076453,11046.65015,316711.6544,5309.188379,Census2010Tract
53033030501,8841.059921,39267.69253,293195.2505,50785.18468,Census2010Tract
53033030503,4736.204798,31025.41715,345868.0409,42650.48778,Census2010Tract
53033030504,4176.246202,34669.00262,276020.5825,39288.24725,Census2010Tract
53033030600,6150.417967,37242.96974,271362.0511,44524.87376,Census2010Tract
53033030700,4258.422222,32429.37124,258478.0399,38145.64118,Census2010Tract
53033030801,2327.605843,26060.01143,233007.3357,19813.45174,Census2010Tract
53033030802,1561.727802,24182.31659,235913.0495,30775.06987,Census2010Tract
53033030901,2541.989664,27990.71404,278718.1034,5697.305771,Census2010Tract
53033030902,2336.713439,25761.51532,242514.9121,3665.714921,Census2010Tract
53033031000,185.9074627,9310,216514.2078,5521.174925,Census2010Tract
53033031100,1158.601595,14439.54121,228258.7926,12558.3027,Census2010Tract
53033031202,127.7094816,1323.756189,84019.59365,0,Census2010Tract
53033031204,33.96983547,787.7006399,179722.7482,0,Census2010Tract
53033031205,681.4519941,9590.875554,245916.0827,12780.61189,Census2010Tract
53033031206,1048,10335.49055,238903.3647,15278.90005,Census2010Tract
53033031301,306.9374337,3387.091198,47152.6087,39.54188759,Census2010Tract
53033031302,1206.669925,6163.774008,34474.51524,2096.222542,Census2010Tract
53033031400,2912.967821,5819.227291,32538.57597,4314,Census2010Tract
53033031501,16.64660057,141.1012748,22634.42776,0,Census2010Tract
53033031502,692.0627566,3377.275073,24380.15484,922.426393,Census2010Tract
53033031601,70.16941929,1488.367075,117825.9164,0,Census2010Tract
53033031603,313.0318566,1337.951717,54860.21901,16.70532603,Census2010Tract
53033031604,298.1370735,2451.454598,62032.4251,1594.928861,Census2010Tract
53033031605,59.84615385,921.4876774,92113.67812,0,Census2010Tract
53033031703,693.8067821,12340.20805,239202.1477,8132.742494,Census2010Tract
53033031704,505.1709491,8870.596749,207268.7268,16245.37074,Census2010Tract
53033031705,499.8621461,6658.339791,188066.9307,0,Census2010Tract
53033031706,1709.105554,6915.118426,194581.2317,5181.067304,Census2010Tract
53033031800,139.3122461,5171.543239,258208.8839,0,Census2010Tract
53033031903,236.5350118,2124.743116,224660.701,2698.269079,Census2010Tract
53033031904,190.7329975,642.5919395,103974.6927,162.2057095,Census2010Tract
53033031906,65.94856723,846.4562821,167640.8266,59.29169728,Census2010Tract
53033031907,93.33589462,2222.67618,258138.4797,1118.583974,Census2010Tract
53033031908,791.6295265,3038.074652,272534.4373,1982.899164,Census2010Tract
53033031909,580.975892,3293.697203,290155.866,2172.896818,Census2010Tract
53033032002,50.54963899,758.1092058,112290.0975,0,Census2010Tract
53033032003,103.4099723,1219.462604,77263.29917,62.12853186,Census2010Tract
53033032005,315.854641,5231.867776,156787.968,3930.322242,Census2010Tract
53033032006,291.0635268,3661.633078,119234.7442,1977.546002,Census2010Tract
53033032007,409.4980575,3520.590521,150505.9627,1429.134421,Census2010Tract
53033032008,122.6159947,4246.504957,94148.16325,2946.184402,Census2010Tract
53033032010,783,4177.943662,101772.2676,426.0023474,Census2010Tract
53033032011,576,3891.5319,75134.1405,3240.36129,Census2010Tract
53033032102,63.03386005,1076.528781,67858.46275,0,Census2010Tract
53033032103,5991.693675,24464.82141,268079.3518,25001.3919,Census2010Tract
53033032104,2054.482157,17657.47445,196600.6955,15471.65126,Census2010Tract
53033032203,124.465511,1465.325388,129704.5507,4525.001083,Census2010Tract
53033032207,189.1042802,3216.105058,105389.4047,3338.036576,Census2010Tract
53033032208,1684.366269,15912.00657,162849.4308,10921.71867,Census2010Tract
53033032210,771.1730529,13861.87703,160475.0048,19731.35716,Census2010Tract
53033032211,454.2657685,5283.159216,89666.17881,9646.02572,Census2010Tract
53033032212,180.7819706,9072.085954,84053.57652,4401.111111,Census2010Tract
53033032213,85.01069519,1472.683824,66284.23997,0,Census2010Tract
53033032214,175.4145125,2137.403175,101939.7633,4708,Census2010Tract
53033032215,57,975.0973175,87108.6126,126.7735496,Census2010Tract
53033032307,216.7914757,2079.004125,188827.2113,5511.19615,Census2010Tract
53033032309,10673.98784,62822.38775,412642.3459,254545.1321,Census2010Tract
53033032311,115.3641791,756.7731343,140978.294,1895.118905,Census2010Tract
53033032313,5618.653957,27262.34112,363306.6056,83758.49446,Census2010Tract
53033032315,6.581941545,211.9055324,137338.1534,0,Census2010Tract
53033032316,126.7931587,7092.514698,233026.4115,14477.23998,Census2010Tract
53033032317,116.5563737,1285.882651,140814.4745,10778.24068,Census2010Tract
53033032318,192.8023866,1309.838186,145497.506,13093.02673,Census2010Tract
53033032319,4630.802355,25893.42515,268138.9525,44405.13162,Census2010Tract
53033032320,410.254272,11569.90636,229369.2673,6454.030759,Census2010Tract
53033032321,322.5267566,11947.85482,326004.7943,6536.868776,Census2010Tract
53033032322,93.82857143,3085.950893,254735.992,4329.903571,Census2010Tract
53033032323,875.4210769,24588.0428,356327.786,20745.24298,Census2010Tract
53033032324,5693.155436,46082.21653,392433.7642,124416.7071,Census2010Tract
53033032325,2342,35551.75938,371919.0659,67530.42452,Census2010Tract
53033032326,179.7235439,5490,233804.4832,6983.28548,Census2010Tract
53033032327,91.29220444,1528.342798,155020.5457,0,Census2010Tract
53033032328,216.228972,4502.872897,282070.8832,1681.308411,Census2010Tract
53033032329,253.2605014,1860.539295,163209.312,0,Census2010Tract
