"","mode_1","mode_2","mode_3","mode_4","mode_characterization","survey_year","count"
"312","Household vehicle 2","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",4140
"313","Household vehicle 2","Walk (or jog/wheelchair)","Bus (public transit)",NA,"Transit","2017",2
"314","Household vehicle 2","Walk (or jog/wheelchair)","Ferry or water taxi","Urban Rail (e.g., Link light rail, monorail)","Transit","2017",8
"315","Household vehicle 2","Walk (or jog/wheelchair)","Ferry or water taxi",NA,"Transit","2017",1
"316","Household vehicle 2","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",2
"317","Household vehicle 2","Walk (or jog/wheelchair)",NA,NA,"Drive SOV","2017",7
"318","Household vehicle 2",NA,NA,NA,"Drive HOV2","2017",1812
"319","Household vehicle 2",NA,NA,NA,"Drive HOV2","2021",581
"320","Household vehicle 2",NA,NA,NA,"Drive HOV3+","2017",1283
"321","Household vehicle 2",NA,NA,NA,"Drive HOV3+","2021",273
"322","Household vehicle 2",NA,NA,NA,"Drive SOV","2017",3634
"323","Household vehicle 2",NA,NA,NA,"Drive SOV","2021",1141
"324","Household vehicle 2",NA,NA,NA,"Missing Response","2023",1
"325","Household vehicle 3","Bus (public transit)","Missing: Skip Logic",NA,"Transit","2019",1
"326","Household vehicle 3","Household vehicle 1","Missing Response","Missing Response","Drive SOV","2023",3
"327","Household vehicle 3","Household vehicle 2","Missing Response","Missing Response","Drive HOV2","2023",2
"328","Household vehicle 3","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",316
"329","Household vehicle 3","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",194
"330","Household vehicle 3","Missing Response","Missing Response","Missing Response","Drive SOV","2023",720
"331","Household vehicle 3","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",2
"332","Household vehicle 3","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",366
"333","Household vehicle 3","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",333
"334","Household vehicle 3","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",529
"335","Household vehicle 3","Other non-household vehicle","Missing: Skip Logic",NA,"Drive SOV","2019",1
"336","Household vehicle 3",NA,NA,NA,"Drive HOV2","2017",220
"337","Household vehicle 3",NA,NA,NA,"Drive HOV2","2021",62
"338","Household vehicle 3",NA,NA,NA,"Drive HOV3+","2017",52
"339","Household vehicle 3",NA,NA,NA,"Drive HOV3+","2021",29
"340","Household vehicle 3",NA,NA,NA,"Drive SOV","2017",446
"341","Household vehicle 3",NA,NA,NA,"Drive SOV","2021",256
"342","Household vehicle 4","Household vehicle 1","Missing Response","Missing Response","Drive HOV2","2023",1
"343","Household vehicle 4","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",41
"344","Household vehicle 4","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",6
"345","Household vehicle 4","Missing Response","Missing Response","Missing Response","Drive SOV","2023",202
"346","Household vehicle 4","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV2","2019",1
"347","Household vehicle 4","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",1
"348","Household vehicle 4","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",69
"349","Household vehicle 4","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",17
"350","Household vehicle 4","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",119
"351","Household vehicle 4",NA,NA,NA,"Drive HOV2","2017",27
"352","Household vehicle 4",NA,NA,NA,"Drive HOV2","2021",36
"353","Household vehicle 4",NA,NA,NA,"Drive HOV3+","2021",14
"354","Household vehicle 4",NA,NA,NA,"Drive SOV","2017",66
"355","Household vehicle 4",NA,NA,NA,"Drive SOV","2021",54
"356","Household vehicle 5","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",49
"357","Household vehicle 5","Missing Response","Missing Response","Missing Response","Drive SOV","2023",27
"358","Household vehicle 5","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",1
"359","Household vehicle 5","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",2
"360","Household vehicle 5","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",25
"361","Household vehicle 5",NA,NA,NA,"Drive HOV2","2021",8
"362","Household vehicle 5",NA,NA,NA,"Drive SOV","2021",3
"363","Household vehicle 6","Bus (public transit)","Missing Response","Missing Response","Transit","2023",3
"364","Household vehicle 6","Missing Response","Missing Response","Missing Response","Drive SOV","2023",4
"365","Household vehicle 6",NA,NA,NA,"Drive HOV2","2021",2
"366","Household vehicle 6",NA,NA,NA,"Drive SOV","2017",2
"367","Household vehicle 6",NA,NA,NA,"Drive SOV","2021",15
"368","Household vehicle 7","Missing Response","Missing Response","Missing Response","Drive SOV","2023",3
"369","Household vehicle 7","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",7
"370","Household vehicle 7",NA,NA,NA,"Drive SOV","2021",5
"371","Household vehicle 8","Missing Response","Missing Response","Missing Response","Drive SOV","2023",1
"372","Household vehicle 8",NA,NA,NA,"Drive SOV","2021",2
"373","Missing Response","Missing Response","Missing Response","Missing Response","Missing Response","2023",452
"374","Missing: Non-response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","2019",193
"375","Missing: Non-response","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response","2019",20
"376","Missing: Non-response",NA,NA,NA,"Missing Response","2017",395
"377","Other bus (rMove only)","Bus (public transit)","Missing Response","Missing Response","Transit","2023",2
"378","Other bus (rMove only)","Bus (public transit)",NA,NA,"Transit","2017",1
"379","Other bus (rMove only)","Commuter rail (Sounder, Amtrak)","Missing: Skip Logic",NA,"Transit","2019",1
"380","Other bus (rMove only)","Household vehicle 6","Other bus (rMove only)","Missing Response","Transit","2023",1
"381","Other bus (rMove only)","Missing Response","Missing Response","Missing Response","Transit","2023",10
"382","Other bus (rMove only)","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",35
"383","Other bus (rMove only)","Other vehicle in household","School bus",NA,"Transit","2017",1
"384","Other bus (rMove only)","Other vehicle in household",NA,NA,"Transit","2017",1
"385","Other bus (rMove only)","Private bus or shuttle","Missing: Skip Logic",NA,"Transit","2019",1
"386","Other bus (rMove only)","School bus","Missing Response","Missing Response","Transit","2023",2
"387","Other bus (rMove only)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",1
"388","Other bus (rMove only)","Walk (or jog/wheelchair)",NA,NA,"Transit","2017",4
"389","Other bus (rMove only)",NA,NA,NA,"Transit","2017",94
"390","Other hired car service (e.g., black car, limo)","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",2
"391","Other hired car service (e.g., black car, limo)","Missing Response","Missing Response","Missing Response","Drive SOV","2023",7
"392","Other hired service (Uber, Lyft, or other smartphone-app car service)","Bus (public transit)","Missing: Skip Logic",NA,"Transit","2019",1
"393","Other hired service (Uber, Lyft, or other smartphone-app car service)","Ferry or water taxi","Friend/colleague's car","Missing: Skip Logic","Transit","2019",1
"394","Other hired service (Uber, Lyft, or other smartphone-app car service)","Household vehicle 1",NA,NA,"Drive SOV","2017",3
"395","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",66
"396","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",32
"397","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing Response","Missing Response","Missing Response","Drive SOV","2023",139
"398","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV2","2019",6
"399","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",1
"400","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive SOV","2019",2
"401","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",356
"402","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",256
"403","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",462
"404","Other hired service (Uber, Lyft, or other smartphone-app car service)","Other non-household vehicle","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Missing Response","Drive HOV3+","2023",1
"405","Other hired service (Uber, Lyft, or other smartphone-app car service)","Taxi (e.g., Yellow Cab)","Missing: Skip Logic",NA,"Drive HOV2","2019",1
"406","Other hired service (Uber, Lyft, or other smartphone-app car service)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",2
"407","Other hired service (Uber, Lyft, or other smartphone-app car service)","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",2
"408","Other hired service (Uber, Lyft, or other smartphone-app car service)","Walk (or jog/wheelchair)",NA,NA,"Drive HOV3+","2017",2
"409","Other hired service (Uber, Lyft, or other smartphone-app car service)","Walk (or jog/wheelchair)",NA,NA,"Drive SOV","2017",1
"410","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,NA,"Drive HOV2","2017",190
"411","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,NA,"Drive HOV2","2021",13
"412","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,NA,"Drive HOV3+","2017",116
"413","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,NA,"Drive SOV","2017",231
"414","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,NA,"Drive SOV","2021",16
"415","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Carshare service (e.g., Turo, Zipcar, ReachNow)",NA,NA,"Drive HOV3+","2017",1
"416","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",145
"417","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",153
"418","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Missing: Skip Logic","Missing: Skip Logic",NA,"Bike/Micromobility","2019",9
"419","Other mode (e.g., skateboard, kayak, motorhome, etc.)","Walk (or jog/wheelchair)","Missing Response","Missing Response","Bike/Micromobility","2023",8
"420","Other mode (e.g., skateboard, kayak, motorhome, etc.)",NA,NA,NA,"Bike/Micromobility","2017",104
"421","Other mode (e.g., skateboard, kayak, motorhome, etc.)",NA,NA,NA,"Bike/Micromobility","2021",45
"422","Other motorcycle (not my household's)","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",1
"423","Other motorcycle (not my household's)","Missing Response","Missing Response","Missing Response","Drive SOV","2023",2
"424","Other motorcycle in household","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",6
"425","Other motorcycle in household","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",2
"426","Other motorcycle in household","Missing Response","Missing Response","Missing Response","Drive SOV","2023",10
"427","Other motorcycle/moped","Ferry or water taxi","Missing: Skip Logic",NA,"Transit","2019",1
"428","Other motorcycle/moped","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",25
"429","Other motorcycle/moped","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",2
"430","Other motorcycle/moped","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",4
"431","Other motorcycle/moped",NA,NA,NA,"Drive SOV","2021",3
"432","Other motorcycle/moped/scooter","Other vehicle in household",NA,NA,"Drive HOV2","2017",2
"433","Other motorcycle/moped/scooter","Walk (or jog/wheelchair)",NA,NA,"Drive SOV","2017",1
"434","Other motorcycle/moped/scooter",NA,NA,NA,"Drive HOV2","2017",4
"435","Other motorcycle/moped/scooter",NA,NA,NA,"Drive HOV3+","2017",5
"436","Other motorcycle/moped/scooter",NA,NA,NA,"Drive SOV","2017",1
"437","Other non-household vehicle","Bus (public transit)",NA,NA,"Transit","2017",1
"438","Other non-household vehicle","Car from work","Missing Response","Missing Response","Drive SOV","2023",2
"439","Other non-household vehicle","Car from work","Missing: Skip Logic",NA,"Drive HOV2","2019",3
"440","Other non-household vehicle","Car from work","Missing: Skip Logic",NA,"Drive SOV","2019",1
"441","Other non-household vehicle","Commuter rail (Sounder, Amtrak)","Missing: Skip Logic",NA,"Transit","2019",1
"442","Other non-household vehicle","Friend/colleague's car","Missing Response","Missing Response","Drive HOV2","2023",7
"443","Other non-household vehicle","Friend/colleague's car","Missing Response","Missing Response","Drive HOV3+","2023",8
"444","Other non-household vehicle","Friend/colleague's car","Missing Response","Missing Response","Drive SOV","2023",5
"445","Other non-household vehicle","Household vehicle 1","Friend/colleague's car","Missing Response","Drive HOV2","2023",1
"446","Other non-household vehicle","Household vehicle 1","Missing Response","Missing Response","Drive HOV2","2023",1
"447","Other non-household vehicle","Household vehicle 1","Missing: Skip Logic",NA,"Drive HOV2","2019",5
"448","Other non-household vehicle","Household vehicle 1","Missing: Skip Logic",NA,"Drive SOV","2019",2
"449","Other non-household vehicle","Household vehicle 1",NA,NA,"Drive HOV2","2017",1
"450","Other non-household vehicle","Household vehicle 2","Missing Response","Missing Response","Drive SOV","2023",1
"451","Other non-household vehicle","Household vehicle 4","Commuter rail (Sounder, Amtrak)","Commuter rail (Sounder, Amtrak)","Transit","2023",1
"452","Other non-household vehicle","Household vehicle 4","Missing: Skip Logic",NA,"Drive SOV","2019",6
"453","Other non-household vehicle","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",119
"454","Other non-household vehicle","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",113
"455","Other non-household vehicle","Missing Response","Missing Response","Missing Response","Drive SOV","2023",63
"456","Other non-household vehicle","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",1
"457","Other non-household vehicle","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",90
"458","Other non-household vehicle","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",67
"459","Other non-household vehicle","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",91
"460","Other non-household vehicle","Other vehicle in household","Household vehicle 1","Missing Response","Drive HOV3+","2023",1
"461","Other non-household vehicle","Other vehicle in household","Missing Response","Missing Response","Drive SOV","2023",1
"462","Other non-household vehicle","Rental car","Missing: Skip Logic",NA,"Drive SOV","2019",1
"463","Other non-household vehicle","Scooter-share (e.g., Bird, Lime)","Missing Response","Missing Response","Drive SOV","2023",1
"464","Other non-household vehicle","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",1
"465","Other non-household vehicle",NA,NA,NA,"Drive HOV2","2017",59
"466","Other non-household vehicle",NA,NA,NA,"Drive HOV2","2021",30
"467","Other non-household vehicle",NA,NA,NA,"Drive HOV3+","2017",104
"468","Other non-household vehicle",NA,NA,NA,"Drive HOV3+","2021",7
"469","Other non-household vehicle",NA,NA,NA,"Drive SOV","2017",71
"470","Other non-household vehicle",NA,NA,NA,"Drive SOV","2021",42
"471","Other rail","Commuter rail (Sounder, Amtrak)","Missing Response","Missing Response","Transit","2023",2
"472","Other rail","Missing Response","Missing Response","Missing Response","Transit","2023",6
"473","Other rail (e.g., streetcar)","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",76
"474","Other rail (e.g., streetcar)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",2
"475","Other rail (e.g., streetcar)",NA,NA,NA,"Transit","2017",28
"476","Other rented bicycle","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",2
"477","Other rented bicycle (rMove only)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Bike/Micromobility","2019",2
"478","Other scooter, moped, skateboard","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",5
"479","Other vehicle in household","Bus (public transit)","Missing Response","Missing Response","Transit","2023",1
"480","Other vehicle in household","Friend/colleague's car","Missing Response","Missing Response","Drive HOV3+","2023",2
"481","Other vehicle in household","Friend/colleague's car",NA,NA,"Drive HOV3+","2017",1
"482","Other vehicle in household","Household vehicle 1","Missing Response","Missing Response","Drive SOV","2023",4
"483","Other vehicle in household","Household vehicle 1","Missing: Skip Logic",NA,"Drive SOV","2019",1
"484","Other vehicle in household","Household vehicle 2","Missing Response","Missing Response","Drive HOV2","2023",2
"485","Other vehicle in household","Household vehicle 2","Missing Response","Missing Response","Drive HOV3+","2023",1
"486","Other vehicle in household","Household vehicle 3","Missing Response","Missing Response","Drive HOV3+","2023",2
"487","Other vehicle in household","Household vehicle 4","Missing: Skip Logic",NA,"Drive SOV","2019",1
"488","Other vehicle in household","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",154
"489","Other vehicle in household","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",49
"490","Other vehicle in household","Missing Response","Missing Response","Missing Response","Drive SOV","2023",283
"491","Other vehicle in household","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",9
"492","Other vehicle in household","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive SOV","2019",6
"493","Other vehicle in household","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",510
"494","Other vehicle in household","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",403
"495","Other vehicle in household","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",344
"496","Other vehicle in household","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing Response","Missing Response","Drive HOV2","2023",1
"497","Other vehicle in household","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Drive HOV2","2019",1
"498","Other vehicle in household","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Drive SOV","2019",1
"499","Other vehicle in household","Other non-household vehicle","Missing: Skip Logic",NA,"Drive SOV","2019",1
"500","Other vehicle in household","Walk (or jog/wheelchair)","Bus (public transit)",NA,"Transit","2017",1
"501","Other vehicle in household","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",7
"502","Other vehicle in household","Walk (or jog/wheelchair)",NA,NA,"Drive HOV3+","2017",6
"503","Other vehicle in household","Walk (or jog/wheelchair)",NA,NA,"Drive SOV","2017",2
"504","Other vehicle in household",NA,NA,NA,"Drive HOV2","2017",312
"505","Other vehicle in household",NA,NA,NA,"Drive HOV2","2021",61
"506","Other vehicle in household",NA,NA,NA,"Drive HOV3+","2017",210
"507","Other vehicle in household",NA,NA,NA,"Drive HOV3+","2021",40
"508","Other vehicle in household",NA,NA,NA,"Drive SOV","2017",186
"509","Other vehicle in household",NA,NA,NA,"Drive SOV","2021",125
"510","Other vehicle in household",NA,NA,NA,"Missing Response","2023",13
"511","Paratransit","Bus (public transit)","Household vehicle 9","Household vehicle 6","Transit","2023",1
"512","Paratransit","Bus (public transit)","Missing Response","Missing Response","Transit","2023",1
"513","Paratransit","Household vehicle 6","Friend/colleague's car","Bus (public transit)","Transit","2023",1
"514","Paratransit","Missing Response","Missing Response","Missing Response","Transit","2023",25
"515","Paratransit","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",32
"516","Paratransit","Other bus (rMove only)",NA,NA,"Transit","2017",2
"517","Paratransit",NA,NA,NA,"Transit","2017",15
"518","Paratransit",NA,NA,NA,"Transit","2021",8
"519","Personal scooter or moped (not shared)","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",73
"520","Private bus or shuttle","Bus (public transit)","Missing Response","Missing Response","Transit","2023",8
"521","Private bus or shuttle","Bus (public transit)","Missing: Skip Logic",NA,"Transit","2019",2
"522","Private bus or shuttle","Commuter rail (Sounder, Amtrak)","Missing Response","Missing Response","Transit","2023",1
"523","Private bus or shuttle","Ferry or water taxi","Missing: Skip Logic",NA,"Transit","2019",1
"524","Private bus or shuttle","Household vehicle 1","Missing: Skip Logic",NA,"Transit","2019",3
"525","Private bus or shuttle","Missing Response","Missing Response","Missing Response","Transit","2023",121
"526","Private bus or shuttle","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Transit","2019",7
"527","Private bus or shuttle","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",341
"528","Private bus or shuttle","Other bus (rMove only)","Missing: Skip Logic",NA,"Transit","2019",1
"529","Private bus or shuttle","Private bus or shuttle","Missing: Skip Logic",NA,"Transit","2019",1
"530","Private bus or shuttle","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",2
"531","Private bus or shuttle","Urban Rail (e.g., Link light rail, monorail)",NA,NA,"Transit","2017",1
"532","Private bus or shuttle","Walk (or jog/wheelchair)",NA,NA,"Transit","2017",2
"533","Private bus or shuttle",NA,NA,NA,"Transit","2017",161
"534","Private bus or shuttle",NA,NA,NA,"Transit","2021",24
"535","Rental car","Car from work","Household vehicle 1","Missing Response","Drive HOV3+","2023",1
"536","Rental car","Car from work","Missing Response","Missing Response","Drive HOV2","2023",5
"537","Rental car","Car from work","Missing Response","Missing Response","Drive HOV3+","2023",2
"538","Rental car","Car from work","Missing Response","Missing Response","Drive SOV","2023",6
"539","Rental car","Friend/colleague's car","Missing Response","Missing Response","Drive HOV3+","2023",4
"540","Rental car","Friend/colleague's car",NA,NA,"Drive HOV2","2017",1
"541","Rental car","Household vehicle 1","Missing: Skip Logic",NA,"Drive HOV3+","2019",4
"542","Rental car","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",85
"543","Rental car","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",62
"544","Rental car","Missing Response","Missing Response","Missing Response","Drive SOV","2023",146
"545","Rental car","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",1
"546","Rental car","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive SOV","2019",1
"547","Rental car","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",132
"548","Rental car","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",124
"549","Rental car","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",241
"550","Rental car","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Drive SOV","2019",1
"551","Rental car","Other non-household vehicle","Missing: Skip Logic",NA,"Drive SOV","2019",4
"552","Rental car",NA,NA,NA,"Drive HOV2","2017",135
"553","Rental car",NA,NA,NA,"Drive HOV2","2021",2
"554","Rental car",NA,NA,NA,"Drive HOV3+","2017",91
"555","Rental car",NA,NA,NA,"Drive HOV3+","2021",11
"556","Rental car",NA,NA,NA,"Drive SOV","2017",144
"557","Rental car",NA,NA,NA,"Drive SOV","2021",6
"558","School bus","Bus (public transit)","Missing Response","Missing Response","Transit","2023",1
"559","School bus","Missing Response","Missing Response","Missing Response","Transit","2023",307
"560","School bus","Missing: Skip Logic","Missing: Skip Logic",NA,"Transit","2019",343
"561","School bus",NA,NA,NA,"Transit","2017",353
"562","School bus",NA,NA,NA,"Transit","2021",34
"563","Scooter or e-scooter (e.g., Lime, Bird, Razor)","Missing: Skip Logic","Missing: Skip Logic",NA,"Bike/Micromobility","2019",21
"564","Scooter or e-scooter (e.g., Lime, Bird, Razor)","Other motorcycle/moped","Missing: Skip Logic",NA,"Drive HOV3+","2019",2
"565","Scooter or e-scooter (e.g., Lime, Bird, Razor)","Other motorcycle/moped","Missing: Skip Logic",NA,"Drive SOV","2019",1
"566","Scooter or e-scooter (e.g., Lime, Bird, Razor)",NA,NA,NA,"Bike/Micromobility","2021",6
"567","Scooter-share (e.g., Bird, Lime)","Friend/colleague's car","Missing Response","Missing Response","Drive HOV3+","2023",1
"568","Scooter-share (e.g., Bird, Lime)","Friend/colleague's car","Missing Response","Missing Response","Drive SOV","2023",1
"569","Scooter-share (e.g., Bird, Lime)","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",80
"570","Scooter-share (e.g., Bird, Lime)","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing Response","Missing Response","Bike/Micromobility","2023",3
"571","Segway or Onewheel/electric unicycle","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",10
"572","Segway or Onewheel/electric unicycle","Other rail","Missing Response","Missing Response","Transit","2023",1
"573","Skateboard or rollerblade","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",18
"574","Standard bicycle (my household's)","Missing Response","Missing Response","Missing Response","Bike/Micromobility","2023",645
"575","Standard bicycle (my household's)","Walk (or jog/wheelchair)","Missing Response","Missing Response","Bike/Micromobility","2023",22
"576","Taxi (e.g., Yellow Cab)","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",4
"577","Taxi (e.g., Yellow Cab)","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",2
"578","Taxi (e.g., Yellow Cab)","Missing Response","Missing Response","Missing Response","Drive SOV","2023",4
"579","Taxi (e.g., Yellow Cab)","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive SOV","2019",2
"580","Taxi (e.g., Yellow Cab)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",21
"581","Taxi (e.g., Yellow Cab)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",8
"582","Taxi (e.g., Yellow Cab)","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",15
"583","Taxi (e.g., Yellow Cab)","Other hired service (Uber, Lyft, or other smartphone-app car service)",NA,NA,"Drive HOV2","2017",1
"584","Taxi (e.g., Yellow Cab)","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",1
"585","Taxi (e.g., Yellow Cab)",NA,NA,NA,"Drive HOV2","2017",19
"586","Taxi (e.g., Yellow Cab)",NA,NA,NA,"Drive HOV2","2021",6
"587","Taxi (e.g., Yellow Cab)",NA,NA,NA,"Drive HOV3+","2017",20
"588","Taxi (e.g., Yellow Cab)",NA,NA,NA,"Drive HOV3+","2021",3
"589","Taxi (e.g., Yellow Cab)",NA,NA,NA,"Drive SOV","2017",19
"590","Urban Rail (e.g., Link light rail, monorail)","Bicycle or e-bike (rSurvey only)",NA,NA,"Transit","2017",2
"591","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)","Missing: Skip Logic",NA,"Transit","2019",38
"592","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)","Transit","2019",1
"593","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)","Walk (or jog/wheelchair)",NA,"Transit","2017",14
"594","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)",NA,NA,"Transit","2017",6
"595","Urban Rail (e.g., Link light rail, monorail)","Carshare service (e.g., Turo, Zipcar, ReachNow)","Walk (or jog/wheelchair)",NA,"Transit","2017",1
"596","Urban Rail (e.g., Link light rail, monorail)","Commuter rail (Sounder, Amtrak)","Bus (public transit)",NA,"Transit","2017",1
"597","Urban Rail (e.g., Link light rail, monorail)","Commuter rail (Sounder, Amtrak)","Missing: Skip Logic",NA,"Transit","2019",2
"598","Urban Rail (e.g., Link light rail, monorail)","Commuter rail (Sounder, Amtrak)",NA,NA,"Transit","2017",2
"599","Urban Rail (e.g., Link light rail, monorail)","Ferry or water taxi","Walk (or jog/wheelchair)","Household vehicle 2","Transit","2017",1
