"","employment","survey_year","workplace","count","prop","prop_se","est","est_se"
"40","Self-employed","2017","Workplace regularly varies (different offices or jobsites)",93,0.299752241200529,0.0738106084248313,42203.8259634888,11997.9909441388
"41","Self-employed","2019","At home (telecommute or self-employed with home office)",125,0.279611957156775,0.0597054277189192,43956.6347085295,9555.81058642363
"42","Self-employed","2019","Drives for a living (e.g., bus driver, salesperson)",16,0.110702938621228,0.0542471595417075,17403.1492916653,9152.28825118035
"43","Self-employed","2019","Usually the same location (outside home)",79,0.102793682511878,0.023793296340754,16159.7679815451,3076.14833532637
"44","Self-employed","2019","Workplace regularly varies (different offices or jobsites)",126,0.506891421710119,0.0782093763159379,79686.2955631977,20640.330416112
"45","Self-employed","2021","At home (telecommute or self-employed with home office)",87,0.393226125257658,0.0506495262664874,76545.8621,12363.0235847512
"46","Self-employed","2021","Drives for a living (e.g., bus driver, salesperson)",16,0.0879249878013943,0.0290810187581518,17115.582,5911.93868902646
"47","Self-employed","2021","Telework some days and travel to a work location some days",18,0.0903856134718804,0.032098136951485,17594.5703,6593.513506022
"48","Self-employed","2021","Usually the same location (outside home)",30,0.147975131933521,0.0373876385589596,28805.014,7886.9327773047
"49","Self-employed","2021","Workplace regularly varies (different offices or jobsites)",51,0.280488141535547,0.0478605565542602,54600.153,11079.9078112715
"50","Self-employed","2023","At home (telecommute or self-employed with home office)",160,0.440690248772587,0.0656413462121859,67057.8188050443,13652.888060884
"51","Self-employed","2023","Drives for a living (e.g., bus driver, salesperson)",23,0.0528896379107531,0.0325240798723207,8047.97420764784,5112.27474700408
"52","Self-employed","2023","Telework some days and travel to a work location some days",60,0.146215857874517,0.0436219599642665,22248.9980912493,7082.18086887267
"53","Self-employed","2023","Usually the same location (outside home)",41,0.113532420033846,0.0423368940483856,17275.7088960608,6856.19611061119
"54","Self-employed","2023","Workplace regularly varies (different offices or jobsites)",86,0.246671835408298,0.0548642538982046,37534.9245625202,9458.38381296707
"55","Unpaid volunteer or intern","2023","At home (telecommute or self-employed with home office)",12,0.136371498917317,0.101525171490376,4801.22445871863,3830.58341614093
"56","Unpaid volunteer or intern","2023","Telework some days and travel to a work location some days",8,0.0178238128404416,0.0108225930849906,627.522076361695,336.535922556855
"57","Unpaid volunteer or intern","2023","Usually the same location (outside home)",22,0.685908254632242,0.128974919726216,24148.7371974552,9361.50333581018
"58","Unpaid volunteer or intern","2023","Workplace regularly varies (different offices or jobsites)",8,0.15989643361,0.0904364343665448,5629.4656435189,3263.40180415314
