"telework_time","telecommute_status","count","prop","prop_se","est","est_se"
"2 hours 15 minutes","Hybrid",11,0.800608147833732,0.103852733400685,2546.80222810683,1000.98226030029
"2 hours 15 minutes","Onsite",2,0.0158012896241767,0.0135486326284002,50.2652386572663,40.3883419690353
"2 hours 15 minutes","Remote",4,0.183590562542091,0.101765792127379,584.01710625444,326.127100289934
"2 hours 30 minutes","Hybrid",20,0.478657448674819,0.215900520860683,7454.60256888625,4793.01183644434
"2 hours 30 minutes","Onsite",11,0.303181345709234,0.214063714713742,4721.74087088712,4208.07769206968
"2 hours 30 minutes","Remote",9,0.218161205615947,0.137833232531525,3397.63872539422,2089.89072398381
"2 hours 45 minutes","Hybrid",9,0.476348986261566,0.247076828703291,410.605881026561,183.959729281262
"2 hours 45 minutes","Onsite",1,0.459457873244316,0.26815724835135,396.045987876796,396.04598787686
"2 hours 45 minutes","Remote",2,0.0641931404941175,0.0593075458055259,55.3335511749689,45.6748822921442
"3 hours","Hybrid",29,0.497293115460091,0.14051350872551,6336.24035750756,2697.81010974689
"3 hours","Onsite",22,0.236223395382479,0.0889717809939017,3009.83095216417,1039.3520131331
"3 hours","Remote",11,0.26648348915743,0.135487987579403,3395.38872772559,2105.33053080031
"3 hours 15 minutes","Hybrid",6,0.647123089320547,0.159051286371851,5118.13247816162,2594.56639819333
"3 hours 15 minutes","Onsite",5,0.131321100493436,0.0753977970931861,1038.62588214721,531.969271015077
"3 hours 15 minutes","Remote",4,0.221555810186017,0.141302750540314,1752.29721601971,1221.43232359926
"3 hours 30 minutes","Hybrid",13,0.482702289488858,0.18728516933052,1445.98690016203,697.108824091497
"3 hours 30 minutes","Onsite",8,0.515426781254379,0.187432430081845,1544.01665356865,889.871612226503
"3 hours 30 minutes","Remote",1,0.00187092925676289,0.00199666833026408,5.60457088213475,5.60457088213537
"3 hours 45 minutes","Hybrid",4,0.274052857826819,0.176906424182312,72.007017408263,38.2222933438889
"3 hours 45 minutes","Onsite",1,0.410737759503885,0.280940778074147,107.920790293371,107.92079029338
"3 hours 45 minutes","Remote",1,0.315209382669295,0.255870528503106,82.8208385969788,82.8208385969896
"30 minutes","Hybrid",31,0.367218496798699,0.110499177719603,9523.12949820447,3295.03875286932
"30 minutes","Onsite",27,0.548683049064684,0.118056023980533,14229.0755374912,5076.35840883951
"30 minutes","Remote",7,0.0840984541366172,0.0622861536014537,2180.93717044117,1673.3634844284
"4 hours","Hybrid",57,0.43731926296417,0.150371501283495,10495.3667251261,4780.8008989469
"4 hours","Onsite",18,0.134028676697856,0.0593112629934598,3216.59765017627,1209.56356137548
"4 hours","Remote",27,0.428652060337974,0.155133021124386,10287.3597202978,5361.20530556787
"4 hours 15 minutes","Hybrid",7,0.510438689119451,0.19377365521199,568.816911135821,337.355561913018
"4 hours 15 minutes","Onsite",1,0.138936132626208,0.129867647933151,154.82608095779,154.826080957763
"4 hours 15 minutes","Remote",4,0.350625178254342,0.175235196642376,390.725732810604,224.087771194837
"4 hours 30 minutes","Hybrid",16,0.281664703133552,0.160023298912209,3158.14125350551,1446.41853739846
"4 hours 30 minutes","Onsite",7,0.533150234244551,0.230520530603484,5977.90113688999,4877.66391553103
"4 hours 30 minutes","Remote",8,0.185185062621897,0.154140235257403,2076.37158398903,1777.86012112885
"4 hours 45 minutes","Hybrid",3,0.54715021302102,0.224992404397514,312.405180567902,212.927459623901
"4 hours 45 minutes","Onsite",1,0.243080585901784,0.207239198190092,138.79119942567,138.791199425685
"4 hours 45 minutes","Remote",3,0.209769201077197,0.133776559574354,119.771469663284,69.184821720359
"45 minutes","Hybrid",13,0.745036110552284,0.184889429688425,5723.3558163084,4682.12968837752
"45 minutes","Onsite",10,0.251003014714638,0.183135252129439,1928.20125606133,1031.79115268739
"45 minutes","Remote",1,0.0039608747330779,0.00465619207678495,30.4273781098017,30.4273781098046
"5 hours","Hybrid",27,0.195080545618521,0.0920519624060354,5420.89081549894,2243.34480830703
"5 hours","Onsite",6,0.340908106456273,0.178947521600745,9473.14155472861,6662.16536172482
"5 hours","Remote",26,0.464011347925206,0.171236893361489,12893.9297677268,6459.9284932849
"5 hours 15 minutes","Hybrid",6,0.539647164051691,0.295921621925481,1607.26351667406,1251.96342625778
"5 hours 15 minutes","Remote",5,0.460352835948309,0.295921621925481,1371.09646321848,1235.34910514077
"5 hours 30 minutes","Hybrid",16,0.713323190731371,0.142110329710706,4408.85336316665,2130.30973900623
"5 hours 30 minutes","Onsite",6,0.172851645085723,0.124241512395044,1068.3482139193,811.107407166217
"5 hours 30 minutes","Remote",7,0.113825164182906,0.0657554178353756,703.521859994861,352.778919795655
"5 hours 45 minutes","Hybrid",5,0.0423771378082261,0.0458419130619461,225.799736383043,131.647995011051
"5 hours 45 minutes","Onsite",2,0.931349508241207,0.0709803722399024,4962.54547423727,4934.45979409185
"5 hours 45 minutes","Remote",3,0.0262733539505671,0.0331918851700753,139.993324296311,123.461992904664
"6 hours","Hybrid",42,0.193261195284408,0.0736747111238148,6913.30326748012,2350.05951176659
"6 hours","Onsite",15,0.262367045197431,0.129676612985603,9385.34478260492,5611.11712258977
"6 hours","Remote",28,0.544371759518161,0.134157175098842,19473.1645856918,7616.36271513394
"6 hours 15 minutes","Hybrid",16,0.624313575819658,0.140408259669151,1441.44490888895,657.218845791341
"6 hours 15 minutes","Onsite",4,0.238436468728516,0.119496044906931,550.513471521014,293.567858233816
"6 hours 15 minutes","Remote",5,0.137249955451826,0.0747073018505331,316.889231940102,163.797495596042
"6 hours 30 minutes","Hybrid",22,0.138013910021018,0.0781227512164806,1816.14681477752,709.676123941354
"6 hours 30 minutes","Onsite",7,0.441552148272715,0.220214057575969,5810.45437754453,3354.94139499441
"6 hours 30 minutes","Remote",8,0.420433941706266,0.244207035499589,5532.55656576868,4954.502040955
"6 hours 45 minutes","Hybrid",4,0.418194402938555,0.236100026044933,203.527876428997,157.057666831032
"6 hours 45 minutes","Onsite",4,0.361191050479292,0.218780955841852,175.785345219004,127.288312762115
"6 hours 45 minutes","Remote",1,0.220614546582153,0.194860703426596,107.369227946862,107.369227946854
"7 hours","Hybrid",40,0.355276377605022,0.131385207948814,8050.05640700799,2686.686089911
"7 hours","Onsite",14,0.321680995000019,0.168239470981707,7288.83291444595,5017.47568354083
"7 hours","Remote",29,0.323042627394959,0.159779772883238,7319.68556403319,4605.45562386604
"7 hours 15 minutes","Hybrid",9,0.433065779592326,0.229600529492105,1893.47147421672,1192.62943351921
"7 hours 15 minutes","Onsite",5,0.403178379299651,0.254866531048555,1762.79631455402,1659.52246105146
"7 hours 15 minutes","Remote",8,0.163755841108023,0.111565731102314,715.981332365476,424.224161922541
"7 hours 30 minutes","Hybrid",34,0.281572610651948,0.104173433306794,5522.98498449561,2145.85566311432
"7 hours 30 minutes","Onsite",14,0.482986295912934,0.134465460197396,9473.67023329415,4188.18030555532
"7 hours 30 minutes","Remote",27,0.235441093435118,0.104551211217473,4618.12539495445,2255.78571439091
"7 hours 45 minutes","Hybrid",22,0.65911902179497,0.128170044468993,6083.63930323949,2437.77653386387
"7 hours 45 minutes","Onsite",5,0.131733296308033,0.0835397426458122,1215.8924753565,792.698433218836
"7 hours 45 minutes","Remote",20,0.209147681896997,0.103585002305564,1930.42381678645,1000.38785714552
"8 hours","Hybrid",427,0.499364132250134,0.0506416900972363,113613.345338784,16789.6849608882
"8 hours","Onsite",82,0.225725220407434,0.0442038348649893,51356.1062190528,11601.5120021132
"8 hours","Remote",338,0.274910647342432,0.0417824954798686,62546.5793329734,10530.8990887108
"8 hours 15 minutes","Hybrid",55,0.453526034031789,0.134088929076757,11862.37418857,4151.54130248546
"8 hours 15 minutes","Onsite",10,0.179218629675002,0.0957934358997471,4687.62162971797,2679.13919996036
"8 hours 15 minutes","Remote",42,0.367255336293209,0.144732582822814,9605.88785417728,5248.17734974935
"8 hours 30 minutes","Hybrid",94,0.382592065681244,0.0825658732535123,18680.8908499718,3733.79673091204
"8 hours 30 minutes","Onsite",19,0.274389523037619,0.0965546333168759,13397.6660522599,5869.22171596117
"8 hours 30 minutes","Remote",64,0.343018411281137,0.0982322305538524,16748.6209868566,6327.07909043428
"8 hours 45 minutes","Hybrid",18,0.302453208743851,0.128280662402932,3967.34435528612,1573.87731021257
"8 hours 45 minutes","Onsite",11,0.553918845281525,0.159321337703064,7265.87366436377,4132.95345163289
"8 hours 45 minutes","Remote",12,0.143627945974624,0.0721370731648534,1883.99892694261,818.375907015459
"9 hours","Hybrid",107,0.591384550381051,0.0993280131359705,34914.1848360984,9386.67917353681
"9 hours","Onsite",16,0.17376791955591,0.0871931139102209,10258.9174134667,5823.04770340196
"9 hours","Remote",76,0.234847530063039,0.075288822717754,13864.9379116158,4711.09370035529
"9 hours 15 minutes","Hybrid",11,0.53323821144271,0.232605730586712,4786.3727714145,3839.32367048875
"9 hours 15 minutes","Onsite",3,0.148032595267488,0.137485780970033,1328.74795553966,1256.42301783025
"9 hours 15 minutes","Remote",14,0.318729193289803,0.18633806663725,2860.92912975935,1566.24068013199
"9 hours 30 minutes","Hybrid",20,0.335297747230756,0.147147782010066,5487.68110660555,2275.28508430286
"9 hours 30 minutes","Onsite",7,0.559371915730448,0.170224276065915,9155.01138576739,5527.15052868149
"9 hours 30 minutes","Remote",9,0.105330337038796,0.0587181018538191,1723.89855074808,811.049055810011
"9 hours 45 minutes","Hybrid",3,0.116282526093421,0.0831661707197251,320.884923738187,203.749005990274
"9 hours 45 minutes","Onsite",6,0.57531024555586,0.202216712233201,1587.58491471604,1145.38863600574
"9 hours 45 minutes","Remote",5,0.308407228350719,0.168747830309009,851.05848036118,428.944306884865
