hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pstyp,pspcl,pstaz,ptpass,ppaidprk,pdiary,pproxy,psexpfac,id,puwmode,puwarrp,puwdepp,pwaudist,pwautime,psautime,psaudist
300086,1,5,40,2,0,0,-1,1,1078364,553,-1,-1,-1,-1,4.161,3000861,-1,-1,-1,-1,-1,8.73,0.43
300087,1,5,21,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000871,-1,-1,-1,-1,-1,13.62,3.89
300089,1,5,30,1,0,0,-1,1,1078364,551,-1,-1,-1,-1,4.161,3000891,-1,-1,-1,-1,-1,13.06,3.67
300090,1,5,80,2,0,0,-1,1,932775,72,-1,-1,-1,-1,15.123,3000901,-1,-1,-1,-1,-1,-1,-1
300094,1,5,30,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3000941,3,350,855,-1,-1,-1,-1
300095,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3000951,-1,-1,-1,-1,-1,-1,-1
300098,1,5,21,1,0,0,-1,1,1078364,626,-1,-1,-1,-1,4.161,3000981,-1,-1,-1,-1,-1,16.54,4.32
300101,1,5,21,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001011,1,960,1325,-1,-1,8.06,1.88
300104,1,5,17,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001041,-1,-1,-1,-1,-1,8.03,1.67
300105,1,5,40,2,0,0,-1,1,932775,72,-1,-1,-1,-1,14.04,3001051,3,405,1020,-1,-1,-1,-1
300106,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001061,-1,-1,-1,-1,-1,26.5,9.32
300118,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001181,-1,-1,-1,-1,-1,24.23,8.49
300119,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001191,-1,-1,-1,-1,-1,-1,-1
300130,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001301,3,440,960,-1,-1,-1,-1
300131,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001311,-1,-1,-1,-1,-1,-1,-1
300137,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001371,4,390,930,-1,-1,-1,-1
300142,1,5,50,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,15.04,3001421,-1,-1,-1,-1,-1,6.92,0.25
300148,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.667,3001481,-1,-1,-1,-1,-1,-1,-1
300155,1,5,21,2,0,0,-1,1,1078364,553,-1,-1,-1,-1,13.949,3001551,6,450,905,-1,-1,13.21,2.25
300157,1,5,21,2,0,0,-1,1,1078364,552,-1,1,-1,-1,4.161,3001571,-1,-1,-1,-1,-1,18.98,7.09
300163,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,16.514,3001631,-1,-1,-1,-1,-1,-1,-1
300165,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001651,-1,-1,-1,-1,-1,12.2,3.37
300166,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001661,-1,-1,-1,-1,-1,8.04,0.38
300178,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001781,2,415,1025,-1,-1,-1,-1
300179,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001791,-1,-1,-1,-1,-1,5.92,0.7
300181,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001811,-1,-1,-1,-1,-1,-1,-1
300183,1,5,21,3,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3001831,6,470,840,-1,-1,-1,-1
300185,1,5,30,1,0,0,-1,1,932775,72,-1,1,-1,-1,13.382,3001851,-1,-1,-1,-1,-1,11.28,3.19
300187,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.168,3001871,-1,-1,-1,-1,-1,22.55,6.63
300191,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001911,-1,-1,-1,-1,-1,9.96,2.72
300192,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3001921,-1,-1,-1,-1,-1,-1,-1
300193,1,5,60,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3001931,1,715,715,-1,-1,-1,-1
300198,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.771,3001981,-1,-1,-1,-1,-1,-1,-1
300201,1,5,21,2,0,0,-1,1,797163,302,-1,1,-1,-1,4.443,3002011,-1,-1,-1,-1,-1,-1,-1
300202,1,5,21,2,0,0,-1,1,932775,72,-1,1,-1,-1,13.532,3002021,6,420,1020,-1,-1,-1,-1
300207,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3002071,3,290,1110,-1,-1,-1,-1
300208,1,5,21,2,0,0,-1,1,1078364,1359,-1,-1,-1,-1,4.161,3002081,-1,-1,-1,-1,-1,-1,-1
300209,1,5,17,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002091,-1,-1,-1,-1,-1,8.09,0.55
300213,1,5,50,1,0,0,-1,1,1089776,797,-1,1,-1,-1,7.92,3002131,-1,-1,-1,-1,-1,8.61,1.06
300229,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002291,-1,-1,-1,-1,-1,18.09,8.84
300231,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,12.43,3002311,-1,-1,-1,-1,-1,-1,-1
300236,1,5,50,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002361,-1,-1,-1,-1,-1,14.24,2.25
300240,1,5,17,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002401,-1,-1,-1,-1,-1,-1,-1
300242,1,5,21,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3002421,-1,-1,-1,-1,-1,27.27,11.31
300243,1,5,40,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002431,-1,-1,-1,-1,-1,24.41,8.63
300244,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.532,3002441,4,645,1260,-1,-1,-1,-1
300250,1,5,30,2,0,0,-1,1,1078364,515,-1,-1,-1,-1,14.272,3002501,6,870,1030,-1,-1,-1,-1
300259,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.128,3002591,-1,-1,-1,-1,-1,22.39,5.89
300262,1,5,60,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3002621,3,795,855,-1,-1,-1,-1
300264,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002641,-1,-1,-1,-1,-1,36.83,15.76
300267,1,5,21,2,0,0,-1,1,1078364,321,-1,-1,-1,-1,4.161,3002671,6,1210,50,-1,-1,-1,-1
300268,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,16.514,3002681,-1,-1,-1,-1,-1,-1,-1
300269,1,5,40,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3002691,-1,-1,-1,-1,-1,62.58,20.01
300278,1,5,17,1,0,0,-1,1,797163,302,-1,1,-1,-1,15.004,3002781,-1,-1,-1,-1,-1,-1,-1
300280,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3002801,-1,-1,-1,-1,-1,14.28,3.91
300281,1,5,30,2,0,0,-1,1,932775,1750,-1,-1,-1,-1,12.69,3002811,3,585,810,-1,-1,-1,-1
300285,1,5,30,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3002851,-1,-1,-1,-1,-1,29.88,10.84
300288,1,5,21,2,0,0,-1,1,1078364,258,-1,-1,-1,-1,4.161,3002881,3,720,1260,-1,-1,-1,-1
300294,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3002941,-1,-1,-1,-1,-1,14.54,4.68
300295,1,5,30,2,0,0,-1,1,1078364,628,-1,-1,-1,-1,4.161,3002951,7,570,1040,-1,-1,15.42,3.03
300296,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,11.981,3002961,3,465,960,-1,-1,22.56,11.92
300298,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.128,3002981,-1,-1,-1,-1,-1,18.62,4.82
300302,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003021,-1,-1,-1,-1,-1,-1,-1
300305,1,5,21,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3003051,-1,-1,-1,-1,-1,18.27,7.14
300307,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003071,-1,-1,-1,-1,-1,-1,-1
300309,1,5,21,1,0,0,-1,1,1078364,427,-1,-1,-1,-1,16.514,3003091,-1,-1,-1,-1,-1,38.52,20.49
300312,1,5,30,2,0,0,-1,1,932775,186,-1,-1,-1,-1,3.907,3003121,6,445,960,-1,-1,28.66,9.1
300313,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003131,-1,-1,-1,-1,-1,23.09,8.87
300317,1,5,30,2,0,0,-1,1,932775,220,-1,-1,-1,-1,3.907,3003171,9,480,960,-1,-1,17.74,5.57
300318,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003181,6,555,1095,-1,-1,-1,-1
300320,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3003201,-1,-1,-1,-1,-1,33.34,14.96
300321,1,5,60,2,0,0,-1,1,932775,72,-1,-1,-1,-1,13.681,3003211,-1,-1,-1,-1,-1,20.02,7.78
300322,1,5,30,1,0,0,-1,1,1089776,874,-1,-1,-1,-1,26.991,3003221,-1,-1,-1,-1,-1,22.39,6.96
300325,1,5,40,2,0,0,-1,1,932775,218,-1,-1,-1,-1,14.04,3003251,-1,-1,-1,-1,-1,16.42,5.55
300328,1,5,40,1,0,0,-1,1,740439,1512,-1,-1,-1,-1,568.373,3003281,-1,-1,-1,-1,-1,22.71,11.46
300334,1,5,60,2,0,0,-1,1,932775,239,-1,-1,-1,-1,14.04,3003341,3,535,940,-1,-1,20.84,5.41
300335,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003351,-1,-1,-1,-1,-1,-1,-1
300338,1,5,40,1,0,0,-1,1,932775,505,-1,-1,-1,-1,3.907,3003381,6,470,745,-1,-1,-1,-1
300339,1,5,21,1,0,0,-1,1,740439,1512,-1,1,-1,-1,169.878,3003391,-1,-1,-1,-1,-1,-1,-1
300341,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003411,-1,-1,-1,-1,-1,21.52,11.15
300342,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3003421,3,525,1070,-1,-1,-1,-1
300343,1,5,60,2,0,0,-1,1,932775,72,-1,-1,-1,-1,14.205,3003431,-1,-1,-1,-1,-1,-1,-1
300346,1,5,21,1,0,0,-1,1,1078364,282,-1,-1,-1,-1,4.161,3003461,-1,-1,-1,-1,-1,-1,-1
300353,1,5,60,2,0,0,-1,1,932775,67,-1,-1,-1,-1,3.907,3003531,-1,-1,-1,-1,-1,29.99,14.38
300355,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003551,-1,-1,-1,-1,-1,-1,-1
300356,1,5,40,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,28.147,3003561,-1,-1,-1,-1,-1,24.38,9.69
300358,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3003581,3,500,1055,-1,-1,17.92,6.92
300359,1,5,40,2,0,0,-1,1,1078364,552,-1,1,-1,-1,4.161,3003591,-1,-1,-1,-1,-1,-1,-1
300361,1,5,21,1,0,0,-1,1,1078364,552,-1,1,-1,-1,14.638,3003611,-1,-1,-1,-1,-1,-1,-1
300365,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3003651,6,635,1115,-1,-1,-1,-1
300366,1,5,17,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3003661,-1,-1,-1,-1,-1,-1,-1
300372,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,13.589,3003721,-1,-1,-1,-1,-1,-1,-1
300375,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.638,3003751,3,560,1090,-1,-1,-1,-1
300379,1,5,40,1,0,0,-1,1,932775,72,-1,-1,-1,-1,14.205,3003791,-1,-1,-1,-1,-1,54.24,16.47
300382,1,5,21,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3003821,-1,-1,-1,-1,-1,9.74,2.53
300384,1,5,21,1,0,0,-1,1,104918,2252,-1,-1,-1,-1,41.059,3003841,-1,-1,-1,-1,-1,42.83,27.71
300392,1,5,60,2,0,0,-1,1,932775,72,-1,-1,-1,-1,14.04,3003921,-1,-1,-1,-1,-1,-1,-1
300395,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.638,3003951,-1,-1,-1,-1,-1,21.69,6.81
300400,1,5,50,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004001,-1,-1,-1,-1,-1,44.79,18.71
300402,1,5,17,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004021,-1,-1,-1,-1,-1,45.66,30.54
300403,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.975,3004031,-1,-1,-1,-1,-1,20.25,7.93
300405,1,5,17,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004051,-1,-1,-1,-1,-1,54.53,26.26
300408,1,5,21,1,0,0,-1,1,104918,2252,-1,-1,-1,-1,10.265,3004081,-1,-1,-1,-1,-1,39.34,26.03
300411,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3004111,-1,-1,-1,-1,-1,-1,-1
300413,1,5,30,2,0,0,-1,1,797163,302,-1,-1,-1,-1,3.675,3004131,-1,-1,-1,-1,-1,15.63,2.3
300414,1,5,60,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.577,3004141,-1,-1,-1,-1,-1,21.67,7.62
300416,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004161,-1,-1,-1,-1,-1,10.73,2.98
300417,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,11.981,3004171,-1,-1,-1,-1,-1,30.41,15.89
300418,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.667,3004181,-1,-1,-1,-1,-1,-1,-1
300422,1,5,21,1,0,0,-1,1,104918,2252,-1,-1,-1,-1,32.951,3004221,-1,-1,-1,-1,-1,45.12,30.61
300430,1,5,21,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3004301,-1,-1,-1,-1,-1,36.85,13.62
300432,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3004321,-1,-1,-1,-1,-1,16.32,3.32
300435,1,5,21,2,0,0,-1,1,1089776,756,-1,-1,-1,-1,31.434,3004351,-1,-1,-1,-1,-1,-1,-1
300440,1,5,17,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004401,-1,-1,-1,-1,-1,26.85,12.69
300441,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004411,-1,-1,-1,-1,-1,19.11,7.8
300443,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004431,-1,-1,-1,-1,-1,17.66,7.22
300445,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.592,3004451,3,430,990,-1,-1,-1,-1
300448,1,5,21,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004481,-1,-1,-1,-1,-1,17.95,5.96
300456,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3004561,-1,-1,-1,-1,-1,-1,-1
300461,1,5,40,2,0,0,-1,1,1078364,552,-1,1,-1,-1,15.04,3004611,-1,-1,-1,-1,-1,52.83,39.28
300463,1,5,60,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.467,3004631,3,510,1050,-1,-1,-1,-1
300469,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,12.785,3004691,-1,-1,-1,-1,-1,20.7,6.47
300480,1,5,40,1,0,0,-1,1,932775,69,-1,1,-1,-1,3.907,3004801,-1,-1,-1,-1,-1,16.63,4.87
300482,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3004821,-1,-1,-1,-1,-1,25.41,9.8
300483,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.638,3004831,-1,-1,-1,-1,-1,73.83,36.49
300488,1,5,21,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,26.938,3004881,-1,-1,-1,-1,-1,28.38,12.07
300490,1,5,40,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,15.187,3004901,-1,-1,-1,-1,-1,13.24,1.69
300493,1,5,60,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3004931,-1,-1,-1,-1,-1,17.58,7.15
300503,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,16.514,3005031,-1,-1,-1,-1,-1,-1,-1
300506,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.667,3005061,-1,-1,-1,-1,-1,42.82,24.32
300508,1,5,60,2,0,0,-1,1,932775,72,-1,-1,-1,-1,13.681,3005081,-1,-1,-1,-1,-1,-1,-1
300509,1,5,21,2,0,0,-1,1,1078364,567,-1,-1,-1,-1,14.025,3005091,-1,-1,-1,-1,-1,26.64,13.31
300514,1,5,60,2,0,0,-1,1,932775,72,-1,-1,-1,-1,12.577,3005141,-1,-1,-1,-1,-1,43.95,19.18
300515,1,5,21,1,0,0,-1,1,932775,72,-1,1,-1,-1,3.907,3005151,-1,-1,-1,-1,-1,-1,-1
300520,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005201,-1,-1,-1,-1,-1,20.53,6.77
300522,1,5,30,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3005221,-1,-1,-1,-1,-1,31.32,15.3
300529,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005291,-1,-1,-1,-1,-1,-1,-1
300530,1,5,40,2,0,0,-1,1,1078364,511,-1,-1,-1,-1,15.217,3005301,-1,-1,-1,-1,-1,17.03,2.26
300533,1,5,50,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.43,3005331,3,805,1410,-1,-1,-1,-1
300534,1,5,21,2,0,0,-1,1,104918,2252,-1,-1,-1,-1,10.265,3005341,3,900,1410,-1,-1,40.15,28.21
300535,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,14.04,3005351,-1,-1,-1,-1,-1,-1,-1
300539,1,5,21,1,0,0,-1,1,104918,2252,-1,-1,-1,-1,10.265,3005391,-1,-1,-1,-1,-1,44.44,27.08
300543,1,5,30,2,0,0,-1,1,1089776,480,-1,-1,-1,-1,26.813,3005431,6,600,900,-1,-1,21.34,7.04
300549,1,5,21,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,31.434,3005491,-1,-1,-1,-1,-1,-1,-1
300552,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005521,-1,-1,-1,-1,-1,18.93,5.77
300553,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005531,-1,-1,-1,-1,-1,-1,-1
300559,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,13.906,3005591,-1,-1,-1,-1,-1,-1,-1
300564,1,5,21,1,0,0,-1,1,932775,47,-1,-1,-1,-1,3.907,3005641,-1,-1,-1,-1,-1,11.23,3.77
300568,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,14.205,3005681,-1,-1,-1,-1,-1,38.8,23.93
300569,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,13.889,3005691,-1,-1,-1,-1,-1,41.12,21.23
300573,1,5,21,2,0,0,-1,1,932775,69,-1,-1,-1,-1,3.907,3005731,-1,-1,-1,-1,-1,28.58,14.67
300574,1,5,30,2,0,0,-1,1,104918,2252,-1,-1,-1,-1,10.265,3005741,-1,-1,-1,-1,-1,62.15,39.29
300577,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005771,-1,-1,-1,-1,-1,29.75,12.62
300580,1,5,40,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,27.873,3005801,-1,-1,-1,-1,-1,64.05,30.02
300582,1,5,21,2,0,0,-1,1,1078364,552,-1,1,-1,-1,4.161,3005821,-1,-1,-1,-1,-1,-1,-1
300585,1,5,17,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3005851,-1,-1,-1,-1,-1,9.78,0.93
300586,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005861,-1,-1,-1,-1,-1,22.28,8.24
300587,1,5,17,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3005871,-1,-1,-1,-1,-1,-1,-1
300590,1,5,21,3,0,0,-1,1,797163,302,-1,-1,-1,-1,4.11,3005901,-1,-1,-1,-1,-1,17.77,2.87
300591,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3005911,6,1020,1295,-1,-1,24.93,9.38
300592,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3005921,-1,-1,-1,-1,-1,20.49,8.05
300593,1,5,21,2,0,0,-1,1,1078364,551,-1,-1,-1,-1,4.161,3005931,6,970,1340,-1,-1,13.91,1.24
300594,1,5,21,1,0,0,-1,1,104918,2252,-1,-1,-1,-1,10.265,3005941,-1,-1,-1,-1,-1,52.68,34.75
300595,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3005951,-1,-1,-1,-1,-1,19.15,6.49
300596,1,5,17,2,0,0,-1,1,797163,302,-1,-1,-1,-1,5.034,3005961,-1,-1,-1,-1,-1,-1,-1
300603,1,5,50,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3006031,-1,-1,-1,-1,-1,30.23,12.93
300604,1,5,40,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.309,3006041,-1,-1,-1,-1,-1,-1,-1
300612,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3006121,-1,-1,-1,-1,-1,36.54,18.3
300616,1,5,21,1,0,0,-1,1,104918,2252,-1,1,-1,-1,10.346,3006161,3,970,1410,-1,-1,40.2,25.15
300620,1,5,21,1,0,0,-1,1,740439,1512,-1,-1,-1,-1,169.878,3006201,-1,-1,-1,-1,-1,24.67,13.15
300625,1,5,50,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3006251,-1,-1,-1,-1,-1,-1,-1
