hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidprk,pdiary,pproxy,psexpfac
2891,3,1,30,1,1,45598,1931,18.37,6.61,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,2,291.91
2896,1,1,45,2,1,430873,1931,51.35,24.83,0,-1,-1,-1,-1,3,5,4,0,-1,1,0,205.45
2901,1,4,47,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,429.39
2901,2,2,48,1,2,-1,-1,-1,-1,2,674828,3596,20.51,4.63,-1,-1,-1,0,-1,1,1,429.39
2901,3,8,2,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,429.39
2903,1,3,72,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,193.79
2903,2,1,45,2,1,147920,469,65.28,25.85,2,115790,1062,24.25,7.13,-1,-1,-1,1,-1,1,0,193.79
2925,1,1,56,2,1,595738,3506,43.47,21.98,0,-1,-1,-1,-1,3,4,2,0,-1,1,0,134.91
2930,1,1,40,2,1,361140,611,112.99,34.41,0,-1,-1,-1,-1,0,9,9,1,-1,1,0,674.28
2930,2,1,42,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,674.28
2930,3,7,12,1,0,-1,-1,-1,-1,1,1158629,2246,9.7,2.21,-1,-1,-1,0,-1,1,1,674.28
2930,4,8,4,1,0,-1,-1,-1,-1,1,1120067,2344,9.31,2.11,-1,-1,-1,0,-1,1,1,674.28
2933,1,1,53,1,1,147803,501,32.45,7.21,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,121.67
2933,2,4,55,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,121.67
2934,1,1,57,2,1,41077,492,26.06,4.03,0,-1,-1,-1,-1,5,5,6,1,-1,1,0,409.58
2935,1,1,39,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,590.19
2935,2,1,38,2,1,147756,527,154.84,48.38,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,590.19
2935,3,7,12,1,0,-1,-1,-1,-1,1,699263,2710,7.94,2.63,-1,-1,-1,0,-1,1,0,590.19
2935,4,7,11,2,0,-1,-1,-1,-1,1,687840,2703,8.17,2.9,-1,-1,-1,0,-1,1,0,590.19
2936,1,1,61,1,1,1500003,3354,22.97,3.74,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.64
2936,2,4,59,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.64
