rectype,qno,pernum,final,perstype,samptyp,sex,age,agerng,age18,relat,ldrv,wkrstat,wrkr,nowrk,transit,tpass,ptype1,ptype2,ptype3,fvalue1,fvalue2,fvalue3,fvalue1c,fvalue2c,fvalue3c,pcost1,pcost2,pcost3,cost1c,cost2c,cost3c,edu,sstatus,stype,scnty,scity,sstate,szip,staz,stract,disabl,homeact1,homeact2,homeact3,homeact4,attd1a,attd1b,attd1c,attd1d,attd1e,attd1f,attd1g,attd1h,attd1i,attd1j,attd2a,attd2b,attd2c,attd2d,attd2e,attd2f,attd3,proxy,proxynum,assure,gps,spsrecv,spscompl,expfac2
2,2503,2,1,4,1,2,49,7,1,2,1,2,5,99,1,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,210.85
2,2507,1,1,2,1,2,62,8,1,0,1,1,2, ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,108.29
2,2507,2,1,3,1,1,68,9,1,1,1,2,4, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,108.29
2,2509,1,1,4,1,2,50,7,1,0,1,2,5,2,1,2, , , , , , , , , , , , , , , ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,260.78
2,2512,1,1,1,1,2,47,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,121.67
2,2512,2,1,4,1,2,43,6,1,6,1,99,5,98,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,121.67
2,2535,1,1,3,1,1,81,10,1,0,1,2,4, ,1,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,173.45
2,2535,2,1,3,1,2,78,10,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,173.45
2,2539,1,1,1,1,1,54,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,228.35
2,2539,2,1,1,1,2,44,6,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,228.35
2,2542,1,1,3,1,2,74,9,1,0,1,2,4, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,82.76
2,2543,1,1,1,1,1,63,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,295.78
2,2543,2,1,4,1,2,57,8,1,1,1,99,5,98,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,295.78
2,2543,3,1,1,1,2,30,5,1,2,1,1,1, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,295.78
2,2543,4,1,8,1,1,3,1,2,5,3,3, , ,2,2, , , , , , , , , , , , , , , ,8, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,295.78
2,2551,1,1,1,1,2,55,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,330.42
2,2551,2,1,5,1,2,19,4,1,2,1,99,99, ,2,2, , , , , , , , , , , , , , , ,3,1,4,1,AUBURN,WA,98092,451,31206,2,98,98,98,98, , , , , , , , , , , , , , , , , ,1, ,1, , , ,330.42
2,2563,1,1,3,1,2,67,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,2,1,1,9,9,2,9,3,8,7,9,3,5,7,7,8,3,8,6, ,1, ,1, , , ,317.74
2,2563,2,1,3,1,1,72,9,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,1,2,1,1,2, , , , , , , , , , , , , , , , , ,1, ,1, , , ,317.74
2,2575,1,1,4,1,2,54,7,1,0,1,99,5,98,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,3,6,8,8,3,8,8,5,3,10,8,9,9,7,8,8, ,1, ,1, , , ,781.99
2,2591,1,1,2,1,2,62,8,1,0,1,1,2, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,2,2,1,8,7,8,4,5,7,5,5,8,9,10,8,5,8,7,5,1, ,1, , , ,185.45
2,2591,2,1,3,1,1,81,10,1,1,1,2,4, ,1,1,26,1, ,-98,-98, , , , ,-98,-97, , ,9, ,7, , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , , , , , ,1, ,1, , , ,185.45
2,2605,1,1,1,1,1,40,6,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,281.17
2,2605,2,1,1,1,2,38,6,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,281.17
2,2622,1,1,3,1,2,66,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,268.2
2,2622,2,1,1,1,1,64,8,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,268.2
2,2658,1,1,1,1,2,49,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,1,2,2,10,10,10,8,10,5,5,3,1,5,10,10,10,10,10,9,9,1, ,1, , , ,286.44
2,2658,2,1,1,1,1,52,7,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,286.44
2,2673,1,1,1,1,2,60,8,1,0,1,1,1, ,1,1,23, , ,300, , ,6, , ,-97, , ,9, , ,2, , , , , , , , ,2,2,2,2,2,10,10,10,5,10,1,10,10,10,10,99,5,10,5,10,10,5,1, ,1, , , ,109.09
2,2702,1,1,2,1,2,52,7,1,0,1,1,2, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,1,2,2,1,10,8,10,1,5,10,3,99,2,9,6,5,3,9,9,1,1, ,1, , , ,275.86
2,2702,2,1,1,1,1,55,8,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,275.86
2,2707,1,1,3,1,2,73,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,99,10,8,8,1,99,7,3,99,99,99,8,99,7,99,1, ,1, ,1, , , ,141.12
2,2709,1,1,5,1,2,27,5,1,0,1,99,5,98,2,2, , , , , , , , , , , , , , , ,3,1,4,3,LAKEWOOD,WA,98498,818,72107,2,2,1,1,2,1,5,10,8,5,8,5,1,5,7,8,10,5,5,10,7,9,1, ,1, , , ,515.48
2,2709,2,1,1,1,1,30,5,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,515.48
2,2736,1,1,3,1,2,80,10,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,389.75
2,2746,1,0,2,1,2,998,7,1,0,1,1,2, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,2,2,1,1,99,8,10,99,5,8,3,7,5,8,8,5,5,10,8,7,1, ,1, , , , 
