,recordID,personID,tripID_x,tripnum,total_trip,Last,college,place_start,place_end,olat,olng,dlat,dlng,address_start,cnty_start,city_start,zip_start,state_start,address_end,cnty_end,city_end,zip_end,state_end,time_start_mam,time_start_hhmm,time_start_past,time_end_mam,time_end_hhmm,time_end_past,trip_dur_reported,gdist,gtime,implied_speed_mph,a_dur,o_purpose,d_purpose,mode,travelers_total,vehicle,driver,toll,pool_start,change_vehicles,park,park_off,park_campus_area,park_campus_lot,bikeshare,taxi_type,taxi_fare,mode_acc,mode_egr,transitsystem1,transitsystem2,transitsystem3,transitsystem4,transitsystem5,transitsystem6,transitline1,transitline2,transitline3,transitline4,transitline5,transitline6,mode_old,traveldate,linked_flag,tripID_y,set_size
698,B03427,300141,30014105,5,11,,4,FERRY TO SEATTLE,"CLASS - BE3179, SEATTLE U",47.602856,-122.338374,47.611142,-122.320821,  801 ALASKAN WAY,1,SEATTLE,98104,WA,BROADWAY / MADISON ST,1,SEATTLE,98122,WA,595,9:55,,620,10:20,,25,1.07,28.0,3.0,130,15,2,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30014102,3,3
701,B03431,300141,30014109,9,11,,4,WALKED TO CLASS,COLEMAN DOCK,47.616557,-122.321397,47.602665,-122.338371, 1701 BROADWAY,1,SEATTLE,98122,WA,  801 ALASKAN WAY,1,SEATTLE,98104,WA,1165,19:25,,1190,19:50,,25,1.61,7.0,4.0,5,2,15,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30014104,3,3
699,B03432,300141,30014110,10,11,,4,COLEMAN DOCK,PICKED UP AT BREMERTON FERRY TERMINAL,47.602665,-122.338371,47.563433,-122.625944,  801 ALASKAN WAY,1,SEATTLE,98104,WA,  211 1ST ST,2,BREMERTON,98337,WA,1195,19:55,,1255,20:55,,60,16.35,71.0,16.0,5,15,15,10,1.0,,,,,,,,,,,,,1.0,1.0,14.0,,,,,,427.0,,,,,,9.0,15-Oct-14,30014104,3,3
700,B03433,300141,30014111,11,11,1.0,4,PICKED UP AT BREMERTON FERRY TERMINAL,HOME (OFF-CAMPUS),47.563433,-122.625944,47.574217,-122.611342,  211 1ST ST,2,BREMERTON,98337,WA, 1608 IRONSIDES AVE,2,BREMERTON,98310,WA,1260,21:00,,1270,21:10,,10,1.73,7.0,10.0,350,15,1,3,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30014104,3,3
788,B03476,300154,30015401,1,10,,4,HOME (OFF-CAMPUS),KENMORE TRANSIT CENTER,47.79178,-122.263968,47.758131,-122.241653,228TH ST SW / 23RD PL W,4,BRIER,98021,WA, 7346 NE BOTHELL WAY,1,KENMORE,98028,WA,380,6:20,,390,6:30,,10,3.05,8.0,18.0,0,1,2,3,1.0,2.0,2.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30015401,3,3
787,B03477,300154,30015402,2,10,,4,KENMORE TRANSIT CENTER,BUS STOP,47.758131,-122.241653,47.610675,-122.335583, 7346 NE BOTHELL WAY,1,KENMORE,98028,WA,5TH AVE / PIKE ST,1,SEATTLE,98101,WA,390,6:30,,420,7:00,,30,14.18,23.0,28.0,30,2,2,8,1.0,,,,,,,,,,,,,5.0,1.0,12.0,,,,,,394.0,,,,,,7.0,15-Oct-14,30015401,3,3
789,B03478,300154,30015403,3,10,,4,BUS STOP,SEATTLE CENTRAL CAMPUS,47.610675,-122.335583,47.616344,-122.321357,5TH AVE / PIKE ST,1,SEATTLE,98101,WA, 1701 BROADWAY,1,SEATTLE,98122,WA,450,7:30,,465,7:45,,15,0.96,3.0,4.0,65,2,2,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,74.0,,,,,,7.0,15-Oct-14,30015401,3,3
906,B03484,300154,30015408,8,10,,4,ANTHROPOLOGY CLASS,BUS STOP,47.616344,-122.321357,47.610675,-122.335583, 1701 BROADWAY,1,SEATTLE,98122,WA,5TH AVE / PIKE ST,1,SEATTLE,98101,WA,830,13:50,,845,14:05,,15,0.96,4.0,4.0,10,2,1,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,74.0,,,,,,7.0,15-Oct-14,30015406,3,3
904,B03485,300154,30015409,9,10,,4,BUS STOP,MOUNTLAKE TERRACE TRANSIT CENTER,47.610675,-122.335583,47.785671,-122.315079,5TH AVE / PIKE ST,1,SEATTLE,98101,WA, 6001 236TH ST SW,4,MOUNTLAKE TERRACE,98043,WA,855,14:15,,875,14:35,,20,12.9,15.0,39.0,5,1,1,8,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,38.0,,,,,,7.0,15-Oct-14,30015406,3,3
905,B03486,300154,30015410,10,10,1.0,4,MOUNTLAKE TERRACE TRANSIT CENTER,HOME (OFF-CAMPUS),47.785671,-122.315079,47.79178,-122.263968, 6001 236TH ST SW,4,MOUNTLAKE TERRACE,98043,WA,228TH ST SW / 23RD PL W,4,BRIER,98021,WA,880,14:40,,930,15:30,,50,3.0,8.0,4.0,690,1,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30015406,3,3
2272,B03543,300168,30016806,6,8,,4,U OF WASHINGTON HUB FOR A LECTURE,PARKING GARAGE AT UW,47.655538,-122.305577,47.655148,-122.310357, 4001 W STEVENS WAY NE,1,SEATTLE,98195,WA,GRANT LN / STEVENS WAY,1,SEATTLE,98105,WA,1140,19:00,,1145,19:05,,5,0.22,3.0,3.0,0,16,15,7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30016803,3,3
2270,B03544,300168,30016807,7,8,,4,PARKING GARAGE AT UW,SEATTLE CENTRAL COLLEGE - BE BLDG,47.655148,-122.310357,47.616734,-122.321533,GRANT LN / STEVENS WAY,1,SEATTLE,98105,WA, 1701 BROADWAY,1,SEATTLE,98122,WA,1145,19:05,,1170,19:30,,25,3.32,10.0,8.0,5,15,15,3,3.0,2.0,2.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30016803,3,3
2271,B03545,300168,30016808,8,8,1.0,4,SEATTLE CENTRAL COLLEGE - BE BLDG,HOME (OFF-CAMPUS),47.616734,-122.321533,47.592873,-122.295253, 1701 BROADWAY,1,SEATTLE,98122,WA, 1114 29TH AVE S,1,SEATTLE,98144,WA,1175,19:35,,1190,19:50,,15,2.77,10.0,11.0,430,15,1,3,2.0,1.0,2.0,,3.0,,1.0,,,170.0,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30016803,3,3
1319,B00019,300233,30023307,7,12,,1,NEXT CLASS,BUS STOP,47.585352,-122.148283,47.609051,-122.201463, 3000 LANDERHOLM CIR SE,1,BELLEVUE,98007,WA,  138 BELLEVUE WAY SE,1,BELLEVUE,98004,WA,825,13:45,,835,13:55,,10,5.01,9.0,30.0,5,3,6,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30023305,3,3
1318,B00020,300233,30023308,8,12,,1,BUS STOP,TRANSIT CENTER,47.609051,-122.201463,47.541719,-122.061684,  138 BELLEVUE WAY SE,1,BELLEVUE,98004,WA, 1050 17TH AVE NW,1,ISSAQUAH,98027,WA,840,14:00,,850,14:10,,10,9.34,13.0,56.0,15,6,6,8,2.0,,,,,,,,,,,,,1.0,1.0,12.0,,,,,,401.0,,,,,,7.0,15-Oct-14,30023305,3,3
1320,B00021,300233,30023309,9,12,,1,TRANSIT CENTER,SHOP,47.541719,-122.061684,47.545286,-122.057167, 1050 17TH AVE NW,1,ISSAQUAH,98027,WA, 1195 NW GILMAN BLVD,1,ISSAQUAH,98027,WA,865,14:25,,870,14:30,,5,0.59,3.0,7.0,45,6,6,1,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30023305,3,3
555,B00027,300241,30024101,1,11,,1,HOME (OFF-CAMPUS),ASH WAY PARK & RIDE,47.828538,-122.32509,47.849915,-122.2609,188TH ST SW / 68TH AVE W,4,LYNNWOOD,98037,WA,164TH ST SW / ASH WAY,4,LYNNWOOD,98087,WA,370,6:10,,385,6:25,,15,4.14,9.0,17.0,0,1,15,1,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30024101,4,4
553,B00028,300241,30024102,2,11,,1,ASH WAY PARK & RIDE,BELLEVUE TRANSIT,47.849915,-122.2609,47.615433,-122.19619,164TH ST SW / ASH WAY,4,LYNNWOOD,98087,WA,10850 NE 6TH ST,1,BELLEVUE,98004,WA,385,6:25,,430,7:10,,45,18.47,21.0,25.0,5,15,15,8,6.0,,,,,,,,,,,,,3.0,1.0,12.0,,,,,,395.0,,,,,,7.0,15-Oct-14,30024101,4,4
554,B00029,300241,30024103,3,11,,1,BELLEVUE TRANSIT,BUS STOP,47.615433,-122.19619,47.585541,-122.148422,10850 NE 6TH ST,1,BELLEVUE,98004,WA,TYE RIVER RD / KELSEY CREEK RD,1,BELLEVUE,98007,WA,435,7:15,,455,7:35,,20,5.61,10.0,17.0,0,15,3,8,6.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,229.0,,,,,,7.0,15-Oct-14,30024101,4,4
556,B00030,300241,30024104,4,11,,1,BUS STOP,GYM,47.585541,-122.148422,47.586078,-122.150004,TYE RIVER RD / KELSEY CREEK RD,1,BELLEVUE,98007,WA, 3014 SNOQUALMIE RIVER RD,1,BELLEVUE,98007,WA,455,7:35,,460,7:40,,5,0.08,2.0,1.0,40,3,10,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30024101,4,4
530,B00034,300241,30024108,8,11,,1,OFFICE,BUS STOP,47.585547,-122.150039,47.585541,-122.148422, 3014 SNOQUALMIE RIVER RD,1,BELLEVUE,98007,WA,TYE RIVER RD / KELSEY CREEK RD,1,BELLEVUE,98007,WA,1020,17:00,,1025,17:05,,5,0.08,2.0,1.0,10,3,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30024104,4,4
528,B00035,300241,30024109,9,11,,1,BUS STOP,BELLEVUE TRANSIT,47.585541,-122.148422,47.615433,-122.19619,TYE RIVER RD / KELSEY CREEK RD,1,BELLEVUE,98007,WA,10850 NE 6TH ST,1,BELLEVUE,98004,WA,1035,17:15,,1050,17:30,,15,5.18,10.0,21.0,5,1,15,8,6.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,229.0,,,,,,7.0,15-Oct-14,30024104,4,4
527,B00036,300241,30024110,10,11,,1,BELLEVUE TRANSIT,ASH WAY PARK & RIDE,47.615433,-122.19619,47.849915,-122.2609,10850 NE 6TH ST,1,BELLEVUE,98004,WA,164TH ST SW / ASH WAY,4,LYNNWOOD,98087,WA,1055,17:35,,1090,18:10,,35,18.75,22.0,32.0,5,15,1,8,6.0,,,,,,,,,,,,,1.0,3.0,12.0,,,,,,395.0,,,,,,7.0,15-Oct-14,30024104,4,4
529,B00037,300241,30024111,11,11,1.0,1,ASH WAY PARK & RIDE,HOME (OFF-CAMPUS),47.849915,-122.2609,47.828538,-122.32509,164TH ST SW / ASH WAY,4,LYNNWOOD,98087,WA,188TH ST SW / 68TH AVE W,4,LYNNWOOD,98037,WA,1095,18:15,,1115,18:35,,20,3.95,8.0,12.0,505,1,1,1,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30024104,4,4
1617,B03884,300254,30025412,12,15,,4,DALES OFFICE,BUS STOP,47.617309,-122.321046,47.615333,-122.321607, 1737 BROADWAY,1,SEATTLE,98122,WA,  838 E PINE ST,1,SEATTLE,98122,WA,880,14:40,,890,14:50,,10,0.18,1.0,1.0,0,16,1,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30025403,4,4
1616,B03885,300254,30025413,13,15,,4,BUS STOP,BUS STOP,47.615333,-122.321607,47.609899,-122.33808,  838 E PINE ST,1,SEATTLE,98122,WA, 1511 3RD AVE,1,SEATTLE,98101,WA,890,14:50,,930,15:30,,40,1.1,4.0,2.0,20,1,1,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30025403,4,4
1615,B03886,300254,30025414,14,15,,4,BUS STOP,BUS STOP,47.609899,-122.33808,47.576232,-122.413225, 1511 3RD AVE,1,SEATTLE,98101,WA,63RD AVE SW / SW ADMIRAL WAY,1,SEATTLE,98116,WA,950,15:50,,965,16:05,,15,6.9,13.0,28.0,0,1,1,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,3.0,,,,,74.0,109.0,,,,,7.0,15-Oct-14,30025403,4,4
1618,B03887,300254,30025415,15,15,1.0,4,BUS STOP,HOME (OFF-CAMPUS),47.576232,-122.413225,47.574708,-122.413655,63RD AVE SW / SW ADMIRAL WAY,1,SEATTLE,98116,WA, 3241 63RD AVE SW,1,SEATTLE,98116,WA,965,16:05,,970,16:10,,5,0.11,0.0,1.0,650,1,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30025403,4,4
702,B03901,300259,30025902,2,10,,4,BREMERTON FERRY TERMINAL,SEATTLE FERRY TERMINAL,47.563433,-122.625944,47.601888,-122.339129,  211 1ST ST,2,BREMERTON,98337,WA,  801 ALASKAN WAY,1,SEATTLE,98104,WA,440,7:20,,500,8:20,,60,16.3,74.0,16.0,5,2,2,10,1.0,,,,,,,,,,,,,5.0,1.0,14.0,,,,,,427.0,,,,,,9.0,15-Oct-14,30025901,4,4
705,B03902,300259,30025903,3,10,,4,SEATTLE FERRY TERMINAL,BUS STOP,47.601888,-122.339129,47.604123,-122.335014,  801 ALASKAN WAY,1,SEATTLE,98104,WA,MARION ST / 1ST AVE,1,SEATTLE,98104,WA,505,8:25,,510,8:30,,5,0.3,7.0,4.0,25,2,2,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,15-Oct-14,30025901,4,4
703,B03903,300259,30025904,4,10,,4,BUS STOP,BUS STOP,47.604123,-122.335014,47.609407,-122.324752,MARION ST / 1ST AVE,1,SEATTLE,98104,WA,MADISON ST / BOREN AVE,1,SEATTLE,98104,WA,535,8:55,,540,9:00,,5,0.65,3.0,8.0,15,2,2,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,76.0,,,,,,7.0,15-Oct-14,30025901,4,4
704,B03904,300259,30025905,5,10,,4,BUS STOP,CLASS,47.609407,-122.324752,47.616344,-122.321357,MADISON ST / BOREN AVE,1,SEATTLE,98104,WA, 1701 BROADWAY,1,SEATTLE,98122,WA,555,9:15,,570,9:30,,15,0.57,2.0,2.0,320,2,2,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,111.0,,,,,,7.0,15-Oct-14,30025901,4,4
710,B03905,300259,30025906,6,10,,4,CLASS,BUS STOP,47.616344,-122.321357,47.611594,-122.319967, 1701 BROADWAY,1,SEATTLE,98122,WA,E MADISON ST / BROADWAY CT,1,SEATTLE,98122,WA,890,14:50,,895,14:55,,5,0.3,6.0,4.0,25,2,2,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,111.0,,,,,,6.0,15-Oct-14,30025902,5,5
708,B03906,300259,30025907,7,10,,4,BUS STOP,BUS STOP,47.611594,-122.319967,47.604123,-122.335014,E MADISON ST / BROADWAY CT,1,SEATTLE,98122,WA,MARION ST / 1ST AVE,1,SEATTLE,98104,WA,920,15:20,,930,15:30,,10,1.28,5.0,8.0,10,2,1,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,76.0,,,,,,7.0,15-Oct-14,30025902,5,5
709,B03907,300259,30025908,8,10,,4,BUS STOP,SEATTLE FERRY TERMINAL,47.604123,-122.335014,47.601888,-122.339129,MARION ST / 1ST AVE,1,SEATTLE,98104,WA,  801 ALASKAN WAY,1,SEATTLE,98104,WA,940,15:40,,955,15:55,,15,0.5,3.0,2.0,25,1,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,15-Oct-14,30025902,5,5
706,B03908,300259,30025909,9,10,,4,SEATTLE FERRY TERMINAL,BREMERTON FERRY TERMINAL,47.601888,-122.339129,47.563433,-122.625944,  801 ALASKAN WAY,1,SEATTLE,98104,WA,  211 1ST ST,2,BREMERTON,98337,WA,980,16:20,,1040,17:20,,60,16.3,72.0,16.0,0,1,1,10,1.0,,,,,,,,,,,,,1.0,5.0,14.0,,,,,,427.0,,,,,,9.0,15-Oct-14,30025902,5,5
707,B03909,300259,30025910,10,10,1.0,4,BREMERTON FERRY TERMINAL,HOME (OFF-CAMPUS),47.563433,-122.625944,47.574739,-122.619228,  211 1ST ST,2,BREMERTON,98337,WA, 1014 PARKSIDE DR,2,BREMERTON,98310,WA,1040,17:20,,1055,17:35,,15,1.57,6.0,6.0,565,1,1,3,1.0,1.0,2.0,,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30025902,5,5
2720,B04042,300294,30029403,3,7,,4,SEATTLE CENTRAL COLLEGE,PARKING SPOT,47.616257,-122.320903,47.620317,-122.318253, 1701 BROADWAY,1,SEATTLE,98122,WA,  211 11TH AVE E,1,SEATTLE,98102,WA,710,11:50,,720,12:00,,10,0.4,2.0,2.0,0,2,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30029402,3,3
2718,B04043,300294,30029404,4,7,,4,PARKING SPOT,PARKING SPOT,47.620317,-122.318253,47.604394,-122.318398,  211 11TH AVE E,1,SEATTLE,98102,WA, 1050 E ALDER ST,1,SEATTLE,98122,WA,720,12:00,,740,12:20,,20,1.24,5.0,4.0,0,3,3,1,,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30029402,3,3
2719,B04044,300294,30029405,5,7,,4,PARKING SPOT,WORK,47.604394,-122.318398,47.608438,-122.318559, 1050 E ALDER ST,1,SEATTLE,98122,WA, 1015 E JAMES WAY,1,SEATTLE,98122,WA,740,12:20,,745,12:25,,5,0.41,2.0,5.0,495,3,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30029402,3,3
2363,B04128,300317,30031701,1,14,,4,HOME (OFF-CAMPUS),WALKED TO CAR,47.675784,-122.300642,47.672547,-122.301859, 6501 25TH AVE NE,1,SEATTLE,98115,WA, 5925 24TH AVE NE,1,SEATTLE,98115,WA,450,7:30,,455,7:35,,5,0.33,1.0,4.0,0,1,15,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30031701,3,3
2362,B04129,300317,30031702,2,14,,4,WALKED TO CAR,PARKING SPOT,47.672547,-122.301859,47.660069,-122.347789, 5925 24TH AVE NE,1,SEATTLE,98115,WA,  806 N 44TH ST,1,SEATTLE,98103,WA,455,7:35,,475,7:55,,20,2.98,10.0,9.0,0,15,3,1,,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30031701,3,3
