"","home_county","dest_jurisdiction","mode_char1","count","prop","prop_se","est","est_se"
"241","King","University Place","SOV",4,1,0,879.94209045722,497.548049768819
"242","King","Woodinville","HOV",65,0.448159618134406,0.0702068380012917,59297.3453610561,12702.2074598105
"243","King","Woodinville","SOV",50,0.310507512789004,0.0586141085134393,41084.1817915201,8399.56376176278
"244","King","Woodinville","Transit",2,0.00764994471281475,0.00547463669661971,1012.18716562883,715.712685356107
"245","King","Woodinville","Walk",19,0.233682924363775,0.0673758949867351,30919.2897134801,10661.7000827599
"246","King","Woodway","SOV",1,1,0,649.066139904063,649.06613990431
"247","King","Yarrow Point","HOV",1,1,0,3.9434789668956,3.94347896689678
"248","King",NA,"Bike/Micromobility",7,0.0180960049051204,0.0117396068692072,2439.58640233757,1573.17817503331
"249","King",NA,"HOV",104,0.415921381727433,0.0731380198569879,56071.8320216961,14256.901256797
"250","King",NA,"SOV",74,0.171231817651859,0.0458100008672025,23084.3667528418,6460.86076188237
"251","King",NA,"Transit",18,0.182284917659753,0.0618394290688721,24574.4742447614,9503.03536609542
"252","King",NA,"Walk",90,0.212465878055835,0.0417110048100046,28643.2762249674,5134.2838975644
"253","Kitsap","Bainbridge Island","Bike/Micromobility",4,0.00393322947364098,0.00220372303180666,332.69178571262,180.331911123823
"254","Kitsap","Bainbridge Island","HOV",47,0.247006814581661,0.077419559422069,20893.0444503884,8088.34659256889
"255","Kitsap","Bainbridge Island","SOV",99,0.637403107832208,0.0784922576406608,53914.6723029025,8736.901873091
"256","Kitsap","Bainbridge Island","Transit",5,0.0578312886918157,0.0423383412732204,4891.65324166347,3727.6854466969
"257","Kitsap","Bainbridge Island","Walk",8,0.0538255594206741,0.0247662858256711,4552.82906849267,2096.91414467033
"258","Kitsap","Bellevue","Transit",1,1,0,219.275842195607,219.275842195474
"259","Kitsap","Bremerton","Bike/Micromobility",23,0.0123681270552033,0.00329392159856386,2163.71326743437,508.628491214121
"260","Kitsap","Bremerton","HOV",71,0.495416021578012,0.065219260405671,86669.4054809964,16342.887351767
"261","Kitsap","Bremerton","SOV",79,0.316319211137994,0.0591495582277997,55337.7298623167,12232.3301518045
"262","Kitsap","Bremerton","Transit",9,0.06294296307226,0.0289201946270773,11011.4105137516,5188.54596719339
"263","Kitsap","Bremerton","Walk",15,0.112953677156531,0.0462964164500407,19760.4187584947,8726.43953048348
"264","Kitsap","Burien","Walk",1,1,0,1527.63336485254,1527.63336485173
"265","Kitsap","Covington","HOV",1,1,0,11.801245983139,11.8012459831247
"266","Kitsap","Edmonds","HOV",11,1,0,948.577065980874,289.905153710301
"267","Kitsap","Federal Way","SOV",2,1,0,159.766215248537,114.280139782155
"268","Kitsap","Gig Harbor","HOV",13,0.0582321463247765,0.0354252579695495,836.386267932714,244.807565359097
"269","Kitsap","Gig Harbor","SOV",6,0.932211678467394,0.0405923996899741,13389.3235246404,7787.74209921458
"270","Kitsap","Gig Harbor","Walk",2,0.00955617520782942,0.00875481712044097,137.255008139497,102.302502261539
"271","Kitsap","Kirkland","Transit",1,1,0,92.7667297350541,92.7667297351309
"272","Kitsap","Lakewood","SOV",1,1,0,192.791717966831,192.791717966651
"273","Kitsap","Port Orchard","Bike/Micromobility",1,0.000187997482308462,0.000192562828598511,15.05083163024,15.0508316302532
"274","Kitsap","Port Orchard","HOV",41,0.273280230602556,0.100137931630361,21878.4564993459,9458.85499268219
"275","Kitsap","Port Orchard","SOV",50,0.357997143943344,0.101508436868487,28660.7813649191,9451.83701971591
"276","Kitsap","Port Orchard","Transit",5,0.125148923897567,0.0785834980197585,10019.258551545,6794.35428628218
"277","Kitsap","Port Orchard","Walk",6,0.243385704074225,0.101585440500132,19485.1399510667,9604.33528138777
