hhid,personid,pernum,person_should_take_diary,person_diary_status,proxy,resptype,age,relationship,gender,employment,jobs_count,worker,student,school,education,smartphone,license,vehicle,tollfreq,school_freq,trips_yesno,numtrips,loc_start,loc_end,no_travel,noneed_dayoff,noneed_telecommute,noneed_workhomenoapay,noneed_kidsvacation,noneed_other,unable_notransport,unable_sick,unable_visitor,unable_other,added_trip_flag,added_loop,added_quick,added_stop,added_dropoff,added_parking,added_other,typical,purchase,telecommute,telecommute_hours,transit_freq,bike_freq,walk_freq,transitpay_orca,transitpay_cash,transitpay_tickets,transitpay_upass,transitpay_permit,transitpay_flex,transitpay_access,transitpay_school,transitpay_govt,transitpay_other,transitpay_dontknow,transitpay_other_specify,transit_subsidy,hours_work,commute_freq,telecommute_freq,commute_dur,selfemp_dur,drive_living,night_shift,choose_work,choose_weather,benefits_flextime,benefits_compressed,benefits_parking,benefits_transit,benefits_commute,prev_work_wa,prev_work_loc_city,prev_work_loc_st,prev_work_loc_zip,prev_work_loc_x,smartphone_type,smartphone_type6_r,smartphone_dr,smartphone_dr14_r,smartphone_ip,smartphone_ip9_r,website_use,phonenumber_use,apps_use,alerts_use,socialmedia_use,radio_use,tv_use,gps_use,web_bing,web_google,web_mapquest,web_traffic,web_wsdot,web_county,web_city,web_transit,web_other,web_other_specify,apps_seattletraffic,apps_waze,apps_wsdot,apps_onebusaway,apps_inrix,apps_carshare,apps_taxi,apps_other,apps_other_specify,info_travelroutes,info_traveltime,info_congestion,info_arrivaltime,info_transitoptions,info_parking,info_carshare,info_other,info_other_specify,impact_sametrip,impact_earlier,impact_later,impact_diffroute,impact_smallchange,impact_diffmode,impact_postpone,impact_order,wbt_transitsafety,wbt_transitfreq,wbt_reliability,wbt_bikesafety,wbt_walksafety,wbt_other,wbt_other_specify,wbt_none,wbt_na,carpool_gascost,carpool_parkingcost,carpool_tolls,carpool_hov,transit_avail,carpool_other,carpool_other_specify,carpool_none,carpool_na,expwt_2,dataset
14100009,1410000901,1,1,1,1,1,11,0,1,6,,0,1,,7,1,1,1,6,,1,7,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,1,,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,2,,,,5,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.0938,pilot
14100009,1410000902,2,1,1,2,2,10,1,2,5,,0,1,,6,1,1,1,6,,1,5,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,6,Don't use maps on phone,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.0938,pilot
14100010,1410001001,1,1,1,1,1,6,0,1,1,1,1,1,,6,1,1,,5,,1,6,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,1,,1,1,1,-99,4,4,4,2,4,1,,,,-99,2,,,,4,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,36.4271,pilot
14100010,1410001002,2,1,1,1,2,6,1,1,1,1,1,1,,6,1,2,,5,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,1,,1,1,1,-99,1,1,2,3,4,1,,,,-99,2,,,,3,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,36.4271,pilot
14100011,1410001101,1,1,1,1,1,6,0,2,1,1,1,1,,6,1,1,1,6,,1,4,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,5,,1,1,1,-99,1,2,1,2,2,,,,,-99,2,,,,4,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,92.7405,pilot
14100012,1410001201,1,1,1,1,1,9,0,1,7,,0,1,,5,3,1,,5,,1,5,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,94.6678,pilot
14100013,1410001301,1,1,1,1,1,7,0,2,1,1,1,1,,7,1,1,99,5,,1,8,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,2,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,3,,1,1,1,-99,2,2,1,3,2,1,,,,-99,1,,8,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,50.7435,pilot
14100014,1410001401,1,1,1,1,1,7,0,1,7,,0,1,,3,1,1,1,5,,1,4,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,2,,,,6,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,109.5684,pilot
14100015,1410001501,1,1,1,1,1,9,0,1,1,1,1,1,,7,1,1,1,4,,1,6,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,5,,1,1,1,-99,1,1,1,1,1,,,,,-99,2,,,,1,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,29.8815,pilot
14100016,1410001601,1,1,1,1,1,7,0,2,1,1,1,1,,7,1,1,1,6,,1,4,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,2,2,1,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,5,,1,1,1,-99,2,1,1,3,2,,,,,-99,1,,14,Google Nexus S,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,63.2823,pilot
14100017,1410001701,1,1,1,1,1,6,0,2,1,1,1,1,,7,1,1,,5,,1,10,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,3,,1,1,1,-99,1,2,1,3,3,1,,,,-99,1,,14,Pantech Discover,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,34.0728,pilot
14100017,1410001702,2,1,1,2,2,6,6,2,2,1,1,3,5,6,1,1,,5,1,1,6,1,3,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,3,,1,1,2,-99,3,2,1,3,3,1,,,,-99,2,,,,5,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,34.0728,pilot
14100018,1410001801,1,1,1,1,1,8,0,2,2,1,1,1,,7,1,1,1,5,,1,7,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,2,2,1,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,2,-99,1,,2,1,2,-99,3,3,3,4,4,1,,,,-99,2,,,,3,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,149.1272,pilot
14100018,1410001802,2,1,1,1,3,2,2,1,,,0,,3,,,,,,,1,3,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,,,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,149.1272,pilot
14100019,1410001901,1,1,1,1,1,10,0,2,6,,0,1,,7,3,1,1,6,,1,5,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,2,2,,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,103.3704,pilot
14100020,1410002001,1,1,1,1,1,8,0,1,7,,0,1,,2,3,2,,2,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,77.805,pilot
14100021,1410002101,1,1,1,1,1,6,0,2,1,1,1,1,,7,1,1,1,5,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,3,,1,2,2,-99,4,4,4,4,4,2,Los angeles,CA,,-99,2,,,,1,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,21.0526,pilot
14100021,1410002102,2,1,1,1,2,9,3,2,4,,0,1,,6,3,1,99,6,,2,0,1,1,1,0,0,0,-99,1,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,21.0526,pilot
14100021,1410002103,3,1,1,3,2,5,4,2,7,,0,3,5,6,3,2,,6,8,2,0,1,1,1,1,0,0,-99,0,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,21.0526,pilot
14100022,1410002201,1,1,1,1,1,6,0,2,1,1,1,2,5,7,1,1,1,5,6,1,5,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,3,,1,1,1,-99,3,3,1,2,2,2,Deerfield,IL,,-99,2,,,,4,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,92.7405,pilot
14100023,1410002301,1,1,1,1,1,6,0,2,1,1,1,1,,7,1,1,99,6,,1,4,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1,-99,1,,1,2,1,-99,3,1,1,3,1,2,Portland,OR,,-99,1,,12,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,52.9013,pilot
