"","year","geography","variable","metric","estimate","share","moe"
"223","2014","Snohomish County","Walk, Bike & Other","Commute Mode",13047,0.0348372419648984,1996.79968950318
"224","2014","Snohomish County","Carpooled","Commute Mode",45931,0.122641937663045,3917
"225","2014","Snohomish County","Drove Alone","Commute Mode",277124,0.73995829250253,6140
"226","2015","King County","Transit","Commute Mode",140568,0.126391545124231,6103
"227","2015","King County","Work from Home","Commute Mode",69976,0.0629188347391524,4763
"228","2015","King County","Walk, Bike & Other","Commute Mode",91308,0.0820994764256678,5611.67844766608
"229","2015","King County","Carpooled","Commute Mode",99736,0.0896775023085645,6568
"230","2015","King County","Drove Alone","Commute Mode",710575,0.638912641402384,11089
"231","2015","Kitsap County","Transit","Commute Mode",12358,0.102991057662658,1700
"232","2015","Kitsap County","Work from Home","Commute Mode",7082,0.0590210932486603,1286
"233","2015","Kitsap County","Walk, Bike & Other","Commute Mode",10300,0.085839771316182,1641.27450476756
"234","2015","Kitsap County","Carpooled","Commute Mode",7689,0.0640798059854489,1346
"235","2015","Kitsap County","Drove Alone","Commute Mode",82562,0.688068271787051,3241
"236","2015","Pierce County","Transit","Commute Mode",13083,0.0339205849181348,1918
"237","2015","Pierce County","Work from Home","Commute Mode",19846,0.0514551653508601,2161
"238","2015","Pierce County","Walk, Bike & Other","Commute Mode",12882,0.0333994477501653,2056.63900575672
"239","2015","Pierce County","Carpooled","Commute Mode",36805,0.0954251416274517,3360
"240","2015","Pierce County","Drove Alone","Commute Mode",303079,0.785799660353388,6628
"241","2015","Region","Transit","Commute Mode",187783,0.0937452105988605,7162.09173356499
"242","2015","Region","Work from Home","Commute Mode",116214,0.0580164653058902,6054.8032172813
"243","2015","Region","Walk, Bike & Other","Commute Mode",130943,0.0653694909094358,6650.28247520359
"244","2015","Region","Carpooled","Commute Mode",185515,0.0926129774486913,8383.76073131861
"245","2015","Region","Drove Alone","Commute Mode",1382666,0.690255855737122,14482.0917688019
"246","2015","Snohomish County","Transit","Commute Mode",21774,0.0565159160281567,2735
"247","2015","Snohomish County","Work from Home","Commute Mode",19310,0.0501204343944019,2766
"248","2015","Snohomish County","Walk, Bike & Other","Commute Mode",16453,0.0427048942046139,2418.63618595274
"249","2015","Snohomish County","Carpooled","Commute Mode",41285,0.107158059760377,3748
"250","2015","Snohomish County","Drove Alone","Commute Mode",286450,0.74350069561245,5686
"251","2016","King County","Transit","Commute Mode",150159,0.130808612727791,6794
"252","2016","King County","Work from Home","Commute Mode",81491,0.0709895821083011,4294
"253","2016","King County","Walk, Bike & Other","Commute Mode",95719,0.0833840768897728,6195.24640349357
"254","2016","King County","Carpooled","Commute Mode",103540,0.0901972160299113,6029
"255","2016","King County","Drove Alone","Commute Mode",717020,0.624620512244224,9740
"256","2016","Kitsap County","Transit","Commute Mode",11087,0.0907045618168728,1395
"257","2016","Kitsap County","Work from Home","Commute Mode",7183,0.0587652987760979,1381
"258","2016","Kitsap County","Walk, Bike & Other","Commute Mode",7611,0.0622668368348714,1301.17139532039
"259","2016","Kitsap County","Carpooled","Commute Mode",8001,0.0654574906734734,1761
"260","2016","Kitsap County","Drove Alone","Commute Mode",88350,0.722805811898684,3183
"261","2016","Pierce County","Transit","Commute Mode",15205,0.0382485894181837,1914
"262","2016","Pierce County","Work from Home","Commute Mode",16731,0.0420872837590024,1942
"263","2016","Pierce County","Walk, Bike & Other","Commute Mode",15388,0.0387089308758311,1952.66228518912
"264","2016","Pierce County","Carpooled","Commute Mode",39186,0.0985734445867115,3772
"265","2016","Pierce County","Drove Alone","Commute Mode",311021,0.782381751360271,7742
"266","2016","Region","Transit","Commute Mode",195716,0.0948223570610476,7572.46181898595
"267","2016","Region","Work from Home","Commute Mode",124704,0.060417785030048,5520.18133760115
"268","2016","Region","Walk, Bike & Other","Commute Mode",131754,0.0638334363681113,6980.35249826253
"269","2016","Region","Carpooled","Commute Mode",197032,0.0954599453108194,8183.15165446663
"270","2016","Region","Drove Alone","Commute Mode",1414822,0.685466476229974,14378.6928821781
"271","2016","Snohomish County","Transit","Commute Mode",19265,0.0486077469621735,2361
"272","2016","Snohomish County","Work from Home","Commute Mode",19299,0.0486935327600824,2521
"273","2016","Snohomish County","Walk, Bike & Other","Commute Mode",13036,0.0328912841629325,2199.6149663066
"274","2016","Snohomish County","Carpooled","Commute Mode",46305,0.116832687416737,3645
"275","2016","Snohomish County","Drove Alone","Commute Mode",298431,0.752974748698074,6466
"276","2017","King County","Transit","Commute Mode",161500,0.13732292570107,6821
"277","2017","King County","Work from Home","Commute Mode",82006,0.069729435573015,5062
"278","2017","King County","Walk, Bike & Other","Commute Mode",88415,0.0751789874666259,5960.62328955622
"279","2017","King County","Carpooled","Commute Mode",125075,0.106350866452392,7567
"280","2017","King County","Drove Alone","Commute Mode",719064,0.611417784806898,12474
"281","2017","Kitsap County","Transit","Commute Mode",11052,0.0867163593566104,1569
"282","2017","Kitsap County","Work from Home","Commute Mode",9313,0.0730717928599451,1607
"283","2017","Kitsap County","Walk, Bike & Other","Commute Mode",11794,0.092538250294233,2271.39252442197
"284","2017","Kitsap County","Carpooled","Commute Mode",11179,0.0877128285602197,2023
"285","2017","Kitsap County","Drove Alone","Commute Mode",84112,0.659960768928992,3679
"286","2017","Pierce County","Transit","Commute Mode",17283,0.0416788248997398,2156
"287","2017","Pierce County","Work from Home","Commute Mode",21027,0.050707669453615,2255
"288","2017","Pierce County","Walk, Bike & Other","Commute Mode",11270,0.027178172575367,1682.61700930426
"289","2017","Pierce County","Carpooled","Commute Mode",38192,0.0921019314106846,2508
"290","2017","Pierce County","Drove Alone","Commute Mode",326899,0.788333401660594,7244
"291","2017","Region","Transit","Commute Mode",211983,0.0997569406045661,7796.56424330615
"292","2017","Region","Work from Home","Commute Mode",134744,0.0634090903743303,6345.98156316263
"293","2017","Region","Walk, Bike & Other","Commute Mode",123487,0.0581116661450968,6931.63963287186
"294","2017","Region","Carpooled","Commute Mode",221299,0.104140950919885,9284.9105003764
"295","2017","Region","Drove Alone","Commute Mode",1433482,0.674581351956122,16698.5172395635
"296","2017","Snohomish County","Transit","Commute Mode",22148,0.0544425708063144,2674
"297","2017","Snohomish County","Work from Home","Commute Mode",22398,0.0550571022629506,2642
"298","2017","Snohomish County","Walk, Bike & Other","Commute Mode",12008,0.0295171749251501,2127.95065732267
"299","2017","Snohomish County","Carpooled","Commute Mode",46853,0.115170569351104,4309
"300","2017","Snohomish County","Drove Alone","Commute Mode",303407,0.745812582654481,7565
"301","2018","King County","Transit","Commute Mode",176194,0.145534290929816,7375
"302","2018","King County","Work from Home","Commute Mode",86567,0.0715033824246079,5483
"303","2018","King County","Walk, Bike & Other","Commute Mode",106171,0.0876960691187524,5927.41393864137
"304","2018","King County","Carpooled","Commute Mode",114883,0.0948920845482254,6961
"305","2018","King County","Drove Alone","Commute Mode",726855,0.600374172978599,11665
