"","variable_name","variable_nice_name","variable_value","demography_geography_name","demo_geography_nice_name","survey_year","count","prop","prop_se","est","est_se"
"50","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",129,0.00431513735154417,0.00127802936570184,9559.64890747627,2799.81258143306
"51","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",777,0.274599764355848,0.0239229303954332,608341.548242546,63508.3628713459
"52","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",453,0.193904088506021,0.0206571033177275,429570.337356339,51124.2577256939
"53","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",1590,0.386997982762227,0.025498035292005,857345.790345366,73616.2804889042
"54","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",683,0.0643488665513612,0.0117563740400336,142556.89256448,26758.3188433354
"55","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",1207,0.0751520988499864,0.00834861674582207,166490.107066634,17752.583595882
"56","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2019",10,0.00162133111530607,0.000785737611467863,3812.39502134909,1845.68858888205
"57","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",174,0.0111722391823322,0.00219654041282422,26270.3827946975,5139.09565063595
"58","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",1122,0.248500518766378,0.0143880967956418,584323.665662063,37894.6314352635
"59","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",759,0.183095130837118,0.0128738604562572,430529.556021576,32920.5426278795
"60","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",2044,0.412030245071016,0.0180287246870304,968847.165224142,60256.3994824592
"61","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",622,0.0490306811336386,0.00596170220804236,115290.65400805,14128.0085171505
"62","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",1340,0.0945498538942109,0.00853639770313732,222324.353645385,20525.7201153893
"63","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2019",21,0.000501938072153475,0.00019821213380426,966.135749500385,379.72931157637
"64","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",107,0.015423542079247,0.00432250979459826,29687.3981341025,8363.99505218577
"65","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",860,0.164592674898795,0.0131350255425099,316809.734402849,26673.7356404484
"66","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",511,0.177090816469766,0.0165655230614861,340866.290468077,35833.5826413146
"67","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",1836,0.466224264973282,0.0201482524573629,897393.432904411,55623.4958768922
"68","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",539,0.0620686044589651,0.00892802996358388,119470.311212156,17631.0015106448
"69","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",1198,0.114098159047791,0.010959719664266,219617.352266807,21810.9466737683
"70","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2019",99,0.00428577360982465,0.00190113670018033,34517.9741753841,15351.3649433904
"71","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",672,0.0180496930585894,0.00351437202519852,145373.716764169,28570.5470188525
"72","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",3635,0.239400913142755,0.0119784570039539,1928154.70198462,114176.498477883
"73","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",2847,0.168804596662751,0.00855725745176131,1359566.14575574,72673.5553378031
"74","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",6274,0.386369929603249,0.0127383804290728,3111855.28363352,132750.57994176
"75","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",2285,0.0622920352573383,0.00583076380133839,501705.190263864,48207.8381078917
"76","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",4894,0.120797058665492,0.00760104528829344,972909.474714046,63996.0898420621
"77","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2019",3,0.00027350844557101,0.000254077473255818,189.466818979766,175.377484578584
"78","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",41,0.00813592515392816,0.00337038890834231,5635.97901027895,2308.10556819875
"79","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",384,0.165650726379478,0.0178900664888571,114750.811892786,9963.48037914355
"80","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",144,0.173913318735121,0.0350280329460547,120474.536755768,27484.9850184169
"81","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",593,0.57011582478341,0.0385835980102076,394934.90428139,47578.9642919217
"82","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",164,0.0222705672732365,0.00499184601383161,15427.4341668894,3296.18714229756
"83","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",382,0.0596401292292558,0.00974013030743815,41314.357021109,6233.22065678728
"84","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",29,0.0250660733572384,0.00636663531505057,23092.8056955821,5915.30722371062
"85","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",202,0.204505965537553,0.0182794582818453,188406.71446381,18672.4364869674
"86","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",96,0.0834097153810027,0.0123364898780317,76843.4817438638,11812.5216769323
"87","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",341,0.361879866475721,0.0224724110126372,333391.725244185,25956.3858554749
"88","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",128,0.152299100988128,0.0190333272143455,140309.712518856,19500.852144956
"89","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",176,0.172839278260357,0.0165569208279786,159232.912652371,16459.4741953471
"90","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2021",3,0.00122220049631066,0.000707823227919937,2089.67424282521,1209.02244242913
"91","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",49,0.0114929591824085,0.00284543039886924,19650.2462974094,4862.27701857592
"92","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",371,0.203059663736746,0.0148753928551039,347184.075238315,28111.2260273069
"93","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",152,0.163157194001708,0.0157443356850168,278960.274411755,30089.9299160004
"94","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",774,0.468807723696137,0.0191352312131133,801550.505013313,45114.6712576702
"95","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",110,0.0502710329442893,0.00763308800709359,85951.5955205412,13313.2074232938
"96","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",237,0.101989225942401,0.0105186575350608,174377.493006141,18707.9044968446
"97","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",16,0.0134467079252393,0.00434360248169546,23503.6992048178,7643.80156206782
"98","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",359,0.211471036738722,0.0146671045071987,369633.345624219,28336.7398370275
"99","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",162,0.11923026216979,0.0128265880526315,208404.334631998,24062.7406980143
"100","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",750,0.489734614791176,0.0188136001997219,856014.359814711,46860.508710464
"101","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",68,0.0349060714434014,0.00610935764933026,61012.8373568422,10812.0450779528
"102","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",234,0.131211306931671,0.0126225291446423,229346.179565966,23636.2546016709
"103","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2021",1,7.18682596402727e-05,7.19126767026305e-05,140.357882694969,140.357882694808
"104","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",15,0.00789405393945087,0.00281193258773126,15416.9963537049,5505.35792725754
"105","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",318,0.196798448302422,0.0143008386890717,384345.101156514,30837.7931971275
"106","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",160,0.124692640656478,0.0123426924059577,243523.289944542,25792.1618636068
"107","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",714,0.482311925951055,0.0185229314942216,941949.632061047,50845.4763678593
"108","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",32,0.0240860242563544,0.00576605798370246,47039.7277474513,11402.6953177811
"109","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",235,0.1641450386346,0.0137253718148193,320573.3684516,29308.4440962024
"110","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2021",1,0.00106355447322005,0.0010637124104263,1362.55884532412,1362.55884532692
"111","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",8,0.018796673046455,0.00765002262975762,24081.1108100278,9916.94529908318
"112","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",230,0.31590069629478,0.0229312200795604,404712.028221093,35610.2967236369
"113","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",85,0.111202504636455,0.0149364789883742,142465.628352681,20191.1382537459
"114","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",312,0.361897550223061,0.0234387566125771,463640.293538156,37186.4196585649
"115","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",16,0.0139086228860545,0.00576613979652019,17818.8495435438,7439.13594614995
"116","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",149,0.177230398439975,0.0192262304037528,227056.397331087,27322.0065146863
"117","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2021",7,0.00247468782327346,0.00124265523931505,12153.3620243213,6110.87866772967
"118","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",58,0.0145932028939404,0.00276123455915628,71668.2226325531,13650.968352366
"119","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",768,0.206932636581758,0.00959757860612299,1016260.40398855,52667.5761697054
"120","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",344,0.128293710676639,0.00833612656260076,630059.232777996,44110.4370772751
"121","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",1555,0.466525225945759,0.011951228051866,2291137.45623767,81100.6706605765
"122","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",83,0.0213167784083664,0.00330197958223519,104688.164201018,16371.8205221917
"123","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",629,0.159863757670264,0.00833348454743368,785101.903869671,44031.3499346078
"124","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2021",6,0.00812609258068324,0.00340370186990954,22368.6763484313,9414.87835994395
"125","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2021",29,0.0164484362541646,0.00378279506320807,45277.5726284275,10470.7179430068
"126","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2021",392,0.261904867764195,0.0152599574551969,720944.926842487,49323.4536255073
"127","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2021",209,0.157755228257067,0.0123097013708103,434252.45382308,36819.987191253
"128","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2021",605,0.403690809109807,0.0168517682581339,1111238.76133028,60928.5447587543
"129","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2021",10,0.00443580504650639,0.00194705721894676,12210.4303445798,5367.21644566739
"130","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2021",335,0.147638760987577,0.0111272346818743,406404.877648691,32520.1310907769
"131","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",2,4.32631058191501e-05,3.07575369146303e-05,30.4166394987144,21.5077188250511
"132","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",86,0.0171281948754749,0.0038073436492294,12042.1804890493,2568.22472103346
"133","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",273,0.289446540993011,0.0401701357345812,203498.822491779,36812.371862803
"134","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",106,0.159178974299892,0.0297867844325166,111912.665200098,23295.0150654385
"135","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",398,0.187506089306162,0.0215234553207052,131828.379268017,14626.9331051792
"136","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",339,0.141629590342878,0.0215835003152872,99574.3627334093,15665.900497394
"137","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",520,0.205067347076763,0.0252825729908131,144175.02976013,18505.898376492
"138","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",5,0.000336167848261305,0.000261034488383974,406.84051357593,315.506549652487
"139","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",79,0.0119052902315198,0.00299462523074852,14408.1428878859,3611.14398139595
"140","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",579,0.135664019331384,0.0165838487791432,164184.705896243,21925.7743280366
"141","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",209,0.151260229141483,0.0181286427143922,183059.711468002,24424.4013134901
"142","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2023",1557,0.46246314873929,0.0219421806901007,559686.912107029,35890.1258229793
"143","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2023",268,0.076015085593115,0.0112002920375861,91995.7593272934,14043.6521210128
"144","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2023",893,0.162356059114947,0.0131666988435036,196488.221030423,16268.376175101
"145","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2023",3,0.00129986171078571,0.00124787737244305,3207.1197454837,3079.95270450942
"146","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2023",68,0.00282393981001808,0.00107778612763644,6967.4435746646,2650.73333852367
"147","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2023",698,0.224670212481518,0.0180122321268247,554323.793594901,51146.8923634612
"148","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2023",388,0.309580990925481,0.0201846772700353,763822.259387403,62047.3686802238
