,c,d,skimid,t,tod_orig,tod_pulled,tripID
41,-99,-99,bike,1626,16to17,5to6,1915
42,-99,-99,bike,4011,8to9,5to6,1951
43,-99,-99,bike,4011,18to20,5to6,1952
44,-99,-99,bike,767,10to14,5to6,1973
45,-99,-99,bike,767,14to15,5to6,1974
46,-99,-99,bike,1888,7to8,5to6,2063
47,-99,-99,bike,1888,17to18,5to6,2064
48,-99,-99,bike,538,8to9,5to6,2073
49,-99,-99,bike,538,8to9,5to6,2074
50,-99,-99,bike,552,6to7,5to6,2632
51,-99,-99,bike,1508,16to17,5to6,3326
52,-99,-99,bike,1701,16to17,5to6,3327
53,-99,-99,bike,8077,15to16,5to6,3390
54,-99,-99,bike,1498,18to20,5to6,3605
55,-99,-99,bike,1498,18to20,5to6,3606
56,-99,-99,bike,3081,10to14,5to6,3727
57,-99,-99,bike,3081,10to14,5to6,3728
58,-99,-99,bike,4806,9to10,5to6,3902
59,-99,-99,bike,4806,17to18,5to6,3903
60,-99,-99,bike,433,9to10,5to6,3956
61,-99,-99,bike,433,10to14,5to6,3957
62,-99,-99,bike,1031,10to14,5to6,4029
63,-99,-99,bike,1031,16to17,5to6,4030
64,-99,-99,bike,4515,17to18,5to6,4041
65,-99,-99,bike,1102,8to9,5to6,4047
66,-99,-99,bike,1102,8to9,5to6,4048
67,-99,-99,bike,11988,6to7,5to6,4168
68,-99,-99,bike,11988,17to18,5to6,4171
69,-99,-99,bike,596,18to20,5to6,4177
70,-99,-99,bike,1954,8to9,5to6,4271
71,-99,-99,bike,1954,17to18,5to6,4272
72,-99,-99,bike,980,8to9,5to6,4291
73,-99,-99,bike,980,20to5,5to6,4292
74,-99,-99,bike,1676,8to9,5to6,4308
75,-99,-99,bike,1676,18to20,5to6,4309
76,-99,-99,bike,1125,18to20,5to6,4688
77,-99,-99,bike,1125,20to5,5to6,4689
78,-99,-99,bike,461,18to20,5to6,4794
79,-99,-99,bike,1654,9to10,5to6,4981
80,-99,-99,bike,1763,18to20,5to6,4983
81,-99,-99,bike,680,9to10,5to6,5089
82,-99,-99,bike,680,17to18,5to6,5090
83,-99,-99,bike,3202,16to17,5to6,5135
84,-99,-99,bike,1085,8to9,5to6,5205
85,-99,-99,bike,1085,10to14,5to6,5206
86,-99,-99,bike,395,14to15,5to6,5420
87,-99,-99,bike,807,17to18,5to6,5422
88,-99,-99,bike,2119,10to14,5to6,6267
89,-99,-99,bike,2119,10to14,5to6,6268
90,-99,-99,bike,1727,18to20,5to6,6498
91,-99,-99,bike,357,18to20,5to6,6499
92,-99,-99,bike,909,16to17,5to6,6576
93,-99,-99,bike,909,16to17,5to6,6577
94,-99,-99,bike,1215,9to10,5to6,7678
95,-99,-99,bike,1215,10to14,5to6,7679
96,-99,-99,bike,3657,18to20,5to6,7696
97,-99,-99,bike,3657,20to5,5to6,7697
98,-99,-99,bike,822,20to5,5to6,7698
99,-99,-99,bike,822,20to5,5to6,7699
100,-99,-99,bike,896,9to10,5to6,8172
101,-99,-99,bike,896,10to14,5to6,8173
102,-99,-99,bike,905,9to10,5to6,8428
103,-99,-99,bike,905,15to16,5to6,8429
104,-99,-99,bike,1548,6to7,5to6,8483
105,-99,-99,bike,2310,16to17,5to6,8484
106,-99,-99,bike,873,18to20,5to6,8485
107,-99,-99,bike,823,8to9,5to6,8486
108,-99,-99,bike,823,14to15,5to6,8487
109,-99,-99,bike,2996,7to8,5to6,8633
110,-99,-99,bike,2996,16to17,5to6,8634
111,-99,-99,bike,3621,6to7,5to6,8768
112,-99,-99,bike,1271,15to16,5to6,8769
113,-99,-99,bike,2952,18to20,5to6,8770
114,-99,-99,bike,1113,20to5,5to6,8771
115,-99,-99,bike,557,8to9,5to6,8821
116,-99,-99,bike,601,10to14,5to6,8822
117,-99,-99,bike,390,10to14,5to6,8823
118,-99,-99,bike,1369,7to8,5to6,8894
119,-99,-99,bike,1369,14to15,5to6,8895
120,-99,-99,bike,1369,7to8,5to6,8898
121,-99,-99,bike,1369,14to15,5to6,8899
122,-99,-99,bike,7950,17to18,5to6,9407
123,-99,-99,bike,7950,18to20,5to6,9408
124,-99,-99,bike,525,8to9,5to6,10172
125,-99,-99,bike,525,17to18,5to6,10173
126,-99,-99,bike,733,6to7,5to6,10325
127,-99,-99,bike,733,20to5,5to6,10326
128,-99,-99,bike,1814,9to10,5to6,10584
129,-99,-99,bike,1814,10to14,5to6,10585
130,-99,-99,bike,4484,5to6,5to6,10623
131,-99,-99,bike,4484,16to17,5to6,10624
132,-99,-99,bike,826,7to8,5to6,10687
133,-99,-99,bike,826,16to17,5to6,10688
134,-99,-99,bike,926,8to9,5to6,11071
135,-99,-99,bike,350,8to9,5to6,11072
136,-99,-99,bike,1381,17to18,5to6,11073
137,-99,-99,bike,596,18to20,5to6,11075
138,-99,-99,bike,2428,18to20,5to6,11438
139,-99,-99,bike,2428,20to5,5to6,11439
140,-99,-99,bike,12991,5to6,5to6,11509
141,-99,-99,bike,12991,16to17,5to6,11510
142,-99,-99,bike,976,16to17,5to6,11694
143,-99,-99,bike,217,15to16,5to6,11945
144,-99,-99,bike,217,16to17,5to6,11946
145,-99,-99,bike,217,16to17,5to6,11952
146,-99,-99,bike,217,15to16,5to6,11955
147,-99,-99,bike,217,16to17,5to6,11956
148,-99,-99,bike,1496,7to8,5to6,11972
149,-99,-99,bike,1496,14to15,5to6,11973
150,-99,-99,bike,1496,7to8,5to6,11974
151,-99,-99,bike,1496,14to15,5to6,11975
152,-99,-99,bike,1529,5to6,5to6,12170
153,-99,-99,bike,1529,15to16,5to6,12171
154,-99,-99,bike,5850,14to15,5to6,13241
155,-99,-99,bike,5850,14to15,5to6,13242
156,-99,-99,bike,2381,8to9,5to6,13641
157,-99,-99,bike,1288,17to18,5to6,13642
158,-99,-99,bike,1240,17to18,5to6,13643
159,-99,-99,bike,2673,8to9,5to6,13695
160,-99,-99,bike,2673,18to20,5to6,13696
161,-99,-99,bike,1706,8to9,5to6,13713
162,-99,-99,bike,905,17to18,5to6,13714
163,-99,-99,bike,884,18to20,5to6,13715
164,-99,-99,bike,13372,8to9,5to6,13775
165,-99,-99,bike,13372,17to18,5to6,13776
166,-99,-99,bike,225,8to9,5to6,13795
167,-99,-99,bike,1067,8to9,5to6,13796
168,-99,-99,bike,1252,10to14,5to6,13797
169,-99,-99,bike,775,6to7,5to6,13946
170,-99,-99,bike,775,20to5,5to6,13947
171,-99,-99,bike,248,10to14,5to6,13998
172,-99,-99,bike,1673,10to14,5to6,13999
173,-99,-99,bike,921,10to14,5to6,14000
174,-99,-99,bike,2285,20to5,5to6,14001
175,-99,-99,bike,3243,8to9,5to6,14120
176,-99,-99,bike,3243,18to20,5to6,14121
177,-99,-99,bike,103,18to20,5to6,14122
178,-99,-99,bike,1290,9to10,5to6,14189
179,-99,-99,bike,1290,18to20,5to6,14190
180,-99,-99,bike,840,15to16,5to6,14376
181,-99,-99,bike,840,15to16,5to6,14377
182,-99,-99,bike,2843,7to8,5to6,14393
183,-99,-99,bike,2843,16to17,5to6,14394
184,-99,-99,bike,2029,7to8,5to6,14419
185,-99,-99,bike,2029,16to17,5to6,14420
186,-99,-99,bike,513,9to10,5to6,14421
187,-99,-99,bike,513,10to14,5to6,14422
188,-99,-99,bike,838,15to16,5to6,14442
189,-99,-99,bike,507,20to5,5to6,14443
190,-99,-99,bike,375,20to5,5to6,14444
191,-99,-99,bike,1483,8to9,5to6,15016
192,-99,-99,bike,1483,14to15,5to6,15017
193,-99,-99,bike,1131,20to5,5to6,15026
194,-99,-99,bike,1131,10to14,5to6,15027
195,-99,-99,bike,523,17to18,5to6,15053
196,-99,-99,bike,744,18to20,5to6,15054
197,-99,-99,bike,1922,7to8,5to6,15260
198,-99,-99,bike,1922,17to18,5to6,15261
199,-99,-99,bike,698,6to7,5to6,15290
200,-99,-99,bike,698,20to5,5to6,15291
201,-99,-99,bike,1296,17to18,5to6,15391
202,-99,-99,bike,1296,18to20,5to6,15392
203,-99,-99,bike,757,9to10,5to6,15499
204,-99,-99,bike,757,18to20,5to6,15500
205,-99,-99,bike,726,6to7,5to6,15501
206,-99,-99,bike,726,10to14,5to6,15502
207,-99,-99,bike,89,16to17,5to6,15503
208,-99,-99,bike,1384,17to18,5to6,16391
209,-99,-99,bike,5982,14to15,5to6,16424
210,-99,-99,bike,4129,9to10,5to6,16653
211,-99,-99,bike,4129,18to20,5to6,16654
212,-99,-99,bike,2518,16to17,5to6,16913
213,-99,-99,bike,2518,17to18,5to6,16914
214,-99,-99,bike,1347,16to17,5to6,16919
215,-99,-99,bike,1863,17to18,5to6,16920
216,-99,-99,bike,2068,15to16,5to6,17173
217,-99,-99,bike,2068,16to17,5to6,17174
218,-99,-99,bike,2096,16to17,5to6,17244
219,-99,-99,bike,2497,10to14,5to6,17287
220,-99,-99,bike,1044,10to14,5to6,17288
221,-99,-99,bike,1173,10to14,5to6,17289
222,-99,-99,bike,2367,10to14,5to6,17290
223,-99,-99,bike,538,17to18,5to6,17291
224,-99,-99,bike,989,17to18,5to6,17292
225,-99,-99,bike,1438,20to5,5to6,17293
226,-99,-99,bike,13889,6to7,5to6,17304
227,-99,-99,bike,13889,17to18,5to6,17305
228,-99,-99,bike,1759,8to9,5to6,17382
229,-99,-99,bike,1759,18to20,5to6,17383
230,-99,-99,bike,1413,10to14,5to6,17534
231,-99,-99,bike,4223,15to16,5to6,17535
232,-99,-99,bike,4223,15to16,5to6,17536
233,-99,-99,bike,1413,18to20,5to6,17537
234,-99,-99,bike,455,17to18,5to6,17685
235,-99,-99,bike,311,17to18,5to6,17686
236,-99,-99,bike,748,18to20,5to6,17687
237,-99,-99,bike,455,17to18,5to6,17692
238,-99,-99,bike,311,17to18,5to6,17693
239,-99,-99,bike,748,18to20,5to6,17694
240,-99,-99,bike,455,17to18,5to6,17697
241,-99,-99,bike,311,17to18,5to6,17698
242,-99,-99,bike,748,18to20,5to6,17699
243,-99,-99,bike,455,17to18,5to6,17702
244,-99,-99,bike,311,17to18,5to6,17703
245,-99,-99,bike,748,18to20,5to6,17704
246,-99,-99,bike,2034,8to9,5to6,17707
247,-99,-99,bike,2034,18to20,5to6,17708
248,-99,-99,bike,2629,10to14,5to6,17728
249,-99,-99,bike,2629,14to15,5to6,17729
250,-99,-99,bike,13958,18to20,5to6,17754
251,-99,-99,bike,13958,18to20,5to6,17755
252,-99,-99,bike,1371,7to8,5to6,17882
253,-99,-99,bike,1371,10to14,5to6,17883
254,-99,-99,bike,782,17to18,5to6,17963
255,-99,-99,bike,3231,18to20,5to6,17964
256,-99,-99,bike,773,7to8,5to6,18296
257,-99,-99,bike,773,9to10,5to6,18297
258,-99,-99,bike,389,14to15,5to6,18347
259,-99,-99,bike,389,15to16,5to6,18348
260,-99,-99,bike,448,16to17,5to6,18660
261,-99,-99,bike,392,17to18,5to6,18679
262,-99,-99,bike,1192,7to8,5to6,18715
263,-99,-99,bike,1192,15to16,5to6,18716
264,-99,-99,bike,1931,7to8,5to6,18719
265,-99,-99,bike,1931,16to17,5to6,18722
266,-99,-99,bike,3185,16to17,5to6,18775
267,-99,-99,bike,3185,17to18,5to6,18776
268,-99,-99,bike,1159,7to8,5to6,18841
269,-99,-99,bike,1159,16to17,5to6,18844
270,-99,-99,bike,8115,7to8,5to6,18969
271,-99,-99,bike,1525,9to10,5to6,18970
272,-99,-99,bike,1055,15to16,5to6,18971
273,-99,-99,bike,6870,15to16,5to6,18972
274,-99,-99,bike,575,18to20,5to6,19066
275,-99,-99,bike,575,20to5,5to6,19067
276,-99,-99,bike,6204,16to17,5to6,19143
277,-99,-99,bike,715,18to20,5to6,19144
278,-99,-99,bike,1085,7to8,5to6,19237
279,-99,-99,bike,1085,18to20,5to6,19238
280,-99,-99,bike,1533,9to10,5to6,19307
281,-99,-99,bike,1533,18to20,5to6,19308
282,-99,-99,bike,15502,7to8,5to6,19385
283,-99,-99,bike,1502,7to8,5to6,19500
284,-99,-99,bike,1502,18to20,5to6,19501
285,-99,-99,bike,2939,6to7,5to6,19737
286,-99,-99,bike,2939,16to17,5to6,19740
287,-99,-99,bike,994,7to8,5to6,19741
288,-99,-99,bike,994,14to15,5to6,19742
289,-99,-99,bike,120,14to15,5to6,19743
290,-99,-99,bike,7140,16to17,5to6,19785
291,-99,-99,bike,599,7to8,5to6,19864
292,-99,-99,bike,599,7to8,5to6,19865
293,-99,-99,bike,599,14to15,5to6,19868
294,-99,-99,bike,599,15to16,5to6,19869
295,-99,-99,bike,3693,9to10,5to6,19945
296,-99,-99,bike,3693,10to14,5to6,19946
297,-99,-99,bike,4734,5to6,5to6,19982
298,-99,-99,bike,4734,16to17,5to6,19983
299,-99,-99,bike,6225,18to20,5to6,19985
300,-99,-99,bike,6225,18to20,5to6,19986
301,-99,-99,bike,585,9to10,5to6,20075
302,-99,-99,bike,321,10to14,5to6,20076
303,-99,-99,bike,321,14to15,5to6,20077
304,-99,-99,bike,585,16to17,5to6,20078
305,-99,-99,bike,1023,18to20,5to6,20096
306,-99,-99,bike,2976,8to9,5to6,20126
307,-99,-99,bike,3632,17to18,5to6,20127
308,-99,-99,bike,763,5to6,5to6,20141
309,-99,-99,bike,763,10to14,5to6,20142
310,-99,-99,bike,763,10to14,5to6,20143
311,-99,-99,bike,763,17to18,5to6,20144
312,-99,-99,bike,2255,7to8,5to6,20304
313,-99,-99,bike,1542,16to17,5to6,20305
314,-99,-99,bike,951,17to18,5to6,20306
315,-99,-99,bike,2251,7to8,5to6,20309
316,-99,-99,bike,1538,16to17,5to6,20310
317,-99,-99,bike,951,17to18,5to6,20311
318,-99,-99,bike,1894,9to10,5to6,20781
319,-99,-99,bike,1586,10to14,5to6,20782
320,-99,-99,bike,946,18to20,5to6,20783
321,-99,-99,bike,223,18to20,5to6,20784
322,-99,-99,bike,2759,7to8,5to6,20966
323,-99,-99,bike,2350,17to18,5to6,20967
324,-99,-99,bike,245,17to18,5to6,20991
325,-99,-99,bike,245,18to20,5to6,20992
326,-99,-99,bike,1468,8to9,5to6,20998
327,-99,-99,bike,1468,10to14,5to6,20999
328,-99,-99,bike,423,18to20,5to6,21068
329,-99,-99,bike,1632,7to8,5to6,21109
330,-99,-99,bike,3206,17to18,5to6,21110
331,-99,-99,bike,1671,18to20,5to6,21111
332,-99,-99,bike,1953,8to9,5to6,21256
333,-99,-99,bike,1953,17to18,5to6,21257
334,-99,-99,bike,1440,6to7,5to6,21298
335,-99,-99,bike,415,8to9,5to6,21299
336,-99,-99,bike,1071,16to17,5to6,21301
337,-99,-99,bike,594,10to14,5to6,21533
338,-99,-99,bike,594,20to5,5to6,21534
339,-99,-99,bike,504,18to20,5to6,21540
340,-99,-99,bike,504,18to20,5to6,21541
341,-99,-99,bike,504,18to20,5to6,21544
342,-99,-99,bike,504,18to20,5to6,21545
343,-99,-99,bike,265,5to6,5to6,21607
344,-99,-99,bike,265,7to8,5to6,21608
345,-99,-99,bike,1914,10to14,5to6,21612
346,-99,-99,bike,1914,14to15,5to6,21613
347,-99,-99,bike,308,9to10,5to6,21833
348,-99,-99,bike,308,10to14,5to6,21834
349,-99,-99,bike,856,14to15,5to6,21837
350,-99,-99,bike,856,14to15,5to6,21838
351,-99,-99,bike,5139,7to8,5to6,22006
352,-99,-99,bike,5139,9to10,5to6,22007
353,-99,-99,bike,2934,8to9,5to6,22068
354,-99,-99,bike,2934,18to20,5to6,22069
355,-99,-99,bike,3159,6to7,5to6,22129
356,-99,-99,bike,3159,18to20,5to6,22130
357,-99,-99,bike,1490,8to9,5to6,22138
358,-99,-99,bike,1490,18to20,5to6,22139
359,-99,-99,bike,2051,20to5,5to6,22178
360,-99,-99,bike,2051,20to5,5to6,22179
361,-99,-99,bike,2926,10to14,5to6,22180
362,-99,-99,bike,2926,10to14,5to6,22181
363,-99,-99,bike,10684,10to14,5to6,22300
364,-99,-99,bike,3257,15to16,5to6,22301
365,-99,-99,bike,7505,17to18,5to6,22302
366,-99,-99,bike,1763,10to14,5to6,22303
367,-99,-99,bike,405,18to20,5to6,22304
368,-99,-99,bike,1636,18to20,5to6,22305
369,-99,-99,bike,546,6to7,5to6,22323
370,-99,-99,bike,542,9to10,5to6,22324
371,-99,-99,bike,790,17to18,5to6,22325
372,-99,-99,bike,1175,8to9,5to6,22398
373,-99,-99,bike,1175,10to14,5to6,22399
374,-99,-99,bike,1142,15to16,5to6,22400
375,-99,-99,bike,1155,18to20,5to6,22401
376,-99,-99,bike,863,18to20,5to6,22402
377,-99,-99,bike,1777,18to20,5to6,22405
378,-99,-99,bike,1777,18to20,5to6,22406
379,-99,-99,bike,1686,8to9,5to6,22475
380,-99,-99,bike,1686,17to18,5to6,22476
381,-99,-99,bike,2607,9to10,5to6,22505
382,-99,-99,bike,2607,14to15,5to6,22506
383,-99,-99,bike,24350,20to5,5to6,22518
384,-99,-99,bike,13119,17to18,5to6,22568
385,-99,-99,bike,4059,8to9,5to6,22591
386,-99,-99,bike,4059,18to20,5to6,22594
387,-99,-99,bike,1228,10to14,5to6,22599
388,-99,-99,bike,1228,15to16,5to6,22600
389,-99,-99,bike,872,9to10,5to6,22672
390,-99,-99,bike,872,10to14,5to6,22673
391,-99,-99,bike,2615,6to7,5to6,23277
392,-99,-99,bike,2615,20to5,5to6,23282
393,-99,-99,bike,2127,7to8,5to6,23294
394,-99,-99,bike,2127,17to18,5to6,23295
395,-99,-99,bike,2057,8to9,5to6,23535
396,-99,-99,bike,2057,17to18,5to6,23536
397,-99,-99,bike,1782,8to9,5to6,23642
398,-99,-99,bike,1782,17to18,5to6,23643
399,-99,-99,bike,2860,7to8,5to6,23668
400,-99,-99,bike,2860,18to20,5to6,23669
401,-99,-99,bike,3176,8to9,5to6,23977
402,-99,-99,bike,3176,18to20,5to6,23978
403,-99,-99,bike,2773,18to20,5to6,23985
404,-99,-99,bike,2881,10to14,5to6,23989
405,-99,-99,bike,2829,9to10,5to6,23997
406,-99,-99,bike,2829,10to14,5to6,23998
407,-99,-99,bike,259,10to14,5to6,23999
408,-99,-99,bike,1984,14to15,5to6,24000
409,-99,-99,bike,892,17to18,5to6,24001
410,-99,-99,bike,892,18to20,5to6,24002
411,-99,-99,bike,2093,18to20,5to6,24003
412,-99,-99,bike,9515,15to16,5to6,24134
413,-99,-99,bike,967,16to17,5to6,24165
414,-99,-99,bike,967,16to17,5to6,24166
415,-99,-99,bike,967,16to17,5to6,24172
416,-99,-99,bike,967,16to17,5to6,24173
417,-99,-99,bike,967,16to17,5to6,24176
418,-99,-99,bike,967,16to17,5to6,24177
419,-99,-99,bike,397,18to20,5to6,24537
420,-99,-99,bike,1860,18to20,5to6,24538
421,-99,-99,bike,2081,18to20,5to6,24539
422,-99,-99,bike,669,10to14,5to6,24667
423,-99,-99,bike,669,10to14,5to6,24668
424,-99,-99,bike,1081,8to9,5to6,24750
425,-99,-99,bike,266,17to18,5to6,24751
426,-99,-99,bike,897,18to20,5to6,24752
427,-99,-99,bike,1192,15to16,5to6,24837
428,-99,-99,bike,1192,15to16,5to6,24838
429,-99,-99,bike,3268,8to9,5to6,24849
430,-99,-99,bike,3268,18to20,5to6,24851
431,-99,-99,bike,1021,10to14,5to6,24878
432,-99,-99,bike,1035,18to20,5to6,24879
433,-99,-99,bike,353,18to20,5to6,24880
434,-99,-99,bike,2954,7to8,5to6,24900
435,-99,-99,bike,2954,16to17,5to6,24901
436,-99,-99,bike,4027,18to20,5to6,24902
437,-99,-99,bike,4027,18to20,5to6,24903
438,-99,-99,bike,1735,8to9,5to6,24956
439,-99,-99,bike,1735,16to17,5to6,24957
440,-99,-99,bike,1217,8to9,5to6,24961
441,-99,-99,bike,556,20to5,5to6,24966
442,-99,-99,bike,556,20to5,5to6,24967
443,-99,-99,bike,510,10to14,5to6,24971
444,-99,-99,bike,510,10to14,5to6,24972
445,-99,-99,bike,3929,15to16,5to6,24973
446,-99,-99,bike,3929,16to17,5to6,24974
447,-99,-99,bike,6279,8to9,5to6,25060
448,-99,-99,bike,9197,10to14,5to6,25061
449,-99,-99,bike,2190,8to9,5to6,25140
450,-99,-99,bike,2190,17to18,5to6,25141
451,-99,-99,bike,340,10to14,5to6,25144
452,-99,-99,bike,1971,10to14,5to6,25145
453,-99,-99,bike,2617,16to17,5to6,25149
454,-99,-99,bike,321,18to20,5to6,25150
455,-99,-99,bike,2496,20to5,5to6,25151
456,-99,-99,bike,488,8to9,5to6,25193
457,-99,-99,bike,488,9to10,5to6,25194
458,-99,-99,bike,488,8to9,5to6,25212
459,-99,-99,bike,488,15to16,5to6,25213
460,-99,-99,bike,3570,7to8,5to6,25253
461,-99,-99,bike,555,18to20,5to6,25254
462,-99,-99,bike,4111,20to5,5to6,25255
463,-99,-99,bike,3543,16to17,5to6,25261
464,-99,-99,bike,555,18to20,5to6,25262
465,-99,-99,bike,4111,20to5,5to6,25263
466,-99,-99,bike,1679,7to8,5to6,25401
467,-99,-99,bike,1679,16to17,5to6,25402
468,-99,-99,bike,559,8to9,5to6,25416
469,-99,-99,bike,163,9to10,5to6,25417
470,-99,-99,bike,677,16to17,5to6,25418
471,-99,-99,bike,761,18to20,5to6,25421
472,-99,-99,bike,761,20to5,5to6,25422
473,-99,-99,bike,4175,14to15,5to6,25456
474,-99,-99,bike,4268,15to16,5to6,25457
475,-99,-99,bike,313,16to17,5to6,25458
476,-99,-99,bike,486,8to9,5to6,25733
477,-99,-99,bike,419,16to17,5to6,25734
478,-99,-99,bike,63,17to18,5to6,25735
479,-99,-99,bike,384,20to5,5to6,25736
480,-99,-99,bike,1059,6to7,5to6,25737
481,-99,-99,bike,1059,7to8,5to6,25738
482,-99,-99,bike,1654,8to9,5to6,25739
483,-99,-99,bike,1654,17to18,5to6,25740
484,-99,-99,bike,9044,6to7,5to6,25850
485,-99,-99,bike,9044,16to17,5to6,25851
486,-99,-99,bike,1546,7to8,5to6,25870
487,-99,-99,bike,587,9to10,5to6,25871
488,-99,-99,bike,1201,17to18,5to6,25872
489,-99,-99,bike,1923,9to10,5to6,26013
490,-99,-99,bike,465,10to14,5to6,26014
491,-99,-99,bike,2036,10to14,5to6,26016
492,-99,-99,bike,2036,10to14,5to6,26017
493,-99,-99,bike,1134,7to8,5to6,26118
494,-99,-99,bike,1134,17to18,5to6,26119
495,-99,-99,bike,1084,9to10,5to6,26167
496,-99,-99,bike,1271,16to17,5to6,26168
497,-99,-99,bike,1897,8to9,5to6,26174
498,-99,-99,bike,391,10to14,5to6,26175
499,-99,-99,bike,1725,16to17,5to6,26176
500,-99,-99,bike,1153,9to10,5to6,26177
501,-99,-99,bike,411,10to14,5to6,26178
502,-99,-99,bike,403,14to15,5to6,26179
503,-99,-99,bike,905,14to15,5to6,26180
504,-99,-99,bike,2355,16to17,5to6,26321
505,-99,-99,bike,2386,6to7,5to6,26506
506,-99,-99,bike,2386,18to20,5to6,26507
507,-99,-99,bike,3488,7to8,5to6,26813
508,-99,-99,bike,3488,18to20,5to6,26814
509,-99,-99,bike,1011,9to10,5to6,27038
510,-99,-99,bike,411,10to14,5to6,27039
511,-99,-99,bike,325,10to14,5to6,27040
512,-99,-99,bike,827,10to14,5to6,27041
513,-99,-99,bike,982,8to9,5to6,27122
514,-99,-99,bike,982,17to18,5to6,27123
515,-99,-99,bike,1392,7to8,5to6,27286
516,-99,-99,bike,3816,8to9,5to6,27287
517,-99,-99,bike,5562,9to10,5to6,27750
518,-99,-99,bike,5097,18to20,5to6,27751
519,-99,-99,bike,473,8to9,5to6,27760
520,-99,-99,bike,473,15to16,5to6,27761
521,-99,-99,bike,3836,20to5,5to6,27879
522,-99,-99,bike,3836,15to16,5to6,27880
523,-99,-99,bike,6934,10to14,5to6,28045
524,-99,-99,bike,6934,10to14,5to6,28046
525,-99,-99,bike,6934,10to14,5to6,28050
526,-99,-99,bike,6934,10to14,5to6,28051
527,-99,-99,bike,6934,10to14,5to6,28059
528,-99,-99,bike,6934,10to14,5to6,28060
529,-99,-99,bike,3720,7to8,5to6,28154
530,-99,-99,bike,3720,9to10,5to6,28155
531,-99,-99,bike,2989,16to17,5to6,28222
532,-99,-99,bike,2989,17to18,5to6,28223
533,-99,-99,bike,1125,17to18,5to6,28228
534,-99,-99,bike,1125,20to5,5to6,28229
535,-99,-99,bike,212,18to20,5to6,28433
536,-99,-99,bike,212,20to5,5to6,28434
537,-99,-99,bike,212,18to20,5to6,28437
538,-99,-99,bike,212,20to5,5to6,28438
539,-99,-99,bike,550,10to14,5to6,28443
540,-99,-99,bike,550,17to18,5to6,28444
541,-99,-99,bike,2226,8to9,5to6,28524
542,-99,-99,bike,2226,17to18,5to6,28525
543,-99,-99,bike,65535,10to14,5to6,28562
544,-99,-99,bike,65535,10to14,5to6,28563
545,-99,-99,bike,1542,9to10,5to6,28572
546,-99,-99,bike,1542,17to18,5to6,28573
547,-99,-99,bike,4390,6to7,5to6,28611
548,-99,-99,bike,1501,10to14,5to6,28628
549,-99,-99,bike,1501,14to15,5to6,28629
550,-99,-99,bike,2759,8to9,5to6,28825
551,-99,-99,bike,2759,18to20,5to6,28826
552,-99,-99,bike,2675,7to8,5to6,28844
553,-99,-99,bike,1315,16to17,5to6,28845
554,-99,-99,bike,706,7to8,5to6,29041
555,-99,-99,bike,1260,15to16,5to6,29042
556,-99,-99,bike,1593,17to18,5to6,29043
557,-99,-99,bike,1534,9to10,5to6,29059
558,-99,-99,bike,1534,18to20,5to6,29062
559,-99,-99,bike,5722,10to14,5to6,29237
560,-99,-99,bike,606,10to14,5to6,29238
561,-99,-99,bike,1842,10to14,5to6,29240
562,-99,-99,bike,2292,14to15,5to6,29241
563,-99,-99,bike,3861,14to15,5to6,29242
564,-99,-99,bike,92,16to17,5to6,29243
565,-99,-99,bike,5639,16to17,5to6,29244
