,survey,o_rgcname,mode_simple,count,count_moe,share,share_moe,sample_size
149,2017_2019,Tacoma Mall,Walk,168.0167445,195.6528714,0%,0%,2
150,2017_2019,Tacoma Mall,Bike,256.2408649,421.5162228,0%,1%,1
151,2017_2019,Tacoma Mall,Total,66904.52095,18584.9615,0%,0%,157
152,2017_2019,Tukwila,Drive,60855.83397,18993.08001,85%,14%,171
153,2017_2019,Tukwila,Transit,5133.36858,7377.826466,7%,10%,10
154,2017_2019,Tukwila,Walk,875.6976969,943.4866535,1%,1%,7
155,2017_2019,Tukwila,Bike,4846.992949,7973.303402,7%,11%,1
156,2017_2019,Tukwila,Other,1.267804576,2.085538527,0%,0%,1
157,2017_2019,Tukwila,Total,71713.161,21899.21237,1%,0%,190
158,2017_2019,University Place,Drive,44151.40969,15624.78042,96%,5%,121
159,2017_2019,University Place,Walk,1995.919868,2182.095065,4%,5%,9
160,2017_2019,University Place,Total,46147.32956,15776.18413,0%,0%,130
