,hhno,pno,day,tour,half,tseg,tsvid,opurp,dpurp,oadtyp,dadtyp,opcl,otaz,dpcl,dtaz,mode,pathtype,dorp,deptm,arrtm,endacttm,travtime,travcost,travdist
52,17100111,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,1,0,3,335,340,190,3,0,0.3
53,17100111,3,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,1,0,3,530,535,20,3,0,0.3
54,17100111,3,1,-1,-1,-1,3,0,2,-1,-1,-1,-1,-1,-1,1,0,3,555,560,270,3,0,0.3
55,17100111,3,1,-1,-1,-1,4,2,0,-1,-1,-1,-1,-1,-1,1,0,3,830,835,605,3,0,0.3
56,17100111,4,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,2,0,3,270,300,570,4,0,1.19
57,17100111,4,1,-1,-1,-1,2,2,4,-1,-1,-1,-1,-1,-1,1,0,3,870,885,135,3,0,0.53
58,17100111,4,1,-1,-1,-1,3,4,0,-1,-1,-1,-1,-1,-1,1,0,3,1020,1050,390,5,0,1.2
59,17100137,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,1,0,3,510,540,30,8,0,1.23
60,17100137,1,1,-1,-1,-1,2,1,6,-1,-1,-1,-1,-1,-1,1,0,3,570,580,0,4,0,0.52
61,17100137,1,1,-1,-1,-1,3,6,1,-1,-1,-1,-1,-1,-1,1,0,3,580,590,190,3,0,0.4
62,17100137,1,1,-1,-1,-1,4,1,0,-1,-1,-1,-1,-1,-1,1,0,3,780,810,630,8,0,1.17
63,17100149,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,5,0,2,130,165,545,23,0,16.86
64,17100149,1,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,5,0,1,710,750,690,25,0,15.83
65,17100149,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,360,380,520,14,0,8.56
66,17100149,2,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,3,0,1,900,930,510,15,0,7.35
67,17100149,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,6,1,3,310,320,190,10,0,2.04
68,17100149,3,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,6,1,3,510,530,910,10,0,2.04
69,17100149,4,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,4,0,3,270,280,415,6,0,1.45
70,17100149,4,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,1,0,3,695,725,715,7,0,1.41
71,17100179,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,275,290,1150,18,0,8.53
72,17100179,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,2,0,3,165,210,1230,15,0,5.87
73,17100179,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,3,0,1,330,340,1100,11,0,2.79
74,17100203,1,1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,5,0,1,360,365,15,4,0,1.03
75,17100203,1,1,-1,-1,-1,2,3,0,-1,-1,-1,-1,-1,-1,4,0,1,380,390,330,3,0,1.03
76,17100203,1,1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,4,0,1,720,730,20,4,0,1.03
77,17100203,1,1,-1,-1,-1,4,3,0,-1,-1,-1,-1,-1,-1,5,0,1,750,760,680,3,0,1.03
78,17100203,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,345,355,665,6,0,1.58
79,17100203,2,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,3,0,1,1020,1030,410,7,0,1.68
80,17100203,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,5,0,2,360,365,385,4,0,1.03
81,17100203,3,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,5,0,2,750,760,680,3,0,1.03
82,17100203,4,1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,5,0,2,360,365,15,4,0,1.03
83,17100203,4,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,4,0,2,380,390,330,3,0,1.03
84,17100203,4,1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,4,0,2,720,730,20,4,0,1.03
85,17100203,4,1,-1,-1,-1,4,2,0,-1,-1,-1,-1,-1,-1,5,0,2,750,760,680,3,0,1.03
86,17100208,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,370,380,155,6,0,1.64
87,17100208,1,1,-1,-1,-1,2,1,5,-1,-1,-1,-1,-1,-1,3,0,1,535,545,0,9,0,2.13
88,17100208,1,1,-1,-1,-1,3,5,4,-1,-1,-1,-1,-1,-1,3,0,1,545,570,10,14,0,8.88
89,17100208,1,1,-1,-1,-1,4,4,4,-1,-1,-1,-1,-1,-1,3,0,1,580,590,75,6,0,1.08
90,17100208,1,1,-1,-1,-1,5,4,1,-1,-1,-1,-1,-1,-1,3,0,1,665,700,65,20,0,11.2
91,17100208,1,1,-1,-1,-1,6,1,5,-1,-1,-1,-1,-1,-1,3,0,1,765,770,5,7,0,1.98
92,17100208,1,1,-1,-1,-1,7,5,0,-1,-1,-1,-1,-1,-1,3,0,1,775,785,85,7,0,2.15
93,17100208,1,1,-1,-1,-1,8,0,1,-1,-1,-1,-1,-1,-1,3,0,1,870,920,100,29,0,22.76
94,17100208,1,1,-1,-1,-1,9,1,8,-1,-1,-1,-1,-1,-1,3,0,1,1020,1045,120,21,0,17.82
95,17100208,1,1,-1,-1,-1,10,8,0,-1,-1,-1,-1,-1,-1,3,0,1,1165,1185,255,18,0,12.9
96,17100208,2,1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,1,0,3,315,325,5,4,0,0.9
97,17100208,2,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,1,0,3,330,340,20,4,0,0.9
98,17100208,2,1,-1,-1,-1,3,0,5,-1,-1,-1,-1,-1,-1,3,0,1,360,370,30,6,0,2.1
99,17100208,2,1,-1,-1,-1,4,5,1,-1,-1,-1,-1,-1,-1,3,0,1,400,420,540,12,0,6.15
100,17100208,2,1,-1,-1,-1,5,1,0,-1,-1,-1,-1,-1,-1,3,0,1,960,975,465,14,0,7.04
101,17100208,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,1,0,3,315,325,435,4,0,0.9
102,17100208,3,1,-1,-1,-1,2,2,7,-1,-1,-1,-1,-1,-1,6,1,3,760,810,630,14,0,6.38
103,17100221,1,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,1,0,3,280,290,220,6,0,0.68
104,17100221,1,1,-1,-1,-1,2,4,5,-1,-1,-1,-1,-1,-1,1,0,3,510,525,80,6,0,0.82
105,17100221,1,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,1,0,3,605,610,830,6,0,0.4
106,17100231,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,1,0,3,345,365,300,1,0,0.25
107,17100231,1,1,-1,-1,-1,2,1,8,-1,-1,-1,-1,-1,-1,1,0,3,665,735,0,11,0,3.19
108,17100231,1,1,-1,-1,-1,3,8,0,-1,-1,-1,-1,-1,-1,1,0,3,735,800,640,10,0,3.38
109,17100231,2,1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,3,0,1,400,430,170,29,0,17.07
110,17100231,2,1,-1,-1,-1,2,5,5,-1,-1,-1,-1,-1,-1,3,0,1,600,630,15,28,0,16.1
111,17100231,2,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,3,0,1,645,660,60,9,0,3.03
112,17100231,2,1,-1,-1,-1,4,0,8,-1,-1,-1,-1,-1,-1,1,0,3,720,740,0,0,0,0.12
113,17100231,2,1,-1,-1,-1,5,8,0,-1,-1,-1,-1,-1,-1,1,0,3,740,765,675,0,0,0.12
114,17100233,1,1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,3,0,1,215,250,10,22,0,12.19
115,17100233,1,1,-1,-1,-1,2,5,7,-1,-1,-1,-1,-1,-1,3,0,1,260,275,40,9,0,4.72
116,17100233,1,1,-1,-1,-1,3,7,0,-1,-1,-1,-1,-1,-1,3,0,1,315,345,25,26,0,16.84
117,17100233,1,1,-1,-1,-1,4,0,7,-1,-1,-1,-1,-1,-1,3,0,1,370,390,30,18,0,7.64
118,17100233,1,1,-1,-1,-1,5,7,4,-1,-1,-1,-1,-1,-1,3,0,1,420,435,5,19,0,10.0
119,17100233,1,1,-1,-1,-1,6,4,4,-1,-1,-1,-1,-1,-1,3,0,1,440,455,10,20,0,10.77
120,17100233,1,1,-1,-1,-1,7,4,0,-1,-1,-1,-1,-1,-1,3,0,1,465,480,10,17,0,7.64
121,17100233,1,1,-1,-1,-1,8,0,4,-1,-1,-1,-1,-1,-1,3,0,1,490,505,30,9,0,3.54
122,17100233,1,1,-1,-1,-1,9,4,4,-1,-1,-1,-1,-1,-1,3,0,1,535,550,5,7,0,3.24
123,17100233,1,1,-1,-1,-1,10,4,5,-1,-1,-1,-1,-1,-1,3,0,1,555,565,10,9,0,4.02
124,17100233,1,1,-1,-1,-1,11,5,0,-1,-1,-1,-1,-1,-1,3,0,1,575,585,220,6,0,2.46
125,17100233,1,1,-1,-1,-1,12,0,4,-1,-1,-1,-1,-1,-1,3,0,1,805,815,125,9,0,3.54
126,17100233,1,1,-1,-1,-1,13,4,0,-1,-1,-1,-1,-1,-1,3,0,1,940,955,5,9,0,3.54
127,17100233,1,1,-1,-1,-1,14,0,4,-1,-1,-1,-1,-1,-1,3,0,1,960,970,5,10,0,3.92
128,17100233,1,1,-1,-1,-1,15,4,4,-1,-1,-1,-1,-1,-1,3,0,1,975,985,15,14,0,5.16
129,17100233,1,1,-1,-1,-1,16,4,0,-1,-1,-1,-1,-1,-1,3,0,1,1000,1015,425,17,0,7.64
130,17100233,2,1,-1,-1,-1,1,0,7,-1,-1,-1,-1,-1,-1,4,0,1,355,380,25,18,0,7.64
131,17100233,2,1,-1,-1,-1,2,7,5,-1,-1,-1,-1,-1,-1,4,0,1,405,440,30,20,0,10.18
132,17100233,2,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,3,0,1,470,495,260,26,0,12.11
133,17100233,2,1,-1,-1,-1,4,0,4,-1,-1,-1,-1,-1,-1,3,0,1,755,810,100,9,0,3.54
134,17100233,2,1,-1,-1,-1,5,4,0,-1,-1,-1,-1,-1,-1,3,0,1,910,925,515,9,0,3.54
135,17100238,1,1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,4,0,1,720,730,50,8,0,2.24
136,17100238,1,1,-1,-1,-1,2,5,6,-1,-1,-1,-1,-1,-1,4,0,1,780,805,95,22,0,12.08
137,17100238,1,1,-1,-1,-1,3,6,0,-1,-1,-1,-1,-1,-1,4,0,1,900,930,510,22,0,12.61
138,17100238,2,1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,4,0,3,720,730,50,8,0,2.24
139,17100238,2,1,-1,-1,-1,2,5,6,-1,-1,-1,-1,-1,-1,4,0,3,780,805,95,22,0,12.08
140,17100238,2,1,-1,-1,-1,3,6,0,-1,-1,-1,-1,-1,-1,4,0,3,900,930,510,22,0,12.61
141,17100255,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,285,300,60,12,0,7.33
142,17100255,1,1,-1,-1,-1,2,1,6,-1,-1,-1,-1,-1,-1,1,0,3,360,375,5,3,0,0.53
143,17100255,1,1,-1,-1,-1,3,6,1,-1,-1,-1,-1,-1,-1,1,0,3,380,395,155,2,0,0.39
144,17100255,1,1,-1,-1,-1,4,1,6,-1,-1,-1,-1,-1,-1,1,0,3,550,560,15,2,0,0.2
145,17100255,1,1,-1,-1,-1,5,6,1,-1,-1,-1,-1,-1,-1,1,0,3,575,585,135,3,0,0.32
146,17100255,1,1,-1,-1,-1,6,1,6,-1,-1,-1,-1,-1,-1,1,0,3,720,735,10,3,0,0.53
147,17100255,1,1,-1,-1,-1,7,6,1,-1,-1,-1,-1,-1,-1,1,0,3,745,760,95,2,0,0.39
148,17100255,1,1,-1,-1,-1,8,1,5,-1,-1,-1,-1,-1,-1,3,0,1,855,865,20,3,0,0.57
149,17100255,1,1,-1,-1,-1,9,5,5,-1,-1,-1,-1,-1,-1,3,0,1,885,915,30,14,0,7.39
150,17100255,1,1,-1,-1,-1,10,5,0,-1,-1,-1,-1,-1,-1,3,0,1,945,950,490,2,0,0.17
151,17100280,1,1,-1,-1,-1,1,0,10,-1,-1,-1,-1,-1,-1,1,0,3,690,695,5,2,0,0.21
152,17100280,1,1,-1,-1,-1,2,10,10,-1,-1,-1,-1,-1,-1,6,1,3,700,720,0,13,0,2.13
153,17100280,1,1,-1,-1,-1,3,10,5,-1,-1,-1,-1,-1,-1,1,0,3,720,730,25,4,0,0.66
154,17100280,1,1,-1,-1,-1,4,5,10,-1,-1,-1,-1,-1,-1,1,0,3,755,765,15,4,0,0.43
155,17100280,1,1,-1,-1,-1,5,10,10,-1,-1,-1,-1,-1,-1,6,1,3,780,795,0,12,0,2.13
156,17100280,1,1,-1,-1,-1,6,10,0,-1,-1,-1,-1,-1,-1,1,0,3,795,800,180,3,0,0.37
157,17100280,1,1,-1,-1,-1,7,0,5,-1,-1,-1,-1,-1,-1,1,0,3,980,985,15,4,0,0.25
158,17100280,1,1,-1,-1,-1,8,5,0,-1,-1,-1,-1,-1,-1,1,0,3,1000,1005,435,4,0,0.27
159,17100291,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,240,265,550,18,0,15.12
160,17100291,1,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,3,0,1,815,855,5,20,0,15.68
161,17100291,1,1,-1,-1,-1,3,0,8,-1,-1,-1,-1,-1,-1,1,0,3,860,865,0,1,0,0.24
162,17100291,1,1,-1,-1,-1,4,8,0,-1,-1,-1,-1,-1,-1,1,0,3,865,870,200,2,0,0.24
163,17100291,1,1,-1,-1,-1,5,0,8,-1,-1,-1,-1,-1,-1,1,0,3,1070,1075,5,1,0,0.24
164,17100291,1,1,-1,-1,-1,6,8,0,-1,-1,-1,-1,-1,-1,1,0,3,1080,1085,355,2,0,0.24
165,17100326,1,1,-1,-1,-1,1,0,5,-1,-1,-1,-1,-1,-1,3,0,1,510,540,75,19,0,8.87
166,17100326,1,1,-1,-1,-1,2,5,0,-1,-1,-1,-1,-1,-1,3,0,1,615,645,45,20,0,9.27
167,17100326,1,1,-1,-1,-1,3,0,8,-1,-1,-1,-1,-1,-1,1,0,3,690,705,0,2,0,0.47
168,17100326,1,1,-1,-1,-1,4,8,0,-1,-1,-1,-1,-1,-1,1,0,3,705,720,720,2,0,0.47
169,17100372,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,6,1,3,320,345,555,9,0,1.29
170,17100372,1,1,-1,-1,-1,2,1,5,-1,-1,-1,-1,-1,-1,6,1,3,900,915,10,9,0,1.42
171,17100372,1,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,1,0,3,925,930,510,1,0,0.13
172,17100411,1,1,-1,-1,-1,1,0,10,-1,-1,-1,-1,-1,-1,1,0,3,355,365,0,5,0,0.7
173,17100411,1,1,-1,-1,-1,2,10,1,-1,-1,-1,-1,-1,-1,6,1,3,365,415,485,17,0,8.64
174,17100411,1,1,-1,-1,-1,3,1,0,-1,-1,-1,-1,-1,-1,6,1,3,900,960,0,16,0,8.49
175,17100411,1,1,-1,-1,-1,4,0,0,-1,-1,-1,-1,-1,-1,1,0,3,960,970,470,4,0,0.72
176,17100414,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,4,0,1,210,230,80,15,0,5.9
177,17100414,1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,3,0,1,310,335,415,14,0,2.14
178,17100414,1,1,-1,-1,-1,3,1,9,-1,-1,-1,-1,-1,-1,3,0,1,750,765,35,8,0,2.28
179,17100414,1,1,-1,-1,-1,4,9,3,-1,-1,-1,-1,-1,-1,3,0,1,800,810,20,9,0,3.55
180,17100414,1,1,-1,-1,-1,5,2,0,-1,-1,-1,-1,-1,-1,4,0,1,830,855,585,9,0,3.56
181,17100414,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,270,290,665,9,0,4.62
182,17100414,2,1,-1,-1,-1,2,1,4,-1,-1,-1,-1,-1,-1,3,0,1,955,975,30,8,0,4.45
183,17100414,2,1,-1,-1,-1,3,4,0,-1,-1,-1,-1,-1,-1,3,0,1,1005,1010,430,3,0,0.67
184,17100414,3,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,4,0,2,210,230,600,15,0,5.9
185,17100414,3,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,4,0,2,830,855,585,9,0,3.56
186,17100418,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,180,225,545,32,0,23.44
187,17100418,1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,3,0,1,770,790,20,7,0,2.79
188,17100418,1,1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,3,0,1,810,825,85,7,0,2.37
189,17100418,1,1,-1,-1,-1,4,1,4,-1,-1,-1,-1,-1,-1,3,0,1,910,950,90,27,0,20.12
190,17100418,1,1,-1,-1,-1,5,4,6,-1,-1,-1,-1,-1,-1,1,0,3,1040,1045,35,2,0,0.19
191,17100418,1,1,-1,-1,-1,6,6,0,-1,-1,-1,-1,-1,-1,3,0,1,1080,1115,325,23,3,13.9
192,17100441,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,6,1,3,360,395,555,15,0,4.01
193,17100441,1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,5,0,2,950,965,115,7,0,0.88
194,17100441,1,1,-1,-1,-1,3,1,0,-1,-1,-1,-1,-1,-1,4,0,2,1080,1115,325,16,0,4.56
195,17100441,2,1,-1,-1,-1,1,0,9,-1,-1,-1,-1,-1,-1,3,0,1,120,165,330,22,0,6.61
196,17100441,2,1,-1,-1,-1,2,9,5,-1,-1,-1,-1,-1,-1,3,0,1,495,520,20,20,0,5.68
197,17100441,2,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,3,0,1,540,545,505,5,0,0.97
198,17100441,2,1,-1,-1,-1,4,0,1,-1,-1,-1,-1,-1,-1,3,0,1,1050,1075,5,18,0,4.53
199,17100441,2,1,-1,-1,-1,5,1,0,-1,-1,-1,-1,-1,-1,4,0,3,1080,1115,325,16,0,4.56
200,17100458,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,450,470,115,15,0,7.7
201,17100458,1,1,-1,-1,-1,2,1,3,-1,-1,-1,-1,-1,-1,4,0,1,585,590,0,4,0,0.41
202,17100458,1,1,-1,-1,-1,3,3,6,-1,-1,-1,-1,-1,-1,3,0,1,590,600,120,11,0,3.66
203,17100458,1,1,-1,-1,-1,4,6,0,-1,-1,-1,-1,-1,-1,3,0,1,720,730,75,11,0,3.2
204,17100458,1,1,-1,-1,-1,5,0,3,-1,-1,-1,-1,-1,-1,3,0,1,805,830,5,22,0,13.93
205,17100458,1,1,-1,-1,-1,6,3,8,-1,-1,-1,-1,-1,-1,4,0,1,835,855,125,15,0,14.21
206,17100458,1,1,-1,-1,-1,7,8,6,-1,-1,-1,-1,-1,-1,4,0,1,980,990,45,9,0,2.58
207,17100458,1,1,-1,-1,-1,8,6,3,-1,-1,-1,-1,-1,-1,4,0,1,1035,1050,0,13,0,10.72
208,17100458,1,1,-1,-1,-1,9,3,0,-1,-1,-1,-1,-1,-1,3,0,1,1050,1075,365,21,0,13.89
209,17100477,1,1,-1,-1,-1,1,0,8,-1,-1,-1,-1,-1,-1,3,0,1,225,240,50,6,0,1.66
210,17100477,1,1,-1,-1,-1,2,8,0,-1,-1,-1,-1,-1,-1,3,0,1,290,310,60,6,0,1.56
211,17100477,1,1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,4,0,1,370,385,10,8,0,2.42
212,17100477,1,1,-1,-1,-1,4,2,1,-1,-1,-1,-1,-1,-1,3,0,1,395,420,570,12,0,3.99
213,17100477,1,1,-1,-1,-1,5,1,0,-1,-1,-1,-1,-1,-1,3,0,1,990,1010,430,10,0,4.48
214,17100482,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,310,330,510,18,0,5.1
215,17100482,1,1,-1,-1,-1,2,1,5,-1,-1,-1,-1,-1,-1,3,0,1,840,845,35,2,0,0.23
216,17100482,1,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,3,0,1,880,910,530,19,0,5.18
217,17100492,1,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,1,0,3,460,480,15,7,0,1.58
