tlvorig,tardest,totaz,topcl,toadtyp,tlvdest,tarorig,hhno,pno,day,pdpurp,tdtaz,tdpcl,tdadtyp,tpathtp,tripsh1,tripsh2,tmodetp,subtrs,odadtyp,jtindex,parent,tautotime,tautocost,tautodist,phtindx1,phtindx2,fhtindx1,fhtindx2,toexpfac
715,720,1676.0,-1,1,725,730,17130048,1713004801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
750,755,1676.0,-1,1,755,760,17130048,1713004801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
820,825,1676.0,-1,1,825,830,17130048,1713004801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
960,965,1676.0,-1,1,965,970,17130048,1713004801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1160,1165,1676.0,-1,1,1165,1170,17130048,1713004801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
505,515,2508.0,-1,1,515,525,17132609,1713260901,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
665,670,2508.0,-1,1,700,705,17132609,1713260901,4,5.0,2513.0,-1.0,4,1,2,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
740,770,2508.0,-1,1,945,955,17132609,1713260901,4,3.0,2517.0,-1.0,4,1,2,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1110,1120,2508.0,-1,1,1215,1225,17132609,1713260901,4,7.0,2517.0,-1.0,4,1,2,2,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
450,455,797.0,-1,1,455,460,17123251,1712325101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
600,615,797.0,-1,1,685,695,17123251,1712325101,4,8.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
750,755,797.0,-1,1,755,760,17123251,1712325101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
885,905,797.0,-1,1,1030,1050,17123251,1712325101,4,5.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1055,1060,797.0,-1,1,1060,1065,17123251,1712325101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1275,1280,797.0,-1,1,1280,1285,17123251,1712325101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
645,675,363.0,-1,1,705,735,17101667,1710166701,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
735,740,363.0,-1,1,985,990,17101667,1710166701,4,1.0,362.0,-1.0,4,1,1,7,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1090,1130,363.0,-1,1,1290,1320,17101667,1710166701,4,8.0,,,4,1,1,1,5,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
335,345,2508.0,-1,1,480,490,17132609,1713260902,4,1.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
500,505,2508.0,-1,1,510,515,17132609,1713260902,4,3.0,2502.0,-1.0,4,1,1,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
515,520,2508.0,-1,1,1215,1225,17132609,1713260902,4,1.0,2517.0,-1.0,4,1,4,2,4,3,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
520,530,3011.0,-1,1,530,535,17117864,1711786401,4,4.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
565,580,3011.0,-1,1,595,610,17117864,1711786401,4,9.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
620,640,3011.0,-1,1,735,750,17117864,1711786401,4,5.0,2987.0,-1.0,4,1,4,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1030,1035,3011.0,-1,1,1045,1050,17117864,1711786401,4,4.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
500,510,2575.0,-1,1,510,520,17111922,1711192201,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
555,570,2575.0,-1,1,615,630,17111922,1711192201,4,9.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
640,665,2575.0,-1,1,665,690,17111922,1711192201,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
885,895,2575.0,-1,1,895,905,17111922,1711192201,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
975,1005,2575.0,-1,1,1100,1140,17111922,1711192201,4,9.0,296.0,-1.0,4,1,1,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
570,585,3394.0,-1,1,650,660,17101240,1710124002,4,4.0,3338.0,-1.0,4,1,1,5,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
720,750,3394.0,-1,1,1200,1210,17101240,1710124002,4,8.0,3016.0,-1.0,4,1,2,3,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
420,430,478.0,-1,1,430,440,17105153,1710515301,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
555,560,478.0,-1,1,575,585,17105153,1710515301,4,3.0,478.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
655,665,478.0,-1,1,730,740,17105153,1710515301,4,5.0,503.0,-1.0,4,1,2,2,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1080,1090,478.0,-1,1,1090,1100,17105153,1710515301,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
585,595,184.0,-1,1,755,770,17147731,1714773101,4,5.0,330.0,-1.0,4,1,2,3,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
800,810,184.0,-1,1,1050,1060,17147731,1714773101,4,5.0,330.0,-1.0,4,1,3,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1120,1135,184.0,-1,1,1290,1300,17147731,1714773101,4,7.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
470,480,269.0,-1,1,480,485,17125286,1712528602,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
495,530,269.0,-1,1,990,995,17125286,1712528602,4,1.0,1352.0,-1.0,4,1,1,3,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1040,1045,269.0,-1,1,1050,1055,17125286,1712528602,4,3.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1075,1080,269.0,-1,1,1185,1190,17125286,1712528602,4,7.0,313.0,-1.0,4,1,1,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
415,420,735.0,-1,1,540,545,17107944,1710794401,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
780,785,735.0,-1,1,820,825,17107944,1710794401,4,5.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
885,900,735.0,-1,1,1175,1190,17107944,1710794401,4,1.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1200,1205,735.0,-1,1,1275,1280,17107944,1710794401,4,6.0,738.0,-1.0,4,1,1,4,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
420,435,318.0,-1,1,435,445,17130414,1713041401,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
495,505,318.0,-1,1,560,570,17130414,1713041401,4,5.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
590,605,318.0,-1,1,635,640,17130414,1713041401,4,4.0,442.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
810,825,318.0,-1,1,825,835,17130414,1713041401,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1125,1140,318.0,-1,1,1140,1150,17130414,1713041401,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
420,435,534.0,-1,1,435,450,17119312,1711931202,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
510,520,534.0,-1,1,780,790,17119312,1711931202,4,1.0,535.0,-1.0,4,1,1,3,1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
800,825,534.0,-1,1,1045,1050,17119312,1711931202,4,1.0,535.0,-1.0,4,1,2,1,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1200,1210,534.0,-1,1,1210,1220,17119312,1711931202,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
430,445,92.0,-1,1,480,495,17106157,1710615701,4,9.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
500,550,92.0,-1,1,550,555,17106157,1710615701,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
555,570,92.0,-1,1,660,685,17106157,1710615701,4,8.0,1878.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
720,735,92.0,-1,1,795,810,17106157,1710615701,4,9.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
865,870,92.0,-1,1,870,875,17106157,1710615701,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
465,480,1643.0,-1,1,540,555,17106442,1710644202,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
720,750,1643.0,-1,1,810,840,17106442,1710644202,4,9.0,,,4,1,1,1,5,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
915,930,1643.0,-1,1,1050,1055,17106442,1710644202,4,4.0,1666.0,-1.0,4,1,2,2,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1130,1140,1643.0,-1,1,1290,1300,17106442,1710644202,4,1.0,1669.0,-1.0,4,1,1,2,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
330,350,554.0,-1,1,1200,1260,17100957,1710095701,4,1.0,105.0,-1.0,4,1,1,6,5,2,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1290,1300,554.0,-1,1,1380,1395,17100957,1710095701,4,6.0,554.0,-1.0,4,1,1,3,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
450,480,1703.0,-1,1,1185,1205,17147694,1714769401,4,1.0,1779.0,-1.0,4,1,2,8,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
570,580,1974.0,-1,1,940,945,17105256,1710525603,4,7.0,1446.0,-1.0,4,1,3,5,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1080,1095,1974.0,-1,1,1170,1185,17105256,1710525603,4,6.0,,,4,1,1,1,5,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
675,690,452.0,-1,1,690,695,17128831,1712883101,4,3.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
700,705,452.0,-1,1,720,750,17128831,1712883101,4,6.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
780,795,452.0,-1,1,795,810,17128831,1712883101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
815,820,452.0,-1,1,825,835,17128831,1712883101,4,3.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1180,1190,452.0,-1,1,1190,1200,17128831,1712883101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
600,615,700.0,-1,1,810,830,17152493,1715249301,4,9.0,483.0,-1.0,4,1,3,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
930,940,700.0,-1,1,1360,1390,17152493,1715249301,4,1.0,435.0,-1.0,4,1,3,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1410,1420,700.0,-1,1,45,55,17152493,1715249301,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
445,450,481.0,-1,1,455,460,17127809,1712780902,4,6.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
680,695,481.0,-1,1,725,745,17127809,1712780902,4,4.0,492.0,-1.0,4,1,1,3,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
835,840,481.0,-1,1,845,850,17127809,1712780902,4,5.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
940,965,481.0,-1,1,965,990,17127809,1712780902,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
570,580,1974.0,-1,1,940,945,17105256,1710525602,4,7.0,1446.0,-1.0,4,1,3,5,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1080,1095,1974.0,-1,1,1170,1185,17105256,1710525602,4,6.0,,,4,1,1,1,5,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
510,520,534.0,-1,1,520,530,17119312,1711931201,4,3.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
615,625,534.0,-1,1,640,650,17119312,1711931201,4,5.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
690,720,534.0,-1,1,765,795,17119312,1711931201,4,5.0,,,4,1,1,1,6,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
990,995,534.0,-1,1,1035,1040,17119312,1711931201,4,7.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1200,1210,534.0,-1,1,1210,1220,17119312,1711931201,4,3.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
355,360,91.0,-1,1,420,425,17101504,1710150402,4,8.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
475,485,91.0,-1,1,1245,1260,17101504,1710150402,4,7.0,416.0,-1.0,4,1,7,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
445,450,481.0,-1,1,455,460,17127809,1712780901,4,6.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
680,695,481.0,-1,1,725,745,17127809,1712780901,4,4.0,492.0,-1.0,4,1,1,3,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
835,840,481.0,-1,1,845,850,17127809,1712780901,4,5.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
940,965,481.0,-1,1,965,990,17127809,1712780901,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
420,435,1672.0,-1,1,1080,1100,17108908,1710890801,4,1.0,1777.0,-1.0,4,1,1,7,3,5,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1140,1150,1672.0,-1,1,1200,1210,17108908,1710890801,4,6.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
720,735,557.0,-1,1,865,880,17123707,1712370701,4,4.0,427.0,-1.0,4,1,2,4,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
900,915,557.0,-1,1,920,940,17123707,1712370701,4,4.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1110,1125,557.0,-1,1,1135,1155,17123707,1712370701,4,4.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
470,480,806.0,-1,1,715,720,17117898,1711789801,4,1.0,871.0,-1.0,4,1,3,1,3,2,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
775,780,806.0,-1,1,1150,1170,17117898,1711789801,4,1.0,871.0,-1.0,4,1,1,5,3,2,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
570,580,1974.0,-1,1,940,945,17105256,1710525604,4,7.0,1446.0,-1.0,4,1,3,5,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1080,1095,1974.0,-1,1,1170,1185,17105256,1710525604,4,6.0,,,4,1,1,1,5,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
520,525,601.0,-1,1,525,535,17139418,1713941801,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
580,605,601.0,-1,1,605,620,17139418,1713941801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
810,835,601.0,-1,1,885,915,17139418,1713941801,4,7.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
920,925,601.0,-1,1,925,930,17139418,1713941801,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1065,1075,601.0,-1,1,1140,1150,17139418,1713941801,4,9.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
380,395,2677.0,-1,1,540,555,17145438,1714543801,4,8.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
750,780,2677.0,-1,1,1175,1220,17145438,1714543801,4,6.0,2760.0,-1.0,4,1,7,1,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
540,545,3136.0,-1,1,670,685,17124746,1712474601,4,5.0,1166.0,-1.0,4,1,2,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
900,905,3136.0,-1,1,940,945,17124746,1712474601,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
970,975,3136.0,-1,1,1035,1040,17124746,1712474601,4,8.0,3142.0,-1.0,4,1,3,1,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
525,545,1678.0,-1,1,745,750,17113577,1711357701,4,8.0,1929.0,-1.0,4,1,2,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
885,890,1678.0,-1,1,975,1000,17113577,1711357701,4,5.0,1653.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1135,1155,1678.0,-1,1,1245,1260,17113577,1711357701,4,7.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
830,840,1676.0,-1,1,935,1015,17124360,1712436001,4,5.0,1932.0,-1.0,4,1,5,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1135,1145,1676.0,-1,1,1255,1265,17124360,1712436001,4,8.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
420,455,2019.0,-1,1,565,600,17103640,1710364001,4,8.0,3446.0,-1.0,4,1,2,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
770,810,2019.0,-1,1,920,940,17103640,1710364001,4,9.0,968.0,-1.0,4,1,1,4,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
485,490,941.0,-1,1,515,520,17104801,1710480101,4,4.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
585,590,941.0,-1,1,605,610,17104801,1710480101,4,5.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
820,860,941.0,-1,1,1000,1030,17104801,1710480101,4,5.0,963.0,-1.0,4,1,2,3,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
455,465,93.0,-1,1,515,525,17122014,1712201401,4,8.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
590,600,93.0,-1,1,620,630,17122014,1712201401,4,4.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
645,695,93.0,-1,1,860,900,17122014,1712201401,4,5.0,479.0,-1.0,4,1,4,1,6,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
500,555,1731.0,-1,1,1220,1225,17146662,1714666201,4,1.0,432.0,-1.0,4,1,6,3,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
515,535,426.0,-1,1,1195,1215,17130098,1713009801,4,1.0,778.0,-1.0,4,1,1,8,3,7,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
450,465,628.0,-1,1,540,570,17123138,1712313801,4,5.0,553.0,-1.0,4,1,2,1,6,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
690,705,628.0,-1,1,750,770,17123138,1712313801,4,6.0,,,4,1,1,1,6,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
810,825,628.0,-1,1,855,870,17123138,1712313801,4,3.0,,,4,1,1,1,6,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1005,1015,628.0,-1,1,1080,1090,17123138,1712313801,4,7.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
300,315,3692.0,-1,1,320,330,17124862,1712486202,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
490,495,3692.0,-1,1,610,615,17124862,1712486202,4,8.0,3694.0,-1.0,4,1,2,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
875,880,3692.0,-1,1,900,920,17124862,1712486202,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1200,1210,3692.0,-1,1,1210,1220,17124862,1712486202,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
480,490,397.0,-1,1,640,645,17137227,1713722701,4,7.0,402.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
870,885,397.0,-1,1,1010,1020,17137227,1713722701,4,7.0,402.0,-1.0,4,1,1,2,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1150,1155,397.0,-1,1,1365,1370,17137227,1713722701,4,7.0,400.0,-1.0,4,1,2,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
