,hhno,hhsize,hhvehs,hhwkrs,hhftw,hhptw,hhret,hhoad,hhuni,hhhsc,hh515,hhcu5,hhincome,hownrent,hrestype,hhparcel,hhtaz,hhexpfac
100,17101436,2,1,0,0,0,2,0,0,0,0,0,42500,2,3,-1,-1,-1
101,17101448,2,2,0,0,0,2,0,0,0,0,0,-1,1,1,-1,-1,-1
102,17101469,3,2,1,1,0,0,1,2,0,1,0,42500,2,3,-1,-1,-1
103,17101489,2,2,2,1,1,0,0,0,0,0,0,62500,2,3,-1,-1,-1
104,17101504,4,1,2,2,0,0,0,0,0,1,1,300000,1,1,-1,-1,-1
105,17101517,2,2,2,2,0,0,0,0,0,0,0,30000,2,2,-1,-1,-1
106,17101545,2,1,1,0,0,0,1,0,1,0,0,17500,2,2,-1,-1,-1
107,17101592,4,1,1,1,0,0,1,0,0,1,1,62500,1,1,-1,-1,-1
108,17101606,2,2,2,2,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
109,17101617,1,1,1,1,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
110,17101619,1,1,1,1,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
111,17101626,2,1,1,1,0,0,1,0,0,0,0,62500,2,3,-1,-1,-1
112,17101635,1,0,1,1,0,0,0,0,0,0,0,17500,2,3,-1,-1,-1
113,17101657,1,1,0,0,0,1,0,0,0,0,0,62500,1,3,-1,-1,-1
114,17101667,4,4,4,3,1,0,0,0,0,0,0,225000,1,1,-1,-1,-1
115,17101681,5,1,2,2,0,0,0,0,0,3,0,150000,1,1,-1,-1,-1
116,17101692,2,2,2,2,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
117,17101697,4,1,1,1,0,0,1,0,0,1,1,125000,2,2,-1,-1,-1
118,17101698,2,1,1,0,1,0,1,0,0,0,0,5000,2,3,-1,-1,-1
119,17101704,2,2,2,2,0,0,0,0,0,0,0,225000,1,2,-1,-1,-1
120,17101714,1,1,1,1,0,0,0,0,0,0,0,300000,2,3,-1,-1,-1
121,17101720,2,1,1,0,0,1,1,0,0,0,0,-1,1,1,-1,-1,-1
122,17101745,3,2,2,0,2,0,0,1,1,0,0,30000,2,3,-1,-1,-1
123,17101785,1,0,1,1,0,0,0,0,0,0,0,5000,2,3,-1,-1,-1
124,17101792,2,2,0,0,0,2,0,0,0,0,0,87500,1,1,-1,-1,-1
125,17101852,4,1,2,2,0,0,0,0,0,0,2,125000,2,3,-1,-1,-1
126,17101853,3,2,2,2,0,0,1,0,0,0,0,125000,2,3,-1,-1,-1
127,17101854,2,2,1,1,0,0,1,0,0,0,0,125000,1,2,-1,-1,-1
128,17101855,1,0,1,1,0,0,0,0,0,0,0,42500,2,3,-1,-1,-1
129,17101867,1,0,1,0,0,0,1,0,0,0,0,17500,2,3,-1,-1,-1
130,17101873,2,1,2,2,0,0,0,0,0,0,0,-1,1,2,-1,-1,-1
131,17101882,1,0,1,0,0,0,1,0,0,0,0,5000,2,3,-1,-1,-1
132,17101886,1,1,1,1,0,0,0,0,0,0,0,175000,1,3,-1,-1,-1
133,17101898,3,2,2,2,0,1,0,1,0,0,0,125000,1,1,-1,-1,-1
134,17101909,3,2,2,1,1,0,0,0,0,0,1,87500,1,2,-1,-1,-1
135,17101922,2,1,2,2,0,0,0,1,0,0,0,42500,2,3,-1,-1,-1
